регион,район,город,тип,население,широта,долгота,расстояние
Ямало-Ненецкий автономный округ,Приуральский муниципальный район,Катравож,с,781,66.3233333333333,66.0797222222222,38
Ямало-Ненецкий автономный округ,Приуральский муниципальный район,Вылпосл,п,81,66.6488888888889,67.2688888888889,29
Ямало-Ненецкий автономный округ,Салехард,Пельвож,п,286,66.235,66.6227777777778,39
Ямало-Ненецкий автономный округ,Приуральский муниципальный район,Харсаим,с,720,66.5994444444444,67.2952777777778,30
Ямало-Ненецкий автономный округ,Приуральский муниципальный район,Харп,пгт,6053,66.815,65.7991666666667,43
Ямало-Ненецкий автономный округ,Шурышкарский муниципальный район,Питляр,с,475,65.8391666666667,65.9111111111111,89
Ямало-Ненецкий автономный округ,Лабытнанги,Лабытнанги,г,26211,66.6594444444444,66.3883333333333,12
Ямало-Ненецкий автономный округ,Приуральский муниципальный район,Зеленый Яр,п,238,66.3222222222222,67.34,44
Ямало-Ненецкий автономный округ,Приуральский муниципальный район,Халасьпугор,с,0,66.7319444444445,67.5266666666667,43
Ямало-Ненецкий автономный округ,Приуральский муниципальный район,Горнокнязевск,п,114,66.5930555555556,66.8588888888889,10
Ямало-Ненецкий автономный округ,Салехард,Салехард,г,50064,66.5308333333333,66.6138888888889,6
