регион,район,город,тип,население,широта,долгота,расстояние
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский район,Белогорье,д,184,61.0566666666667,68.6272222222222,25
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский район,Луговской,п,954,61.0608333333333,68.5052777777778,31
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский район,Кирпичный,п,319,61.0802777777778,68.6680555555556,23
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский район,Сибирский,п,514,60.5725,69.7844444444444,63
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский район,Троица,с,218,61.1147222222222,68.4288888888889,36
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский район,Кышик,с,562,61.4488888888889,68.9366666666667,47
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский район,Кедровый,п,705,61.4813888888889,68.2444444444444,67
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский район,Зенково,с,49,61.2011111111111,69.8797222222222,46
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский район,Батово,с,299,60.4066666666667,69.8330555555556,80
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский район,Шапша,д,620,61.09,69.4605555555556,21
Ханты-Мансийский автономный округ - Югра,Кондинский район,Алтай,с,297,60.3302777777778,68.9613888888889,78
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский район,Нялина,д,0,61.3047222222222,69.5788888888889,40
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский район,Цингалы,п,523,60.1763888888889,69.705,100
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский район,Елизарово,с,248,61.3947222222222,68.2961111111111,58
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский район,Нялинское,с,659,61.2897222222222,69.5597222222222,38
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский район,Чембакчина,д,27,61.3161111111111,68.7102777777778,37
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский район,Ярки,д,486,60.9652777777778,69.5130555555556,24
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийск,Ханты-Мансийск,г,99385,61.0025,69.0183333333333,4
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский район,Реполово,с,209,60.655,69.8311111111111,58
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский район,Пырьях,п,141,61.4011111111111,69.2163888888889,42
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский район,Тюли,с,205,60.7416666666667,69.65,44
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский район,Выкатной,п,394,60.6475,69.5569444444444,49
Ханты-Мансийский автономный округ - Югра,Кондинский район,Кама,д,209,60.4141666666667,69.0458333333333,68
