регион,район,город,тип,население,широта,долгота,расстояние
Удмуртская республика,Дебёсский,Тольен,д,239,57.7111111111111,53.6875,98
Удмуртская республика,Воткинский,Большая Кивара,д,733,57.1861111111111,54.1872222222222,58
Удмуртская республика,Алнашский,Чумали,д,107,56.0463888888889,52.6586111111111,100
Удмуртская республика,Можгинский,Акаршур,д,84,56.4852777777778,52.5897222222222,66
Пермский край,Чайковский район,Жигалки,д,170,56.5802777777778,54.3186111111111,59
Удмуртская республика,Сарапульский,Старая Бисарка,д,26,56.2283333333333,53.7991666666667,70
Удмуртская республика,Сарапульский,Антипино,д,30,56.4816666666667,53.6633333333333,41
Удмуртская республика,Малопургинский,Горд Шунды,д,48,56.6066666666667,52.7136111111111,52
Пермский край,Чайковский район,Большой Букор,с,1061,56.6608333333333,54.2547222222222,52
Удмуртская республика,Завьяловский,Сизево,д,349,56.7236111111111,53.3666666666667,13
Удмуртская республика,Воткинский,Владимировский,починок,36,56.9958333333333,53.5830555555556,19
Удмуртская республика,Завьяловский,Первомайский,с,4401,56.8538888888889,53.36,6
Удмуртская республика,Якшур-Бодьинский,Лынга,с,954,57.2955555555556,53.0313888888889,57
Пермский край,Чайковский городской округ,Векошинка,п,50,56.9430555555556,54.3075,52
Удмуртская республика,Игринский,Тупал Пурга,д,83,57.5308333333333,53.5108333333333,77
Удмуртская республика,Якшур-Бодьинский,Мукши,д,559,57.2394444444444,53.3897222222222,45
Удмуртская республика,Игринский,Оник-Ирым,д,120,57.5755555555556,53.4752777777778,82
Республика Татарстан,Агрызский район,Сардали,д,5,56.2911111111111,52.7894444444444,73
Республика Татарстан,Агрызский район,Сукман,с,103,56.2486111111111,52.5991666666667,84
Удмуртская республика,Алнашский,Новотроицкий,д,78,56.1161111111111,52.5447222222222,97
Республика Татарстан,Агрызский район,Нижнее Кучуково,с,661,56.2072222222222,52.9325,77
Удмуртская республика,Шарканский,Табанево,д,59,57.2369444444444,53.5644444444444,45
Удмуртская республика,Можгинский,Новая Бия,д,311,56.4997222222222,52.4788888888889,70
Удмуртская республика,Воткинский,Черепановка,д,214,57.1166666666667,54.1686111111111,53
Удмуртская республика,Игринский,Чемошур,д,238,57.4097222222222,53.0844444444444,67
Удмуртская республика,Дебёсский,Бибаньгурт,д,0,57.5763888888889,53.7994444444444,85
Удмуртская республика,Игринский,Николаевка,д,0,57.5102777777778,53.3866666666667,75
Удмуртская республика,Шарканский,Собинский,починок,7,57.2463888888889,53.9744444444444,55
Удмуртская республика,Игринский,Кушья,с,468,57.4538888888889,53.1033333333333,72
Удмуртская республика,Дебёсский,Ирым,д,130,57.6336111111111,53.625,89
Удмуртская республика,Малопургинский,Дома 1068 км,починок,17,56.5583333333333,52.7283333333333,54
Удмуртская республика,Можгинский,Подгорная,д,62,56.6608333333333,52.5947222222222,56
Удмуртская республика,Малопургинский,Бугрыш,д,10,56.5461111111111,52.7511111111111,54
Пермский край,Частинский район,Комарята,д,3,57.0766666666667,54.37,61
Удмуртская республика,Каракулинский,Ромашкино,д,33,56.0141666666667,53.6763888888889,92
Удмуртская республика,Сарапульский,Межная,д,47,56.3547222222222,53.9619444444444,61
Удмуртская республика,Шарканский,Кесшур,д,128,57.2961111111111,53.7005555555556,53
Республика Татарстан,Агрызский район,Новые Бизяки,д,95,56.2169444444444,52.7438888888889,81
Удмуртская республика,Завьяловский,Старое Михайловское,д,617,56.9669444444444,53.2611111111111,19
Удмуртская республика,Малопургинский,Валион,д,217,56.5105555555556,53.1697222222222,40
Республика Татарстан,Агрызский район,Галеево,д,54,56.1683333333333,53.3688888888889,74
Республика Татарстан,Агрызский район,Саклово,д,10,56.0536111111111,53.0711111111111,90
Удмуртская республика,Сарапульский,Лагуново,с,326,56.6166666666667,53.61,25
Удмуртская республика,Якшур-Бодьинский,Порва,д,425,57.215,53.0416666666667,49
Удмуртская республика,Завьяловский,Старый Бор,д,164,56.7061111111111,53.1408333333333,24
Удмуртская республика,Якшур-Бодьинский,Маяк,с,323,57.1891666666667,53.2677777777778,41
Пермский край,Чайковский городской округ,Завод Михайловский,с,179,56.5222222222222,54.2769444444444,60
Пермский край,Чайковский район,Лукинцы,д,165,56.6969444444444,54.4016666666667,59
Республика Татарстан,Агрызский район,Кулегаш,с,315,55.9730555555556,53.2741666666667,96
Удмуртская республика,Шарканский,Усково,д,31,57.4736111111111,53.9141666666667,76
Удмуртская республика,Игринский,Факел,с,1818,57.6341666666667,53.0263888888889,92
Удмуртская республика,Каракулинский,Пинязь,д,254,56.1986111111111,53.6680555555556,71
Удмуртская республика,Завьяловский,Никольское,д,1,56.6352777777778,53.3980555555556,22
Удмуртская республика,Игринский,Шушангурт,д,0,57.3744444444444,52.6547222222222,77
Удмуртская республика,Сарапульский,Борисово,д,91,56.4005555555556,53.6994444444444,50
Удмуртская республика,Киясовский,Лутоха,д,112,56.3030555555556,53.2908333333333,60
Пермский край,Большесосновский район,Загибовка,д,3,57.3808333333333,54.1827777777778,74
Удмуртская республика,Якшур-Бодьинский,Новая Вожойка,д,125,56.9838888888889,53.1072222222222,27
Удмуртская республика,Сарапульский,Пентеги,д,246,56.2813888888889,53.5163888888889,61
Удмуртская республика,Якшур-Бодьинский,Старокаравайский,высел,58,57.3547222222222,52.5863888888889,78
Пермский край,Чайковский район,Ольховка,с,1164,56.7283333333333,54.0205555555556,36
Удмуртская республика,Игринский,Менил,с,933,57.6336111111111,53.0961111111111,91
Республика Татарстан,Агрызский район,Варклед-Аул,п,38,56.2308333333333,52.7961111111111,78
Удмуртская республика,Шарканский,Суроново,д,131,57.3266666666667,53.5219444444444,54
Удмуртская республика,Завьяловский,Каравай-Норья,д,58,56.6861111111111,53.0188888888889,31
Удмуртская республика,Завьяловский,Жеребенки,д,30,56.6777777777778,53.3591666666667,18
Удмуртская республика,Якшур-Бодьинский,Якшур,д,752,57.2127777777778,53.1605555555556,45
Удмуртская республика,Каракулинский,Котово,д,167,56.19,53.715,73
Удмуртская республика,Алнашский,Выль Шудья,д,0,56.1633333333333,52.6055555555556,91
Удмуртская республика,Завьяловский,Тихий Ключ,д,72,56.8683333333333,53.5772222222222,7
Удмуртская республика,Воткинский,Курочкино,починок,10,57.0763888888889,53.5636111111111,27
Удмуртская республика,Игринский,Калиновка,с,168,57.4994444444444,52.9825,79
Пермский край,Чайковский район,ст Каучук,п,184,56.6658333333333,53.9261111111111,34
Пермский край,Чайковский городской округ,Чайковский,г,83486,56.7780555555556,54.1477777777778,42
Удмуртская республика,Увинский,Итчи-Вамья,д,1,57.005,52.5172222222222,60
Удмуртская республика,Шарканский,Липовка,д,27,57.2572222222222,53.9858333333333,56
Удмуртская республика,Можгинский,Чурашур,д,60,56.6283333333333,52.6011111111111,57
