регион,район,город,тип,население,широта,долгота,расстояние
Кировская область,Кирово-Чепецкий район,978 км,ж/д_казарм,10,58.4702777777778,49.8305555555556,28
Кировская область,Оричевский район,Мудрень,д,16,58.2075,49.2608333333333,33
Кировская область,Орловский район,Халтурины,д,0,58.5402777777778,48.7863888888889,32
Кировская область,Орловский район,Исупово,д,0,58.5705555555556,48.8430555555556,30
Кировская область,Юрьянский район,61 км,ж/д_казарм,3,59.0005555555556,49.4783333333333,55
Кировская область,Орловский район,Цепели,д,543,58.7247222222222,49.1944444444444,26
Кировская область,Юрьянский район,Устье,д,4,58.7255555555556,49.2563888888889,25
Кировская область,Кирово-Чепецкий район,Фуфичи,д,0,58.4666666666667,49.7338888888889,22
Кировская область,Орловский район,Озерки,д,3,58.5738888888889,48.515,49
Кировская область,Слободской район,Тороповщина,д,12,59.0163888888889,49.9419444444444,66
Кировская область,Слободской район,Стулово,д,3801,58.7208333333333,50.1386111111111,52
Кировская область,Юрьянский район,Коврижки,д,0,58.9191666666667,49.3905555555556,46
Кировская область,Слободской район,Черная Гора,д,25,59.0380555555556,49.9775,69
Кировская область,Слободской район,Белая Гора,д,29,59.0461111111111,49.9538888888889,69
Кировская область,Оричевский район,Березовка,д,3,58.1794444444444,49.4733333333333,36
Кировская область,Юрьянский район,Первомайский,пгт,3717,59.065,49.2880555555556,62
Кировская область,Кумёнский район,Кореповщина,д,1,58.0652777777778,49.9033333333333,58
Кировская область,Кирово-Чепецкий район,Поповщина,д,0,58.4363888888889,50.0755555555556,43
Кировская область,Кирово-Чепецкий район,Новоселовщина,д,5,58.4602777777778,49.6791666666667,19
Кировская область,Юрьянский район,Мыльниковы,д,3,58.8216666666667,49.6358333333333,39
Кировская область,Кумёнский район,Ардашиха,д,313,58.1491666666667,50.2175,64
Кировская область,Верхошижемский район,Вьюги,д,0,58.0486111111111,49.0725,53
Кировская область,Юрьянский район,Зверевы,д,2,58.9641666666667,49.1036111111111,53
Кировская область,Кумёнский район,Дымково,д,0,58.2277777777778,49.9255555555556,45
Кировская область,Юрьянский район,Запольцы,д,0,58.785,49.3752777777778,31
Кировская область,Орловский район,Голыши,д,0,58.675,49.115,23
Кировская область,Кирово-Чепецкий район,Соснино,починок,0,58.3708333333333,49.6016666666667,20
Кировская область,Орловский район,Васкичи,д,1,58.8077777777778,49.0666666666667,37
Кировская область,Оричевский район,Заполье,д,9,58.3975,49.0113888888889,22
Кировская область,Кирово-Чепецкий район,Поповка,д,0,58.3588888888889,50.3347222222222,59
Кировская область,Нолинский район,Хорьки,д,0,57.7127777777778,49.7047222222222,90
Кировская область,Советский район,Нижнее Коропово,д,0,57.7641666666667,48.7405555555556,89
Кировская область,Кирово-Чепецкий район,Тюлькинцы,д,32,58.4477777777778,50.2452777777778,52
Кировская область,Оричевский район,Саввичи,д,5,58.2888888888889,48.8647222222222,36
Кировская область,Оричевский район,Лобки,д,1,58.4075,48.8144444444444,32
Кировская область,Киров,Никуленки,д,26,58.5269444444444,49.6088888888889,15
Кировская область,Оричевский район,Малые Колбины,д,0,58.3994444444444,48.7852777777778,34
Кировская область,Сунский район,Темерево,д,2,57.8788888888889,50.0255555555556,80
Кировская область,Мурашинский район,Егоренки,д,0,59.1816666666667,48.4561111111111,91
Кировская область,Юрьянский район,Сомовщина,д,0,58.7844444444444,49.2163888888889,32
Кировская область,Слободской район,Лубни,д,73,58.6152777777778,49.8125,29
Кировская область,Киров,Большие Кушовы,д,25,58.6119444444444,49.5352777777778,16
Кировская область,Киров,Кочергинцы,д,11,58.5288888888889,49.5244444444444,10
Кировская область,Киров,Луговики,д,2,58.5708333333333,49.2155555555556,10
Кировская область,Кирово-Чепецкий район,кордон Сверчихинский,нп,0,58.3116666666667,49.7602777777778,32
Кировская область,Юрьянский район,Пожарское,д,0,59.0355555555556,49.1544444444444,60
Кировская область,Киров,Лисицины,д,5,58.5622222222222,49.2241666666667,9
Кировская область,Кирово-Чепецкий район,Черные Чежеги,д,0,58.4833333333333,50.0436111111111,40
Кировская область,Юрьянский район,Шибаны,д,0,58.8163888888889,49.1808333333333,36
Кировская область,Оричевский район,Салмаки,д,0,58.5191666666667,49.1344444444444,12
Кировская область,Слободской район,Рубежница,д,53,58.6769444444444,49.9952777777778,42
Кировская область,Кирово-Чепецкий район,Загребинцы,д,2,58.4358333333333,49.3805555555556,7
Кировская область,Мурашинский район,Боровица,с,74,59.1252777777778,48.39,88
Кировская область,Юрьянский район,Макаренки,д,0,58.7627777777778,49.2527777777778,29
Кировская область,Кирово-Чепецкий район,Вяз,с,5,58.4311111111111,49.4658333333333,10
Кировская область,Кумёнский район,Вичевщина,п,1356,58.1961111111111,50.0836111111111,55
Кировская область,Кумёнский район,Зуево,д,0,58.1769444444444,49.7791666666667,44
Кировская область,Сунский район,Спасская,д,2,58.0075,50.0483333333333,68
Кировская область,Оричевский район,Пустоши,с,417,58.3227777777778,49.0272222222222,27
Кировская область,Советский район,Скородум,д,2,57.735,49.1611111111111,86
Кировская область,Юрьянский район,Сорокины,д,10,58.7580555555556,49.4025,28
Кировская область,Юрьянский район,44 км,ж/д_казарм,0,58.8747222222222,49.4872222222222,42
Кировская область,Киров,Загоски,д,30,58.6238888888889,49.3938888888889,13
Кировская область,Слободской район,Забегаево,д,0,58.9597222222222,49.7063888888889,54
Кировская область,Орловский район,Русаново,с,178,58.6177777777778,48.7147222222222,38
Кировская область,Кирово-Чепецкий район,Колпаки,д,15,58.38,49.7913888888889,29
Кировская область,Верхошижемский район,Морозы,д,1,57.8738888888889,48.9155555555556,74
Кировская область,Киров,Седуновщина,д,14,58.5111111111111,49.5691666666667,13
Кировская область,Кирово-Чепецкий район,Гостево,д,62,58.3527777777778,50.3436111111111,60
Кировская область,Оричевский район,Зеленый,п,233,58.3502777777778,48.8377777777778,34
Кировская область,Юрьянский район,Слободино,д,7,58.7497222222222,49.5586111111111,30
Кировская область,Орловский район,Моржи,д,252,58.5272222222222,48.8633333333333,28
Кировская область,Верхошижемский район,Песок,д,2,58.0805555555556,49.4405555555556,47
Кировская область,Котельничский район,Лебедевы,д,5,58.4666666666667,48.4108333333333,54
Кировская область,Юрьянский район,Большое Долгое,д,4,58.9258333333333,49.325,47
Кировская область,Котельничский район,Ванеевы,д,0,58.4775,48.4158333333333,54
Кировская область,Оричевский район,Лундыши,д,0,58.2222222222222,48.7847222222222,45
Кировская область,Котельничский район,Омеличи,д,1,58.3419444444444,48.4622222222222,54
Кировская область,Кирово-Чепецкий район,Просница,ж/д_ст,2721,58.4419444444444,50.2338888888889,52
Кировская область,Юрьянский район,Верходворье,с,116,59.1527777777778,49.1488888888889,73
Кировская область,Орловский район,Шигонцы,д,0,58.7872222222222,49.0197222222222,36
Кировская область,Юрьянский район,Фролы,д,2,58.9733333333333,49.3241666666667,52
Кировская область,Орловский район,Зоновщина,д,0,58.6905555555556,49.1713888888889,23
Кировская область,Орловский район,Косые,д,0,58.8158333333333,48.9011111111111,43
