регион,район,город,тип,население,широта,долгота,расстояние
Ханты-Мансийский автономный округ - Югра,Нижневартовский район,Вата,д,646,61.0888888888889,75.8175,39
Ханты-Мансийский автономный округ - Югра,Нижневартовский район,Покур,с,518,61.0002777777778,75.4858333333333,54
Ханты-Мансийский автономный округ - Югра,Нижневартовский район,Зайцева Речка,п,561,60.645,76.6561111111111,35
Ханты-Мансийский автономный округ - Югра,Нижневартовский район,Вампугол,д,27,60.8588888888889,76.6055555555556,12
Ханты-Мансийский автономный округ - Югра,Нижневартовский район,Большетархово,с,337,61.1044444444444,77.1652777777778,40
Ханты-Мансийский автономный округ - Югра,Мегион,Мегион,г,48348,61.0319444444444,76.1025,22
Ханты-Мансийский автономный округ - Югра,Нижневартовск,Нижневартовск,г,276503,60.9397222222222,76.5697222222222,4
Ханты-Мансийский автономный округ - Югра,Нижневартовский район,Излучинск,пгт,20162,60.9505555555556,76.8772222222222,21
Томская область,Александровский район,Северный,п,58,60.68,77.1855555555556,48
Ханты-Мансийский автономный округ - Югра,Покачи,Покачи,г,17987,61.7422222222222,75.5941666666667,100
Ханты-Мансийский автономный округ - Югра,Нижневартовский район,Былино,с,47,60.7441666666667,76.8158333333333,29
Ханты-Мансийский автономный округ - Югра,Нижневартовский район,Пасол,д,29,60.8505555555556,77.0302777777778,31
Ханты-Мансийский автономный округ - Югра,Мегион,Высокий,пгт,6610,61.1672222222222,75.9630555555556,37
Томская область,Александровский район,Светлая Протока,д,18,60.6858333333333,77.1702777777778,47
