регион,район,город,тип,население,широта,долгота,расстояние
Пермский край,Ильинский район,Кокаровщина,д,10,58.5508333333333,55.6177777777778,74
Пермский край,Нытвенский район,Марчуги,д,1,57.9769444444444,55.4758333333333,33
Пермский край,Пермский район,Пищальниково,д,133,57.9358333333333,55.87,9
Пермский край,Нытвенский район,Лузино,с,61,58.3538888888889,55.4786111111111,58
Пермский край,Оханский район,Красные Горки,д,8,57.7116666666667,55.2780555555556,49
Пермский край,Кунгурский район,Бажуки,с,932,57.1927777777778,56.4955555555556,85
Пермский край,Краснокамский район,Дочки,д,0,58.2427777777778,55.8694444444444,37
Пермский край,Пермский район,Моргали,д,5,57.9427777777778,55.61,24
Пермский край,Кунгурский район,Чувирята,д,53,57.5711111111111,56.8127777777778,60
Пермский край,Пермский район,Буланки,д,8,57.9975,56.7647222222222,44
Пермский край,Оханский район,Лыва,д,3,57.6919444444444,55.0544444444444,62
Пермский край,Кунгурский район,Кочебахтино,д,15,57.53,56.7822222222222,62
Пермский край,Ильинский район,Октябрьский,п,143,58.5594444444444,55.4194444444444,80
Пермский край,Кунгурский район,Гора,д,3,57.3911111111111,56.225,59
Пермский край,Пермский район,Верхняя Рассольная,д,17,57.7941666666667,56.5875,36
Пермский край,Добрянский район,Зуята,д,0,58.3247222222222,56.3747222222222,50
Пермский край,Ильинский район,Петрушата,д,14,58.3555555555556,56.0438888888889,49
Пермский край,Краснокамский район,Краснокамск,г,53864,58.0783333333333,55.7363888888889,24
Пермский край,Пермский район,Софроны,д,52,57.9280555555556,56.4577777777778,25
Пермский край,Краснокамский район,Ласьва,п,509,58.0791666666667,55.9677777777778,18
Пермский край,Кунгурский район,Болотово,д,244,57.4175,56.9397222222222,77
Пермский край,Ильинский район,Слободка,д,6,58.6219444444444,55.9563888888889,78
Пермский край,Кунгурский район,Подъельник,д,72,57.605,56.7680555555556,56
Пермский край,Добрянский район,Демидково,д,0,58.2644444444444,56.38,44
Пермский край,Нытвенский район,Алекино,д,0,57.99,55.4983333333333,32
Пермский край,Пермский район,Красава,д,19,57.9266666666667,56.3333333333333,18
Пермский край,Нытвенский район,Шатуны,д,1,58.1230555555556,55.2491666666667,51
Пермский край,Кунгурский район,Гари,д,77,57.7725,56.7788888888889,47
Пермский край,Пермский район,Таранки,д,2,57.9491666666667,56.6205555555556,35
Пермский край,Добрянский район,Боковая,ж/д_ст,194,58.6219444444444,56.9511111111111,95
Пермский край,Ильинский район,Ивановское,с,330,58.7788888888889,55.6330555555556,98
Пермский край,Ильинский район,Захаровцы,д,8,58.4966666666667,55.5472222222222,70
Пермский край,Ильинский район,Ильята,д,27,58.6633333333333,55.3630555555556,91
Пермский край,Добрянский район,Липово,д,256,58.5433333333333,56.2925,71
Пермский край,Кунгурский район,Кирьяны,д,42,57.5541666666667,56.6472222222222,54
Пермский край,Нытвенский район,Залог,д,28,58.0316666666667,55.1941666666667,50
Пермский край,Пермский район,Канабеково,д,12,57.9416666666667,56.6372222222222,36
Пермский край,Краснокамский район,Мишкино,ж/д_ст,8,58.1211111111111,55.8141666666667,26
Пермский край,Кунгурский район,Балалы,д,35,57.4763888888889,56.7613888888889,65
Пермский край,Пермский район,Кояново,с,1493,57.7925,56.3186111111111,22
Пермский край,Пермский район,Крохово,д,364,57.9316666666667,56.0183333333333,1
Пермский край,Кунгурский район,Пустынники,д,123,57.7738888888889,56.9619444444444,58
Пермский край,Чусовской район,Денисово,д,14,58.0238888888889,56.8269444444444,49
Пермский край,Ильинский район,Истомины,д,2,58.5,55.9513888888889,65
Пермский край,Оханский район,Галешник,д,97,57.7086111111111,55.0347222222222,62
Пермский край,Бардымский район,Конюково,д,112,57.0630555555556,55.5641666666667,98
Пермский край,Пермский район,Соловьево,д,10,57.8516666666667,56.7197222222222,42
Пермский край,Пермский район,Дуброво,д,42,57.8216666666667,56.6425,38
Пермский край,Добрянский район,Ключи,д,236,58.3969444444444,56.4866666666667,60
Пермский край,Нытвенский район,Дрезды,д,2,58.2088888888889,55.2463888888889,56
Пермский край,Оханский район,Казымово,д,72,57.6816666666667,55.1088888888889,60
Пермский край,Пермский район,Кочкино,д,121,57.8658333333333,56.3063888888889,17
Пермский край,Ильинский район,Кривец,с,393,58.5744444444444,55.385,82
Пермский край,Пермский район,Шульгино,д,38,57.8558333333333,56.1316666666667,9
Пермский край,Пермский район,Васильевка,д,28,57.8205555555556,55.4786111111111,33
Пермский край,Ильинский район,Лукошки,д,7,58.6469444444444,55.8169444444444,82
Пермский край,Осинский район,Пьянкова,д,45,57.3277777777778,55.5847222222222,70
Пермский край,Добрянский район,Сенькино,с,311,58.4530555555556,56.255,61
Пермский край,Ильинский район,Петунята,д,0,58.3227777777778,56.0191666666667,45
Пермский край,Кунгурский район,Огрызково,д,10,57.7213888888889,56.9736111111111,60
Пермский край,Кунгурский район,Елкино,д,7,57.8097222222222,56.855,50
Пермский край,Осинский район,Лесной,п,287,57.2525,55.8297222222222,74
Пермский край,Карагайский район,Киселево,д,7,58.3788888888889,55.1222222222222,74
Пермский край,Карагайский район,Кадилово,д,212,58.1794444444444,55.09,62
Пермский край,Кунгурский район,Малково,д,6,57.8583333333333,56.8441666666667,49
Пермский край,Нытвенский район,Фиминята,д,64,58.2536111111111,55.3313888888889,55
Пермский край,Пермский район,Усадьба МТС,п,0,57.8158333333333,56.2925,19
Пермский край,Пермский район,Шондиха,д,9,57.5244444444444,55.65,48
Пермский край,Ильинский район,Коршуны,д,9,58.5833333333333,55.4177777777778,82
Пермский край,Пермский район,Ванькино,д,0,57.9211111111111,55.7875,13
Пермский край,Кунгурский район,Канабеково,д,23,57.5808333333333,56.645,52
Пермский край,Краснокамский район,Алешино,д,6,58.0863888888889,55.8880555555556,20
Пермский край,Нытвенский район,27 км,казарма,13,57.94,55.4508333333333,33
Пермский край,Чусовской район,Валежная,п/ст,96,58.0847222222222,56.9572222222222,58
Пермский край,Кунгурский район,Моховое,с,1244,57.4608333333333,56.8958333333333,72
Пермский край,Нытвенский район,Селища,д,8,57.9741666666667,55.2583333333333,45
Пермский край,Пермский район,Верх-Речки,д,7,58.0927777777778,56.6225,40
Пермский край,Кунгурский район,Богородск,д,7,57.5286111111111,56.3091666666667,46
Пермский край,Пермский район,Ермозы,д,6,57.5766666666667,55.6666666666667,43
Пермский край,Пермский район,Ключи,д,17,57.8238888888889,56.45,27
Пермский край,Пермский район,Шумки,д,68,57.9080555555556,55.9636111111111,3
Пермский край,Пермский район,Кашино,д,4,57.555,55.7441666666667,43
Пермский край,Нытвенский район,Антоново,д,2,58.3583333333333,55.4336111111111,60
Пермский край,Карагайский район,Бажино,д,2,58.6669444444444,55.2052777777778,96
Пермский край,Ильинский район,Плотникова,д,17,58.6211111111111,56.0027777777778,78
Пермский край,Оханский район,Копыловка,д,110,57.7158333333333,55.3611111111111,45
Пермский край,Кунгурский район,Мартыново,д,81,57.5966666666667,56.6097222222222,49
Пермский край,Пермский район,Заречная,д,13,57.5505555555556,55.6969444444444,44
Пермский край,Ильинский район,Елчихина,д,2,58.4736111111111,55.5258333333333,68
Пермский край,Осинский район,Паль,с,248,57.4558333333333,55.6616666666667,55
Пермский край,Нытвенский район,Косогор,д,10,58.0305555555556,55.1866666666667,51
Пермский край,Кунгурский район,Липово,д,143,57.4580555555556,56.8622222222222,71
Пермский край,Оханский район,Старые Селища,д,54,57.6455555555556,55.1252777777778,61
Пермский край,Осинский район,Гамицы,с,545,57.2125,55.5216666666667,83
Пермский край,Ильинский район,Королева,д,0,58.4883333333333,55.7363888888889,66
Пермский край,Пермский район,Коляды,д,7,57.9647222222222,55.8052777777778,13
Пермский край,Пермский район,Шуваята,д,28,57.9311111111111,56.2336111111111,12
Пермский край,Пермский район,Заполье,д,4,57.91,55.8741666666667,8
Пермский край,Ильинский район,Данихино,д,69,58.5636111111111,55.5438888888889,77
Пермский край,Карагайский район,Фролово,д,338,58.48,55.1616666666667,80
Пермский край,Кунгурский район,Бым,с,485,57.4330555555556,56.3297222222222,56
Пермский край,Кунгурский район,Березовка,д,39,57.6319444444444,56.8125,56
Пермский край,Краснокамский район,Подстанция,д,14,58.1727777777778,56.0094444444444,28
Пермский край,Добрянский район,Кунья,д,2,58.6994444444444,56.7594444444444,97
Пермский край,Добрянский район,Рассохи,д,4,58.4377777777778,56.3580555555556,61
Пермский край,Осинский район,Калино,д,33,57.4502777777778,55.6891666666667,55
