регион,район,город,тип,население,широта,долгота,расстояние
Ханты-Мансийский автономный округ - Югра,Сургутский район,Солнечный,п,12850,61.2777777777778,73.1866666666667,13
Ханты-Мансийский автономный округ - Югра,Сургутский район,Банный,п,17,61.2336111111111,73.7386111111111,21
Ханты-Мансийский автономный округ - Югра,Сургутский район,Тром-Аган,п,190,61.6769444444444,74.31,60
Ханты-Мансийский автономный округ - Югра,Сургутский район,Русскинская,д,1686,62.1558333333333,73.6030555555556,91
Ханты-Мансийский автономный округ - Югра,Нефтеюганский район,Сингапай,п,3771,61.1513888888889,72.6525,45
Ханты-Мансийский автономный округ - Югра,Сургутский район,Юган,д,73,60.8783333333333,73.6894444444444,54
Ханты-Мансийский автономный округ - Югра,Сургутский район,АСС ГПЗ,п,378,61.2869444444444,73.0377777777778,20
Ханты-Мансийский автономный округ - Югра,Сургутский район,Ульт-Ягун,п,2038,61.5047222222222,74.2152777777778,46
Ханты-Мансийский автономный округ - Югра,Нефтеюганский район,Усть-Юган,п,522,60.9338888888889,73.1083333333333,48
Ханты-Мансийский автономный округ - Югра,Сургут,Сургут,г,373940,61.2541666666667,73.3961111111111,10
Ханты-Мансийский автономный округ - Югра,Нефтеюганск,Нефтеюганск,г,127710,61.0997222222222,72.6033333333333,50
Ханты-Мансийский автономный округ - Югра,Сургутский район,Белый Яр,пгт,18620,61.2658333333333,73.2516666666667,11
Ханты-Мансийский автономный округ - Югра,Сургутский район,Барсово,пгт,4953,61.2530555555556,73.1886111111111,15
Ханты-Мансийский автономный округ - Югра,Пыть-Ях,Пыть-Ях,г,39831,60.7586111111111,72.8363888888889,72
Ханты-Мансийский автономный округ - Югра,Нефтеюганский район,Чеускино,с,894,61.1233333333333,72.4427777777778,57
Ханты-Мансийский автономный округ - Югра,Сургутский район,Малоюганский,п,12,60.6391666666667,73.7986111111111,81
Ханты-Мансийский автономный округ - Югра,Сургутский район,Федоровский,пгт,24305,61.6097222222222,73.7197222222222,34
Ханты-Мансийский автономный округ - Югра,Сургутский район,Угут,с,1957,60.5088888888889,74.0541666666667,99
Ханты-Мансийский автономный округ - Югра,Нефтеюганский район,Каркатеевы,п,1820,60.9727777777778,72.4455555555556,66
Ханты-Мансийский автономный округ - Югра,Сургутский район,Сайгатина,д,827,61.2675,72.8755555555556,29
Ханты-Мансийский автономный округ - Югра,Нефтеюганский район,Юганская Обь,нп,1128,61.0791666666667,72.7397222222222,46
Ханты-Мансийский автономный округ - Югра,Нефтеюганский район,17 км автодороги Нефтеюганск-Тундрино,тер,0,61.0883333333333,72.6163888888889,50
