регион,район,город,тип,население,широта,долгота,расстояние
Свердловская область,городской округ Заречный,Гагарка,д,391,56.7677777777778,61.2702777777778,28
Свердловская область,муниципальное образование «посёлок Уральский»,Уральский,п,2434,56.6752777777778,61.0819444444444,18
Свердловская область,Каменский городской округ,Покровское,с,1916,56.4686111111111,61.6175,58
Свердловская область,Невьянский городской округ,Ударник,п,143,57.545,60.2366666666667,95
Свердловская область,Каменский городской округ,Поселок Госдороги,п,0,56.4513888888889,61.7994444444444,69
Свердловская область,Каменский городской округ,Щербаково,с,67,56.4208333333333,61.7247222222222,67
Свердловская область,Малышевский городской округ,Шамейский,п,36,57.1161111111111,61.4680555555556,57
Свердловская область,Белоярский городской округ,Прохладный,п,680,56.7477777777778,60.9388888888889,8
Свердловская область,Сысертский городской округ,Новоипатово,с,740,56.2427777777778,61.0763888888889,58
Свердловская область,Невьянский городской округ,Быньги,с,2571,57.5369444444444,60.2913888888889,93
Свердловская область,Сысертский городской округ,Верхняя Сысерть,п,1138,56.4380555555556,60.7552777777778,34
Свердловская область,Невьянский городской округ,Невьянка,д,14,57.4413888888889,60.24,84
Свердловская область,Белоярский городской округ,Октябрьский,п,540,56.655,61.4558333333333,41
Челябинская область,Каслинский район,Щербаковка,с,320,56.1897222222222,60.9125,61
Челябинская область,Каслинский район,Кульмяково,д,3,55.9661111111111,61.3127777777778,92
Челябинская область,Верхнеуфалейский,Сайма,х,3,56.1713888888889,60.4772222222222,66
Свердловская область,Горноуральский городской округ,Матвеева,д,100,57.6413888888889,60.6594444444444,100
Свердловская область,Режевской городской округ,Колташи,д,135,57.4027777777778,60.8747222222222,73
Челябинская область,Каслинский район,Кабанское,с,21,56.1377777777778,61.7388888888889,88
Свердловская область,Невьянский городской округ,Кунара,с,128,57.3975,60.4672222222222,75
Свердловская область,Каменский городской округ,Маминское,с,1173,56.4394444444444,61.4027777777778,49
Свердловская область,городской округ Верхняя Пышма,Вашты,п,0,57.0625,60.5347222222222,39
Свердловская область,Режевской городской округ,Озерный,п,896,57.3011111111111,61.2088888888889,66
Свердловская область,Белоярский городской округ,Растущий,п,128,56.7780555555556,60.9558333333333,10
Свердловская область,Берёзовский городской округ,Монетный,п,5633,57.0483333333333,60.8802777777778,34
Свердловская область,Режевской городской округ,Точильный Ключ,с,1,57.4886111111111,61.2952777777778,88
Свердловская область,Асбестовский городской округ,Асбест,г,65338,57.0269444444444,61.4594444444444,50
Свердловская область,Невьянский городской округ,Цементный,п,5912,57.4819444444444,60.1605555555556,91
Челябинская область,Кунашакский район,Новобурино,с,1625,55.9827777777778,61.6491666666667,99
Челябинская область,Каслинский район,Багаряк,с,1370,56.2058333333333,61.5027777777778,73
Свердловская область,муниципальное образование «город Екатеринбург»,Кольцово,п,14735,56.7622222222222,60.8163888888889,2
Челябинская область,Каслинский район,Булзи,с,679,56.0866666666667,61.0880555555556,75
Свердловская область,Полевской городской округ,Станционный-Полевской,п,1072,56.4408333333333,60.3161111111111,45
Челябинская область,Каслинский район,Ларино,с,282,56.2908333333333,61.2958333333333,58
Свердловская область,Сысертский городской округ,Марков камень,заимка,0,56.5244444444444,60.8241666666667,24
Свердловская область,Невьянский городской округ,Таватуйский Детдом,п,24,57.0897222222222,60.1555555555556,55
Свердловская область,муниципальное образование «город Екатеринбург»,Чусовское Озеро,п,676,56.7613888888889,60.2911111111111,31
Свердловская область,Белоярский городской округ,Бруснятское,с,1370,56.7111111111111,61.5327777777778,44
Свердловская область,Сысертский городской округ,Седельниково,ст,0,56.6388888888889,60.6413888888889,15
Свердловская область,Белоярский городской округ,Камышево,с,1066,56.54,61.3486111111111,40
Челябинская область,Каслинский район,Гаево,с,14,56.3038888888889,61.4591666666667,63
Свердловская область,Каменский городской округ,Горный,п,275,56.4338888888889,61.5911111111111,59
Свердловская область,городской округ Первоуральск,Билимбай,п,3475,56.9636111111111,59.8175,64
Свердловская область,Невьянский городской округ,Горельский,п,0,57.4430555555556,60.3330555555556,83
Челябинская область,Каслинский район,Москвина,д,2,56.3047222222222,61.6377777777778,70
Свердловская область,Каменский городской округ,Троицкое,с,245,56.385,61.4130555555556,54
Свердловская область,городской округ Среднеуральск,Коптяки,д,380,56.9672222222222,60.4352777777778,33
Свердловская область,Сысертский городской округ,Лечебный,п,17,56.3916666666667,60.9513888888889,40
Свердловская область,муниципальное образование «город Екатеринбург»,Шувакиш,п,1067,56.9208333333333,60.4811111111111,27
Свердловская область,Режевской городской округ,Клевакинское,с,1202,57.5222222222222,61.3541666666667,92
Свердловская область,Белоярский городской округ,Косулино,с,2644,56.7363888888889,60.9625,9
Свердловская область,муниципальное образование «город Екатеринбург»,Широкая Речка,пгт,1150,56.6669444444444,60.4697222222222,22
Свердловская область,Белоярский городской округ,Чернобровкина,д,326,56.665,61.2555555555556,29
Свердловская область,городской округ Верхнее Дуброво,Верхнее Дуброво,рп,5047,56.755,61.0430555555556,14
Свердловская область,городской округ Первоуральск,Старые Решеты,д,1057,56.8483333333333,60.2455555555556,36
Свердловская область,городской округ Верхняя Пышма,Ромашка,п,121,57.045,60.5927777777778,35
Свердловская область,Полевской городской округ,Косой Брод,с,1398,56.4797222222222,60.3341666666667,41
Челябинская область,Каслинский район,Григорьевка,д,303,56.1588888888889,60.9430555555556,65
Свердловская область,Невьянский городской округ,Федьковка,с,157,57.4261111111111,60.2658333333333,82
Свердловская область,Белоярский городской округ,Каменка,п,16,56.9180555555556,61.43,42
Свердловская область,Невьянский городской округ,Осиновка,д,147,57.5063888888889,60.5588888888889,86
Челябинская область,Кунашакский район,Татарская Караболка,с,380,55.9452777777778,61.1780555555556,91
Свердловская область,Сысертский городской округ,Большой Исток,п,7281,56.7213888888889,60.7697222222222,3
Свердловская область,муниципальное образование «город Екатеринбург»,Садовый,п,3256,56.9558333333333,60.6772222222222,24
