регион,район,город,тип,население,широта,долгота,расстояние
Тюменская область,Исетский район,Битюки,д,199,56.3883333333333,65.3308333333333,87
Тюменская область,Исетский район,Кукушки,д,467,56.6263888888889,65.4663888888889,61
Тюменская область,Тюменский район,Успенка,с,2074,57.0783333333333,65.0816666666667,18
Свердловская область,Тугулымский городской округ,Тугулым,п/ст,694,57.0683333333333,64.5511111111111,48
Свердловская область,Тугулымский городской округ,Дубровина,д,49,57.2505555555556,64.8933333333333,27
Тюменская область,Исетский район,Созонова,д,20,56.5516666666667,65.045,71
Тюменская область,Тюменский район,Каменка,с,1506,57.2586111111111,65.1294444444444,14
Тюменская область,Нижнетавдинский район,Черепаново,с,251,57.7016666666667,65.9966666666667,71
Тюменская область,Тюменский район,Чаплык,д,101,56.9736111111111,65.0747222222222,27
Тюменская область,Нижнетавдинский район,Нижние Тарманы,д,284,57.3683333333333,65.4163888888889,22
Свердловская область,Слободо-Туринский муниципальный район,Елкина,д,82,57.4241666666667,64.7083333333333,46
Тюменская область,Тюменский район,Падерина,д,1151,57.0836111111111,65.4455555555556,12
Тюменская область,Тюменский район,Криводанова,д,692,57.1227777777778,66.2013888888889,53
Тюменская область,Ялуторовский район,Старый Кавдык,с,514,56.77,66.2277777777778,71
Тюменская область,Нижнетавдинский район,Сартово,с,116,57.5838888888889,66.0658333333333,63
Свердловская область,Тавдинский городской округ,Михайловка,д,0,57.9791666666667,65.2194444444444,89
Тюменская область,Тюменский район,Насекина,д,15,57.2711111111111,65.0875,17
Тюменская область,Тюменский район,Новотарманский,п,3396,57.2827777777778,65.2252777777778,13
Тюменская область,Тюменский район,Ембаево,с,3148,57.1505555555556,65.7647222222222,26
Тюменская область,Нижнетавдинский район,Петрунькино,с,46,57.5536111111111,66.1947222222222,67
Свердловская область,Тугулымский городской округ,Тямкина,д,60,57.1566666666667,64.6105555555555,43
Тюменская область,Нижнетавдинский район,Антропово,с,110,57.8125,65.8669444444444,77
Тюменская область,Исетский район,Зерновой,п,134,56.6055555555556,65.4011111111111,63
Тюменская область,Исетский район,Гаева,д,245,56.4575,65.2141666666667,80
Свердловская область,Тугулымский городской округ,Щелконогова,д,212,57.1988888888889,64.4386111111111,53
Тюменская область,Исетский район,Осинова,д,12,56.4875,65.1358333333333,77
Тюменская область,Ялуторовский район,Менгарская,д,17,56.7169444444444,65.9147222222222,62
Тюменская область,Тюменский район,Костылева,д,39,56.9391666666667,65.1602777777778,28
Тюменская область,Нижнетавдинский район,Сосновка,с,10,57.6841666666667,65.9408333333333,67
Тюменская область,Тюменский район,Пышминка,д,217,56.9677777777778,65.8766666666667,40
Тюменская область,Нижнетавдинский район,Веселая Грива,д,218,57.6080555555556,65.2272222222222,48
