регион,район,город,тип,население,широта,долгота,расстояние
Курганская область,Белозерский район,Новодостовалово,с,137,55.9194444444444,65.8233333333333,55
Курганская область,Половинский район,Половинное,с,4681,54.7908333333333,65.9780555555556,84
Курганская область,Притобольный район,Ялым,с,462,54.7686111111111,65.0875,81
Курганская область,Кетовский район,Санаторная,д,286,55.3036111111111,65.3127777777778,20
Курганская область,Юргамышский район,Норильное,с,138,55.0741666666667,64.5044444444444,73
Курганская область,Кетовский район,Романовка,д,143,55.3419444444444,65.0472222222222,27
Курганская область,Курган,Утяк,мкр,1767,55.4066666666667,65.5361111111111,10
Курганская область,Каргапольский район,Бахарево,с,162,56.1436111111111,64.5830555555556,90
Курганская область,Варгашинский район,Варгаши,рп,9218,55.3755555555556,65.8158333333333,27
Курганская область,Шатровский район,Сладчанка,д,104,56.2222222222222,64.6936111111111,94
Курганская область,Лебяжьевский район,Речное,с,356,55.1872222222222,66.3694444444444,68
Курганская область,Каргапольский район,Липнягова,д,30,56.0930555555556,64.5277777777778,88
Курганская область,Кетовский район,Лиственная,д,50,55.1513888888889,65.5744444444444,37
Тюменская область,Упоровский район,Губина,д,11,56.2019444444444,65.9844444444444,88
Курганская область,Лебяжьевский район,Новощетниково,д,26,55.4955555555556,66.3044444444444,56
Курганская область,Половинский район,Успенка,д,48,54.7897222222222,66.3716666666667,97
Курганская область,Белозерский район,Рычково,с,433,55.6455555555556,65.5008333333333,19
Тюменская область,Упоровский район,Лескова,д,12,56.1072222222222,65.9863888888889,78
Курганская область,Половинский район,Хлупово,с,486,54.7758333333333,65.9044444444445,83
Курганская область,Варгашинский район,Попово,с,172,55.4163888888889,66.065,41
Курганская область,Лебяжьевский район,Слободчики,д,2,55.2727777777778,66.3291666666667,62
Курганская область,Притобольный район,Мочалово,д,180,54.6516666666667,65.0302777777778,94
Курганская область,Куртамышский район,Приречная,д,26,54.8058333333333,64.7747222222222,84
Курганская область,Притобольный район,Банщиково,д,90,54.7105555555556,65.3891666666667,85
Курганская область,Кетовский район,Малое Раково,д,0,55.2269444444444,64.7538888888889,50
Курганская область,Юргамышский район,Губерля,с,258,55.5630555555556,64.6025,52
Курганская область,Юргамышский район,Щучье,д,51,55.4647222222222,64.4847222222222,58
Курганская область,Притобольный район,Нижнеберезово,с,75,54.8338888888889,65.0841666666667,74
Курганская область,Варгашинский район,Верхнесуерское,с,470,55.8969444444444,66.3033333333333,72
Курганская область,Кетовский район,Малиновка,п,81,55.5052777777778,65.1780555555556,15
Курганская область,Кетовский район,Митино,с,618,55.1938888888889,65.4777777777778,31
Курганская область,Белозерский район,Мясникова,д,171,56.1136111111111,65.7486111111111,74
Курганская область,Юргамышский район,Красикова,д,68,55.2477777777778,64.6488888888889,54
Курганская область,Курган,Комогоровка,д,6,55.4416666666667,65.3444444444444,5
Курганская область,Варгашинский район,Заложное,д,41,55.6925,66.0861111111111,48
Курганская область,Каргапольский район,Жикина,д,78,55.8777777777778,64.6652777777778,65
Курганская область,Куртамышский район,Костниво,с,0,54.8180555555556,64.4630555555556,95
Курганская область,Кетовский район,Новокомогоровка,д,83,55.2730555555556,64.9738888888889,35
Курганская область,Куртамышский район,Каминское,с,332,54.7858333333333,64.9694444444444,81
Курганская область,Варгашинский район,Сосновка,д,87,55.8919444444444,66.3147222222222,73
Курганская область,Каргапольский район,Бралгина,д,102,56.0583333333333,65.0038888888889,69
Курганская область,Кетовский район,Костоусово,д,51,55.5366666666667,65.5133333333333,9
Курганская область,Кетовский район,Лесной,п,42,55.1941666666667,65.7094444444444,36
Курганская область,Белозерский район,Охотино,д,29,55.7841666666667,65.5958333333333,36
Курганская область,Куртамышский район,Кислое,д,15,54.8388888888889,64.6988888888889,84
Курганская область,Куртамышский район,Перевалово,д,170,54.7555555555556,64.5338888888889,97
Курганская область,Варгашинский район,Васильки,д,12,55.3536111111111,65.9169444444444,34
Курганская область,Варгашинский район,Кабанье,д,78,55.3966666666667,65.875,30
Курганская область,Кетовский район,Марково,с,504,55.2758333333333,65.6794444444444,27
Тюменская область,Упоровский район,Боровушка,д,197,56.1363888888889,65.995,82
Курганская область,Кетовский район,Чистопрудный,п,29,55.5527777777778,65.3216666666667,10
Курганская область,Половинский район,Менщиково,с,72,54.8161111111111,65.6547222222222,74
Курганская область,Белозерский район,Худякова,д,0,55.8494444444444,65.4416666666667,41
Курганская область,Курган,Затобольный,п,861,55.4347222222222,65.4377777777778,4
Курганская область,Белозерский район,Нижнетобольное,с,383,55.7716666666667,65.6111111111111,35
Курганская область,Курган,Увал,п,2508,55.3822222222222,65.3825,10
Курганская область,Варгашинский район,Уфина,д,81,55.4127777777778,65.6458333333333,16
Курганская область,Половинский район,Гусинное,д,19,54.9491666666667,66.2977777777778,81
Курганская область,Притобольный район,Камышное,с,473,55.1008333333333,65.185,44
Курганская область,Каргапольский район,Красный Бор,п,7,56.0219444444444,64.6108333333333,79
Курганская область,Куртамышский район,Нижнее,с,1045,54.8608333333333,64.4738888888889,90
Курганская область,Притобольный район,Давыдовка,с,495,54.9330555555556,65.3947222222222,60
Курганская область,Кетовский район,Орловка,д,203,55.1986111111111,64.8177777777778,48
Курганская область,Куртамышский район,Белое,д,6,54.7277777777778,64.9716666666667,87
Курганская область,Варгашинский район,Роза,п,34,55.3855555555556,65.7172222222222,21
Тюменская область,Упоровский район,Одино,с,125,56.1233333333333,66.0144444444445,81
Тюменская область,Упоровский район,Тюменцева,д,148,56.0438888888889,66.0213888888889,73
Курганская область,Курган,Храпово,мкр,142,55.4613888888889,65.4572222222222,3
Курганская область,Белозерский район,Зюзино,с,171,55.7105555555556,65.7086111111111,32
Курганская область,Белозерский район,Новозаборка,д,26,55.6513888888889,65.8155555555556,31
Курганская область,Кетовский район,Кривина,д,27,55.5219444444444,65.7172222222222,19
Курганская область,Кетовский район,Галкино,д,0,55.5627777777778,65.5372222222222,12
Курганская область,Варгашинский район,Шастово,с,240,55.9358333333333,66.0191666666667,63
Курганская область,Кетовский район,Чернавский,п,99,55.5188888888889,65.0441666666667,23
Курганская область,Каргапольский район,Мамонова,д,33,56.0741666666667,64.9511111111111,72
Курганская область,Белозерский район,Ягодная,д,423,56.0933333333333,65.085,71
Курганская область,Курган,16-й,мкр,36,55.4813888888889,65.2775,8
Курганская область,Половинский район,Марай,д,310,54.9333333333333,65.8763888888889,67
Курганская область,Куртамышский район,Камыши,с,425,55.0261111111111,64.9116666666667,59
Курганская область,Курган,Ключи,п,202,55.4138888888889,65.425,6
Курганская область,Юргамышский район,Ложкина,д,49,55.5163888888889,64.4680555555556,60
Курганская область,Куртамышский район,Коновалова,д,245,54.8513888888889,64.5805555555555,87
Курганская область,Каргапольский район,Шляпникова,д,69,55.8969444444444,64.4358333333333,77
Курганская область,Белозерский район,Пуховая,д,0,55.9455555555556,65.815,58
Курганская область,Курган,Арбинка,мкр,49,55.3791666666667,65.2125,16
Курганская область,Притобольный район,Вавилкова,д,11,55.1941666666667,65.1913888888889,34
Курганская область,Половинский район,Малодубровное,д,178,55.0747222222222,65.6883333333333,47
Курганская область,Варгашинский район,Носково,с,17,55.6605555555556,65.9291666666667,38
Курганская область,Белозерский район,Козлова,д,0,55.9622222222222,65.1325,57
Курганская область,Кетовский район,Логоушка,д,549,55.4330555555556,65.0180555555555,25
