регион,район,город,тип,население,широта,долгота,расстояние
Ивановская область,Фурмановский район,Косогоры,д,111,57.2308333333333,41.1033333333333,63
Ярославская область,Даниловский район,Алексеево,д,0,58.1952777777778,40.1252777777778,68
Ивановская область,Заволжский район,Колшево,с,453,57.6777777777778,41.6561111111111,40
Ярославская область,Даниловский район,Сухарево,д,0,58.0833333333333,40.4608333333333,45
Костромская область,Красносельский район,Климитино,д,0,57.6525,41.1216666666667,17
Ярославская область,Любимский район,Кинтаново,д,29,58.3719444444444,40.9513888888889,64
Ивановская область,Приволжский район,Анненское,д,1,57.2922222222222,41.3272222222222,59
Ярославская область,Некрасовский район,Меньшиково,д,0,57.5005555555556,40.2344444444444,57
Ивановская область,Родниковский район,Киньдяково,д,2,57.1541666666667,41.5208333333333,77
Ивановская область,Фурмановский район,Паньково,д,34,57.2558333333333,41.0655555555556,60
Ивановская область,Вичугский район,Канино,д,2,57.3352777777778,41.9519444444444,75
Ивановская область,Комсомольский район,Яблоново,д,69,57.0188888888889,40.3619444444444,95
Ярославская область,Даниловский район,Ушаки,д,7,58.1622222222222,40.1369444444444,66
Ярославская область,Даниловский район,Берелево,д,14,57.8988888888889,40.2972222222222,44
Ивановская область,Фурмановский район,Высоково,д,0,57.1827777777778,41.2661111111111,70
Костромская область,Костромской район,Гороженица,д,0,57.5872222222222,40.8986111111111,24
Ивановская область,Вичугский район,Старцево,д,0,57.2497222222222,41.7705555555556,75
Ивановская область,Приволжский район,Церковное,д,7,57.4422222222222,41.5225,49
Костромская область,Город Нерехта и Нерехтский район,Клементьево,д,266,57.3452777777778,40.8177777777778,51
Ярославская область,Ярославский район,Малышево,д,21,57.5205555555556,40.0241666666667,66
Ивановская область,Заволжский район,Голочелово,д,8,57.6177777777778,41.8572222222222,53
Костромская область,Красносельский район,Петрушино,д,0,57.6163888888889,41.4491666666667,32
Ярославская область,Некрасовский район,Шубино,д,6,57.6302777777778,40.4216666666667,40
Ивановская область,Ивановский район,Жуково,д,347,56.9383333333333,40.9691666666667,95
Ивановская область,Ивановский район,Пережогино,д,6,57.105,41.28,78
