регион,район,город,тип,население,широта,долгота,расстояние
Калужская область,Малоярославецкий,Ерденево,ст,169,54.925,36.3955555555556,41
Тульская область,Суворовский район,Доброе,с,182,54.1797222222222,36.3369444444444,41
Тульская область,Суворовский район,Родионовский,х,0,54.185,36.7080555555556,46
Тульская область,Белёвский район,Конново,д,11,53.8422222222222,35.9988888888889,82
Московская область,Наро-Фоминский,Кобяково,д,2,55.2266666666667,35.9969444444444,79
Калужская область,Ферзиковский,Елькино,д,2,54.5633333333333,36.7138888888889,22
Калужская область,город Калуга,Карачево,д,119,54.5802777777778,36.2177777777778,10
Калужская область,Износковский,Степанчики,д,2,54.8808333333333,35.6316666666667,60
Калужская область,Бабынинский,Сеньково,с,5,54.3436111111111,35.7052777777778,48
Тульская область,Одоевский район,Пришня-Шевелевка,д,10,53.9083333333333,37.0075,82
Московская область,Серпуховский,Злобино,д,16,54.9763888888889,37.3180555555556,77
Тульская область,Арсеньевский район,Большое Захарово,д,24,53.6833333333333,36.6061111111111,97
Калужская область,Малоярославецкий,Барановка,д,0,54.7905555555556,36.1686111111111,29
Калужская область,Тарусский,Яблоново,д,1,54.6138888888889,37.1205555555556,48
Калужская область,Медынский,Мансурово,д,6,55.0063888888889,35.8558333333333,60
Московская область,Чеховский,Бутырки,д,10,55.0519444444444,37.2155555555556,78
Калужская область,город Калуга,Калужка,д,0,54.5136111111111,36.3775,3
Московская область,Наро-Фоминский,Настасьино,д,11,55.4,36.5686111111111,95
Тульская область,Суворовский район,Черепеть,п,1294,54.1175,36.3838888888889,47
Калужская область,Козельский,Ильинское,с,5,54.2386111111111,35.6805555555556,56
Калужская область,Тарусский,Аксинино,д,0,54.7547222222222,36.9494444444444,43
Калужская область,Ферзиковский,Семеновка,д,0,54.4022222222222,36.9183333333333,39
Калужская область,Бабынинский,Дегтянка,д,2,54.4869444444444,35.9227777777778,29
Тульская область,Город Алексин,Плоское,д,19,54.3544444444444,37.1413888888889,54
Тульская область,Одоевский район,Масловка,д,0,53.7833333333333,36.9094444444444,92
Калужская область,Юхновский,Лобаново,д,0,54.6138888888889,35.5025,56
Тульская область,Щёкинский район,Малынь,с,357,53.8708333333333,37.1466666666667,90
Московская область,Наро-Фоминский,Самород,д,5,55.3269444444444,36.2811111111111,86
Калужская область,Перемышльский,Желохово,д,0,54.3658333333333,36.1388888888889,25
Тульская область,Белёвский район,Давыдово,д,130,53.9,36.1341666666667,73
Калужская область,Ферзиковский,Козловка,д,7,54.5005555555556,36.7911111111111,27
Калужская область,Перемышльский,Верхнее Алопово,д,25,54.2027777777778,35.9677777777778,46
Калужская область,Жуковский,Калинино,д,0,54.8663888888889,37.0641666666667,56
Тульская область,Дубенский район,Красавка,д,11,54.1119444444444,37.2325,74
Калужская область,Жуковский,Успенские Хутора,д,2,55.1602777777778,36.8927777777778,75
Тульская область,Щёкинский район,Натальевка,д,1,53.8861111111111,37.3625,98
