регион,район,город,тип,население,широта,долгота,расстояние
Ивановская область,Фурмановский район,Косогоры,д,111,57.2308333333333,41.1033333333333,33
Ивановская область,Заволжский район,Колшево,с,453,57.6777777777778,41.6561111111111,92
Владимирская область,Суздальский,Семеновское-Советское,с,0,56.3797222222222,40.2488888888889,75
Ивановская область,Лежневский район,Игнатиха,д,17,56.8669444444444,40.7811111111111,12
Костромская область,Красносельский район,Климитино,д,0,57.6525,41.1216666666667,79
Ивановская область,Приволжский район,Анненское,д,1,57.2922222222222,41.3272222222222,45
Ярославская область,Некрасовский район,Меньшиково,д,0,57.5005555555556,40.2344444444444,75
Ивановская область,Шуйский район,Васильевское,с,1110,56.9330555555556,41.6641666666667,44
Ивановская область,Ильинский район,Радино,д,10,56.9058333333333,39.9622222222222,59
Ярославская область,Гаврилов-Ямский район,Борисово,д,11,57.4355555555556,39.9552777777778,80
Ивановская область,Родниковский район,Киньдяково,д,2,57.1541666666667,41.5208333333333,42
Ивановская область,Фурмановский район,Паньково,д,34,57.2558333333333,41.0655555555556,35
Ивановская область,Комсомольский район,Яблоново,д,69,57.0188888888889,40.3619444444444,35
Ивановская область,Фурмановский район,Высоково,д,0,57.1827777777778,41.2661111111111,33
Костромская область,Костромской район,Гороженица,д,0,57.5872222222222,40.8986111111111,71
Владимирская область,Ковровский,Душкино,д,6,56.4088888888889,41.6363888888889,73
Ивановская область,Лежневский район,Детково,д,2,56.7055555555556,41.0241666666667,26
Ивановская область,Южский район,Фофаново,д,0,56.6447222222222,41.7530555555556,60
Ярославская область,Ярославский район,Поповское,д,6,57.4819444444444,39.9352777777778,85
Ивановская область,Савинский район,Дубровка,д,0,56.5211111111111,41.4269444444444,55
Ивановская область,Вичугский район,Старцево,д,0,57.2497222222222,41.7705555555556,61
Ивановская область,Приволжский район,Церковное,д,7,57.4422222222222,41.5225,66
Костромская область,Город Нерехта и Нерехтский район,Клементьево,д,266,57.3452777777778,40.8177777777778,45
Ярославская область,Ярославский район,Малышево,д,21,57.5205555555556,40.0241666666667,84
Ивановская область,Заволжский район,Голочелово,д,8,57.6177777777778,41.8572222222222,93
Костромская область,Красносельский район,Петрушино,д,0,57.6163888888889,41.4491666666667,81
Ярославская область,Некрасовский район,Шубино,д,6,57.6302777777778,40.4216666666667,82
Ивановская область,Ивановский район,Жуково,д,347,56.9383333333333,40.9691666666667,2
Ивановская область,Ивановский район,Пережогино,д,6,57.105,41.28,27
Костромская область,Красносельский район,Никола-Плетни,д,0,57.5719444444444,41.2463888888889,72
Костромская область,Красносельский район,Гущино,д,18,57.6294444444444,41.4313888888889,82
Ивановская область,Родниковский район,Беловское,д,7,57.1886111111111,41.5461111111111,46
Владимирская область,Суздальский,Суходол,с,296,56.1958333333333,40.4436111111111,88
Костромская область,Город Нерехта и Нерехтский район,Иголкино,д,138,57.4422222222222,40.5194444444444,60
Владимирская область,Суздальский,Вышеславское,с,12,56.3683333333333,40.2727777777778,75
Костромская область,Костромской район,Убебиново,д,2,57.76,41.085,91
Ивановская область,Заволжский район,Ватаги,д,0,57.4533333333333,41.8844444444444,80
Ивановская область,Родниковский район,Половчинново,д,6,57.0647222222222,41.7669444444444,52
Ивановская область,Родниковский район,Ширяиха Малая,д,0,57.1358333333333,41.5797222222222,44
Ярославская область,Некрасовский район,Горино,д,0,57.6225,40.625,77
Костромская область,Костромской район,Стрельниково,д,512,57.8002777777778,40.8302777777778,95
Ивановская область,Вичугский район,Анкино,д,7,57.3688888888889,41.7672222222222,69
Владимирская область,Ковровский,Мордвины,д,38,56.1166666666667,41.4155555555556,96
Ивановская область,Тейковский район,Оболсуново,с,283,56.9036111111111,40.6158333333333,19
Костромская область,Город Нерехта и Нерехтский район,Космынино,п,1628,57.5830555555556,40.7633333333333,72
Ивановская область,Заволжский район,Шарино,д,4,57.4583333333333,41.6213888888889,70
Костромская область,Костромской район,Филипцево,п,104,57.8008333333333,41.2216666666667,97
Ивановская область,Вичугский район,Гаврилково,д,279,57.2569444444444,41.7052777777778,58
Ивановская область,Гаврилово-Посадский район,Садовый,с,0,56.5438888888889,40.0941666666667,67
Ивановская область,Шуйский район,Черняткино,д,24,56.7813888888889,41.6180555555556,45
Костромская область,Город Нерехта и Нерехтский район,Кочерово,д,0,57.4427777777778,40.9352777777778,55
Ивановская область,Ильинский район,Ядреево,д,0,56.9027777777778,40.0705555555556,52
Ивановская область,Лежневский район,Жуковицы,д,8,56.665,40.8502777777778,31
Ивановская область,Вичугский район,Починок,д,1,57.3294444444444,41.6166666666667,59
Костромская область,Красносельский район,Синцово,д,180,57.6908333333333,41.4833333333333,89
Ярославская область,Некрасовский район,Келноть,ст,0,57.7811111111111,40.5180555555556,96
Ивановская область,Ивановский район,Куликово,д,1210,56.9958333333333,41.2097222222222,17
Ивановская область,Шуйский район,Змеево,д,210,56.8075,41.3972222222222,32
Ивановская область,Заволжский район,Белоногово,д,0,57.5766666666667,41.7883333333333,87
Костромская область,Костромской район,Пушкино,д,3,57.6511111111111,41.0511111111111,79
Ивановская область,Фурмановский район,Шарапово,д,2,57.1838888888889,40.7286111111111,29
Ивановская область,Заволжский район,Фоминское,д,77,57.4427777777778,41.6644444444444,71
Костромская область,Костромской район,Становщиково,д,71,57.7183333333333,40.9516666666667,86
Ивановская область,Шуйский район,Аистово,д,42,56.9,41.5361111111111,37
Ивановская область,Вичугский район,Березово,д,3,57.3302777777778,41.655,61
Ивановская область,Гаврилово-Посадский район,Шатры,д,10,56.6175,40.3127777777778,52
Владимирская область,Суздальский,Воронцово,д,6,56.3088888888889,40.1658333333333,84
Ярославская область,Некрасовский район,Гулениха,д,0,57.3822222222222,40.3397222222222,60
Ивановская область,Тейковский район,Пырьевка,д,73,56.6863888888889,40.4108333333333,42
Ивановская область,Комсомольский район,Юрцыно,д,43,57.1425,40.5316666666667,32
Ивановская область,Савинский район,Заозерье,д,1,56.5436111111111,40.895,44
Ярославская область,Некрасовский район,Гумнищи,д,19,57.5866666666667,40.2775,81
Ивановская область,Лежневский район,Почевино,д,7,56.8166666666667,40.8691666666667,14
Ивановская область,Заволжский район,Беседы,д,0,57.4202777777778,41.8061111111111,74
Костромская область,Город Нерехта и Нерехтский район,Рудино,п,316,57.45,40.9013888888889,56
Ивановская область,Ивановский район,Исаево,д,1,57.0236111111111,41.3011111111111,24
Ивановская область,Лежневский район,Шилыково,с,1816,56.9227777777778,40.7394444444444,11
Ивановская область,Ивановский район,Кочорский,д,487,56.9238888888889,41.0761111111111,9
Ивановская область,Вичугский район,Савинская,д,0,57.3213888888889,41.8927777777778,71
Ивановская область,Шуйский район,Запрудново,д,18,56.7144444444444,41.2769444444444,32
Ивановская область,Савинский район,Покровское,д,296,56.6025,41.365,46
Ивановская область,Тейковский район,Ясново,д,2,56.6975,40.3041666666667,47
Ивановская область,Заволжский район,Семеновское,с,3,57.4586111111111,41.6958333333333,73
Ивановская область,Ивановский район,Дубники,д,15,56.935,41.1586111111111,13
Ивановская область,Тейковский район,Третьяково,д,0,56.7663888888889,40.4402777777778,35
Костромская область,Город Нерехта и Нерехтский район,Дьяково,д,15,57.34,40.6561111111111,47
Ивановская область,Шуйский район,Семейкино,д,454,56.8086111111111,41.34,28
Ивановская область,Тейковский район,Обезово,д,0,56.6647222222222,40.6016666666667,36
Ивановская область,Южский район,Травино,д,44,56.6761111111111,41.7808333333333,59
Ивановская область,Ивановский район,Сафронцево,д,11,56.9883333333333,41.2208333333333,18
Костромская область,Костромской район,Злобино,д,23,57.6794444444444,40.7094444444444,83
Владимирская область,Ковровский,Рогозиниха,д,24,56.4797222222222,41.3652777777778,57
Ивановская область,Приволжский район,Режово,д,0,57.3663888888889,41.4363888888889,56
Ивановская область,Комсомольский район,Хоботово,д,0,57.0633333333333,40.1533333333333,49
Ивановская область,Ивановский район,Голяково,д,35,56.8630555555556,40.9825,9
Владимирская область,Камешковский,Санатория им Ленина,п,16,56.1666666666667,40.8752777777778,86
Владимирская область,Камешковский,Семенигино,д,16,56.5072222222222,40.9733333333333,48
Костромская область,Судиславский район,Меза,ст,37,57.8097222222222,41.4136111111111,100
Костромская область,Костромской район,Казанка,д,120,57.8119444444444,40.8530555555556,96
Ивановская область,Ивановский район,Колбацкое,с,136,57.0433333333333,41.4097222222222,31
Ивановская область,Заволжский район,Зиновкино,д,0,57.5269444444444,41.6458333333333,78
Ивановская область,Савинский район,Меховицы,с,50,56.5452777777778,41.0783333333333,45
Ивановская область,Тейковский район,Ширяево,д,0,56.8988888888889,40.68,16
Владимирская область,Суздальский,Бродницы,д,92,56.2238888888889,40.4113888888889,86
Ивановская область,Савинский район,Манцуриха,д,0,56.5211111111111,41.1391666666667,48
Ярославская область,Ярославский район,Красный Бор,д,430,57.6477777777778,40.0147222222222,96
Владимирская область,Ковровский,Ельниково,д,9,56.2769444444444,41.2047222222222,75
Ивановская область,Комсомольский район,Чудь,д,40,57.1980555555556,40.5630555555556,36
Ярославская область,Некрасовский район,Ескино,д,3,57.5761111111111,40.4833333333333,75
Ивановская область,Вичугский район,Стрелка,д,76,57.4044444444444,41.8052777777778,73
Ивановская область,Ивановский район,Кочедыково,д,184,56.9438888888889,41.0544444444444,7
Ивановская область,Ивановский район,Красное,д,19,57.0652777777778,41.1580555555556,19
Ивановская область,Южский район,Марьинка,д,0,56.6397222222222,41.7988888888889,62
Ивановская область,Палехский район,Еремкино,д,48,56.885,41.7405555555556,49
Владимирская область,Ковровский,Верхутиха,д,85,56.4077777777778,41.2430555555556,62
Костромская область,Судиславский район,Долматово,д,7,57.7466666666667,41.4161111111111,94
Ивановская область,Ивановский район,Горенцово,д,16,56.8827777777778,40.8819444444444,7
Владимирская область,Камешковский,Байково,д,0,56.3533333333333,40.6619444444444,67
Ивановская область,Гаврилово-Посадский район,Загородный,с,245,56.5741666666667,40.0952777777778,65
Костромская область,Костромской район,Борщино,д,41,57.7683333333333,40.7002777777778,93
Ивановская область,Палехский район,Раменье,д,50,56.8225,41.7616666666667,52
Владимирская область,Суздальский,Якиманское,с,6,56.3425,40.5263888888889,71
Владимирская область,Юрьев-Польский,Котлучино,с,17,56.3066666666667,40.0027777777778,90
Костромская область,Город Нерехта и Нерехтский район,Богдань,д,0,57.4030555555556,40.5508333333333,56
Владимирская область,Камешковский,Крутово,д,8,56.3736111111111,40.7372222222222,64
Владимирская область,Судогодский,Васильево,д,40,56.0488888888889,41.155,100
Ивановская область,Тейковский район,Ситниково,д,11,56.9211111111111,40.7008333333333,14
Ивановская область,Савинский район,Пятунино,д,0,56.6427777777778,41.6616666666667,55
Владимирская область,Камешковский,Кирюшино,д,13,56.3930555555556,40.8761111111111,61
Ивановская область,Комсомольский район,Семено-Сарское,с,3,57.185,40.3280555555556,45
Ивановская область,Савинский район,Ворманки,д,4,56.4930555555556,41.2258333333333,53
Владимирская область,Суздальский,Ивановское,с,427,56.4086111111111,40.4244444444444,67
Ивановская область,Шуйский район,Никитинское,д,95,56.9683333333333,41.7072222222222,47
Ивановская область,Вичугский район,Жирятино,д,84,57.3711111111111,41.89,75
Костромская область,Город Нерехта и Нерехтский район,Дуново,д,19,57.4827777777778,40.8119444444444,60
Ивановская область,Комсомольский район,Старово,д,22,57.0902777777778,40.2452777777778,44
Ярославская область,Некрасовский район,Перепечино,д,0,57.4033333333333,40.1358333333333,70
Ярославская область,Некрасовский район,Заболотье,д,150,57.7913888888889,40.5605555555556,97
