регион,район,город,тип,население,широта,долгота,расстояние
Брянская область,Почепский район,Починок,д,23,52.8383333333333,33.3138888888889,71
Брянская область,Почепский район,Дубрава,д,1,53.0766666666667,33.2875,61
Брянская область,Рогнединский район,Нижнее Бунево,д,8,53.9302777777778,33.7519444444444,84
Калужская область,Жиздринский,Гремучий Колодец,д,0,53.5525,34.6738888888889,50
Брянская область,Комаричский район,Игрицкое,с,339,52.3891666666667,34.4363888888889,93
Брянская область,Жуковский район,Остров,д,34,53.5647222222222,33.6972222222222,50
Брянская область,Карачевский район,Слобода,д,185,53.105,35.0180555555556,57
Брянская область,Брянский район,Отрадное,с,2111,53.3275,34.1730555555556,12
Брянская область,Жуковский район,Леденево,д,343,53.4166666666667,33.6736111111111,40
Брянская область,Дубровский район,Май,д,0,53.4777777777778,33.4216666666667,58
Брянская область,Дятьковский район,Бацкино,с,101,53.7252777777778,33.9727777777778,58
Калужская область,Людиновский,Петровский,д,0,53.7730555555556,34.5361111111111,66
Брянская область,Выгоничский район,Орменка,д,440,53.1502777777778,33.9122222222222,19
Брянская область,Почепский район,Новинский,п,7,52.8211111111111,33.3844444444444,68
Брянская область,Почепский район,Витовка,с,894,52.9202777777778,33.4991666666667,55
Брянская область,Комаричский район,Новолубошево,п,9,52.4663888888889,34.5988888888889,87
Калужская область,Хвастовичский,Аннино,с,14,53.4052777777778,35.0838888888889,64
Брянская область,Почепский район,Липки,п,3,53.0419444444444,33.6547222222222,39
Орловская область,Шаблыкинский,Титово,с,190,52.7652777777778,35.1719444444444,83
Орловская область,Дмитровский,Аношинка,д,42,52.5327777777778,35.1038888888889,98
Брянская область,Трубчевский район,Белоголовичи,д,20,52.6869444444444,33.8105555555556,63
Орловская область,Дмитровский,Ясная Поляна,п,4,52.5666666666667,35.0986111111111,95
Брянская область,Жуковский район,Сельцо-Рудное,д,2,53.3997222222222,33.8522222222222,29
Калужская область,Людиновский,Колчино,д,0,53.9080555555556,34.2902777777778,77
Брянская область,Дубровский район,Чугуновка,д,1,53.5969444444444,33.4494444444444,64
Брянская область,Почепский район,Кожемяки,д,201,52.7836111111111,33.1955555555556,81
Калужская область,Жиздринский,Яровщина,д,73,53.6463888888889,34.6977777777778,59
Брянская область,Рогнединский район,Подборок,п,16,54.0061111111111,33.5097222222222,98
Калужская область,Людиновский,Суглицы,д,0,53.8519444444444,34.6502777777778,77
Брянская область,Брянский район,Лесозавод,п,64,53.1391666666667,34.4266666666667,18
Брянская область,Дятьковский район,Неверь,д,470,53.5266666666667,34.3975,37
Брянская область,Погарский район,Нечуи,п,12,52.4855555555556,33.3172222222222,99
Калужская область,Думиничский,Паликского Кирпичного Завода,с,250,53.8511111111111,34.9819444444444,88
Брянская область,Навлинский район,Вознесенск,п,12,52.82,34.1894444444444,43
Брянская область,Брянский район,Меркульево,д,711,53.2711111111111,34.1608333333333,6
Брянская область,Клетнянский район,Струек,д,2,53.4236111111111,33.2269444444444,67
Брянская область,Почепский район,Октябрьский,п,192,52.7436111111111,33.2858333333333,79
Брянская область,Почепский район,Гряда,п,15,52.7825,33.4697222222222,67
Орловская область,Хотынецкий,Березина,п,0,53.1380555555556,35.1661111111111,66
Калужская область,Хвастовичский,Гуда,с,0,53.4383333333333,34.725,44
Брянская область,Брасовский район,Крупец,д,491,52.5127777777778,34.4111111111111,79
Брянская область,Почепский район,Московский,п,11,52.8411111111111,33.1961111111111,77
Брянская область,Дубровский район,Мирошки,д,1,53.8022222222222,33.3258333333333,86
Брянская область,Рогнединский район,Пятницкое,с,5,53.8119444444444,33.7061111111111,73
Брянская область,Почепский район,Прохоровский,п,6,52.83,33.7880555555556,50
Брянская область,Карачевский район,Гремучий,п,0,53.0419444444444,35.1316666666667,66
Брянская область,Трубчевский район,Усох,с,638,52.605,33.8394444444444,71
Брянская область,Погарский район,Золин,п,6,52.7155555555556,33.3055555555556,80
Калужская область,Жиздринский,Скурынск,д,6,53.4402777777778,34.6375,39
Брянская область,Брасовский район,Петрилово,д,0,52.6330555555556,34.7269444444444,74
Брянская область,Дубровский район,Старое Узкое,д,0,53.7602777777778,33.2569444444444,86
Смоленская область,Рославльский район,Крутица,д,2,53.8286111111111,33.2294444444444,92
Брянская область,Брянский район,Сети,п,168,53.3575,34.2008333333333,16
Калужская область,Жиздринский,Авдеевка,д,10,53.6402777777778,34.7275,59
Калужская область,Людиновский,Печки,д,34,54.02,34.7788888888889,98
Калужская область,Жиздринский,Азарьевский,п,7,53.4908333333333,34.6833333333333,45
Калужская область,Жиздринский,Плотавец,д,2,53.5747222222222,34.9372222222222,64
Брянская область,Рогнединский район,Владимировка,д,4,53.7230555555556,33.6613888888889,66
Калужская область,Хвастовичский,Хвастовичи,с,4558,53.4694444444444,35.0947222222222,67
Калужская область,Людиновский,Иваново-Сергиевск,ж/д_ст,12,53.97,34.3969444444444,85
Брянская область,Дубровский район,Соболево,д,0,53.7330555555556,33.3311111111111,80
Брянская область,Брянский район,Лесное,с,43,53.3588888888889,34.5888888888889,31
Брянская область,Выгоничский район,Переторги,д,98,52.9758333333333,34.0116666666667,28
Орловская область,Дмитровский,Работьково,с,113,52.6758333333333,35.1508333333333,88
Брянская область,Трубчевский район,Андреевск,д,22,52.66,33.7747222222222,67
Брянская область,Почепский район,Войки,п,2,53.025,33.6452777777778,41
Брянская область,Рогнединский район,Гобики,д,1,53.9819444444444,33.4886111111111,96
Брянская область,Трубчевский район,Лучки,д,132,52.5683333333333,33.6630555555556,79
