регион,район,город,тип,население,широта,долгота,расстояние
Московская область,Черноголовка,Ботово,д,181,56.0497222222222,38.4233333333333,57
Московская область,Ступинский,Николо-Тители,д,4,55.1375,38.1147222222222,46
Московская область,Орехово-Зуевский,Слободище,д,234,55.5066666666667,38.8563888888889,44
Московская область,Солнечногорский,Никифорово,д,2,56.1186111111111,37.1963888888889,86
Владимирская область,Киржачский,Никифорово,д,29,56.0502777777778,38.9486111111111,74
Московская область,Егорьевский,Кукшево,д,121,55.3663888888889,38.9869444444444,56
Московская область,Солнечногорский,Лунево,п,3961,55.9936111111111,37.345,70
Московская область,Серпуховский,Злобино,д,16,54.9763888888889,37.3180555555556,83
Московская область,Павлово-Посадский,Борисово,д,87,55.8572222222222,38.6775,47
Московская область,Щёлковский,Загорянский,дп,7997,55.9166666666667,37.9277777777778,42
Московская область,Ступинский,Каменка,д,4,54.9430555555556,38.2766666666667,68
Московская область,Павлово-Посадский,Аверкиево,д,41,55.6544444444444,38.6363888888889,32
Московская область,Каширский,Рождествено,д,26,54.7819444444444,38.3377777777778,86
Владимирская область,Петушинский,Санино,д,133,55.9975,38.9327777777778,69
Московская область,Луховицкий,Красная Пойма,п,3051,55.0030555555556,39.0819444444444,85
Московская область,Павлово-Посадский,Часовня,д,13,55.6766666666667,38.6119444444444,32
Московская область,Озёры,Якшино,д,34,54.9625,38.4636111111111,68
Московская область,Чеховский,Бутырки,д,10,55.0519444444444,37.2155555555556,81
Московская область,Павлово-Посадский,Субботино,д,57,55.7866666666667,38.5511111111111,36
Владимирская область,Киржачский,Сергиевка,д,51,56.1330555555556,38.6577777777778,72
Московская область,Подольск,Луковня,д,9,55.4511111111111,37.4452777777778,45
Московская область,Домодедово,Глотаево,д,59,55.1641666666667,37.8113888888889,48
Московская область,Зарайский,Чулки-Соколово,с,1235,54.7352777777778,38.8336111111111,100
Московская область,Дмитровский,Базарово,д,104,56.1575,37.4844444444444,79
Московская область,Ступинский,Орешково,д,8,55.0113888888889,38.3691666666667,61
Московская область,Каширский,Кашира,г,41870,54.8344444444444,38.1511111111111,79
Владимирская область,Киржачский,Бельково,д,95,56.2575,38.795,88
