регион,район,город,тип,население,широта,долгота,расстояние
Московская область,Черноголовка,Ботово,д,181,56.0497222222222,38.4233333333333,78
Московская область,Ступинский,Николо-Тители,д,4,55.1375,38.1147222222222,32
Московская область,Орехово-Зуевский,Слободище,д,234,55.5066666666667,38.8563888888889,61
Тульская область,Венёвский район,Пряхино,д,25,54.5827777777778,38.2658333333333,94
Московская область,Солнечногорский,Никифорово,д,2,56.1186111111111,37.1963888888889,90
Тульская область,Венёвский район,Изварино,д,1,54.5136111111111,38.1658333333333,100
Московская область,Солнечногорский,Лунево,п,3961,55.9936111111111,37.345,74
Московская область,Серпуховский,Злобино,д,16,54.9763888888889,37.3180555555556,60
Московская область,Павлово-Посадский,Борисово,д,87,55.8572222222222,38.6775,69
Московская область,Щёлковский,Загорянский,дп,7997,55.9166666666667,37.9277777777778,56
Тульская область,Заокский район,Щеблово,с,5,54.5872222222222,37.6144444444444,93
Московская область,Ступинский,Каменка,д,4,54.9430555555556,38.2766666666667,56
Московская область,Павлово-Посадский,Аверкиево,д,41,55.6544444444444,38.6363888888889,53
Московская область,Каширский,Рождествено,д,26,54.7819444444444,38.3377777777778,74
Тульская область,Заокский район,Хворощино,д,2,54.6538888888889,37.705,84
Московская область,Павлово-Посадский,Часовня,д,13,55.6766666666667,38.6119444444444,53
Московская область,Озёры,Якшино,д,34,54.9625,38.4636111111111,61
Московская область,Чеховский,Бутырки,д,10,55.0519444444444,37.2155555555556,59
Московская область,Павлово-Посадский,Субботино,д,57,55.7866666666667,38.5511111111111,58
Владимирская область,Киржачский,Сергиевка,д,51,56.1330555555556,38.6577777777778,93
Московская область,Истринский,Павловское,д,1215,55.8736111111111,36.9466666666667,79
Тульская область,Заокский район,Клищино,д,6,54.64,37.5730555555556,88
Калужская область,Тарусский,Аксинино,д,0,54.7547222222222,36.9494444444444,95
Московская область,Подольск,Луковня,д,9,55.4511111111111,37.4452777777778,29
Московская область,Домодедово,Глотаево,д,59,55.1641666666667,37.8113888888889,27
Московская область,Наро-Фоминский,Тимонино,д,26,55.4944444444444,37.0833333333333,52
Московская область,Одинцовский,Козино,с,102,55.7330555555556,36.9325,71
Московская область,Зарайский,Чулки-Соколово,с,1235,54.7352777777778,38.8336111111111,95
Московская область,Дмитровский,Базарово,д,104,56.1575,37.4844444444444,87
Московская область,Ступинский,Орешково,д,8,55.0113888888889,38.3691666666667,53
Московская область,Каширский,Кашира,г,41870,54.8344444444444,38.1511111111111,65
Московская область,Дмитровский,Морозово,д,6,56.1683333333333,37.5913888888889,86
Московская область,Раменский,Кузнецово,д,997,55.5002777777778,38.3394444444444,29
Московская область,Чеховский,Красные Орлы,д,31,55.0791666666667,37.5197222222222,44
Тульская область,Ясногорский район,Теляково,с,417,54.54,37.9036111111111,96
Московская область,Чеховский,Кулаково,д,302,55.0908333333333,37.4577777777778,45
Московская область,Зарайский,Великое Поле,д,106,54.7780555555556,38.8697222222222,93
Московская область,Пушкинский,Степаньково,д,325,56.0655555555556,37.8066666666667,73
Московская область,Чеховский,Курниково,д,10,55.1430555555556,37.5688888888889,36
Московская область,Лобня,Лобня,г,74252,56.0119444444444,37.475,72
Московская область,Каширский,Яковское,д,284,54.7475,38.2672222222222,77
Московская область,Солнечногорский,Ржавки,рп,4038,56.0158333333333,37.2255555555556,80
Московская область,Сергиево-Посадский,Прокшино,д,0,56.2925,37.8186111111111,98
Московская область,Домодедово,Старое,д,6,55.2905555555556,37.8805555555556,13
Московская область,Воскресенский,Елкино,д,380,55.3138888888889,38.8344444444444,59
Московская область,Солнечногорский,Марьино,д,565,56.0188888888889,37.015,88
Калужская область,Жуковский,Калинино,д,0,54.8663888888889,37.0641666666667,80
Московская область,Раменский,Шевлягино,д,38,55.5908333333333,38.58,47
Московская область,Раменский,Обухово,д,295,55.6233333333333,38.3738888888889,38
Московская область,Ступинский,Леньково,д,9,55.1919444444444,37.9872222222222,24
Московская область,Сергиево-Посадский,Озерецкое,с,60,56.3097222222222,37.8319444444444,100
Московская область,Воскресенский,Щельпино,д,528,55.4252777777778,38.5863888888889,43
