регион,район,город,тип,население,широта,долгота,расстояние
Ярославская область,Борисоглебский район,Тчаново,д,0,57.5691666666667,39.1872222222222,58
Ивановская область,Фурмановский район,Косогоры,д,111,57.2308333333333,41.1033333333333,67
Ярославская область,Ярославский район,Зиновское,д,22,57.5391666666667,39.7311111111111,25
Ярославская область,Даниловский район,Алексеево,д,0,58.1952777777778,40.1252777777778,70
Ивановская область,Лежневский район,Игнатиха,д,17,56.8669444444444,40.7811111111111,85
Ярославская область,Даниловский район,Сухарево,д,0,58.0833333333333,40.4608333333333,60
Костромская область,Красносельский район,Климитино,д,0,57.6525,41.1216666666667,58
Ярославская область,Некрасовский район,Меньшиково,д,0,57.5005555555556,40.2344444444444,8
Ивановская область,Ильинский район,Радино,д,10,56.9058333333333,39.9622222222222,73
Ярославская область,Гаврилов-Ямский район,Борисово,д,11,57.4355555555556,39.9552777777778,18
Ярославская область,Тутаевский район,Куприянцево,д,1,57.9725,39.5219444444444,59
Ивановская область,Фурмановский район,Паньково,д,34,57.2558333333333,41.0655555555556,64
Ивановская область,Комсомольский район,Яблоново,д,69,57.0188888888889,40.3619444444444,61
Ярославская область,Борисоглебский район,Хаурово,д,8,57.2119444444444,39.1888888888889,70
Ярославская область,Даниловский район,Ушаки,д,7,58.1622222222222,40.1369444444444,67
Ярославская область,Даниловский район,Берелево,д,14,57.8988888888889,40.2972222222222,38
Ярославская область,Тутаевский район,Рожновка,д,0,58.2058333333333,39.4786111111111,82
Ярославская область,Тутаевский район,Сельцо,д,1,57.915,39.465,57
Костромская область,Костромской район,Гороженица,д,0,57.5872222222222,40.8986111111111,44
Ивановская область,Ильинский район,Колчигино,д,36,56.89,39.6538888888889,80
Ярославская область,Ярославский район,Поповское,д,6,57.4819444444444,39.9352777777778,15
Ярославская область,Тутаевский район,Борисово,д,35,57.8552777777778,39.8144444444444,38
Костромская область,Город Нерехта и Нерехтский район,Клементьево,д,266,57.3452777777778,40.8177777777778,46
Ярославская область,Ярославский район,Малышево,д,21,57.5205555555556,40.0241666666667,9
Ярославская область,Некрасовский район,Шубино,д,6,57.6302777777778,40.4216666666667,17
Ивановская область,Ивановский район,Жуково,д,347,56.9383333333333,40.9691666666667,84
Ярославская область,Гаврилов-Ямский район,Константиново,д,0,57.2433333333333,39.9011111111111,38
Костромская область,Город Нерехта и Нерехтский район,Иголкино,д,138,57.4422222222222,40.5194444444444,25
Ярославская область,Даниловский район,Ворошилки,д,0,58.1719444444444,39.7388888888889,72
Костромская область,Костромской район,Убебиново,д,2,57.76,41.085,59
Ярославская область,Тутаевский район,Яскино,д,11,58.13,39.4580555555556,75
Ярославская область,Ярославский район,Поповка,д,6,57.6802777777778,39.7391666666667,28
Ярославская область,Ярославский район,Григорьевское,с,252,57.7641666666667,39.6808333333333,36
Ярославская область,Ростовский район,Кураково,д,1,57.0936111111111,39.2372222222222,76
Ярославская область,Ростовский район,Ломы,с,0,57.2972222222222,39.5786111111111,45
Ярославская область,Некрасовский район,Горино,д,0,57.6225,40.625,28
Костромская область,Костромской район,Стрельниково,д,512,57.8002777777778,40.8302777777778,48
Ивановская область,Тейковский район,Оболсуново,с,283,56.9036111111111,40.6158333333333,78
Ярославская область,Большесельский район,Барсагино,д,0,57.7791666666667,39.3625,53
Костромская область,Город Нерехта и Нерехтский район,Космынино,п,1628,57.5830555555556,40.7633333333333,36
