регион,район,город,тип,население,широта,долгота,расстояние
Московская область,Солнечногорский,Обухово,д,112,56.1477777777778,36.9191666666667,36
Московская область,Дмитровский,Горчаково,д,4,56.3477777777778,37.1147222222222,45
Тверская область,Конаковский район,Фролово,д,17,56.6855555555556,36.9661111111111,84
Московская область,Истринский,Шёлковая Гора,п,66,55.9052777777778,36.8063888888889,38
Московская область,Солнечногорский,Никифорово,д,2,56.1186111111111,37.1963888888889,21
Московская область,Талдомский,Головково-Марьино,д,1,56.5369444444444,37.6822222222222,65
Московская область,Талдомский,Гуслево,д,0,56.5930555555556,37.6361111111111,70
Тверская область,Конаковский район,Лазурная,д,24,56.58,36.4538888888889,90
Московская область,Солнечногорский,Лунево,п,3961,55.9936111111111,37.345,4
Московская область,Щёлковский,Загорянский,дп,7997,55.9166666666667,37.9277777777778,32
Московская область,Дмитровский,Карцево,д,6,56.5252777777778,37.7577777777778,65
Московская область,Истринский,Павловское,д,1215,55.8736111111111,36.9466666666667,31
Московская область,Наро-Фоминский,Настасьино,д,11,55.4,36.5686111111111,82
Московская область,Подольск,Луковня,д,9,55.4511111111111,37.4452777777778,58
Московская область,Домодедово,Глотаево,д,59,55.1641666666667,37.8113888888889,93
Московская область,Наро-Фоминский,Тимонино,д,26,55.4944444444444,37.0833333333333,57
Московская область,Одинцовский,Козино,с,102,55.7330555555556,36.9325,40
Московская область,Солнечногорский,Лесное Озеро,п,625,56.1263888888889,36.8847222222222,37
Московская область,Дмитровский,Базарово,д,104,56.1575,37.4844444444444,21
Московская область,Дмитровский,Коргашино,д,14,56.3811111111111,37.3138888888889,45
Тверская область,Кимрский район,Головино,д,17,56.8452777777778,37.4736111111111,97
Московская область,Одинцовский,Акулово,д,68,55.5177777777778,36.6919444444444,67
Московская область,Солнечногорский,Шахматово,д,13,56.2830555555556,36.9133333333333,46
Московская область,Истринский,Петровское,д,17,55.8319444444444,36.8833333333333,36
Московская область,Дмитровский,Морозово,д,6,56.1683333333333,37.5913888888889,24
Московская область,Раменский,Кузнецово,д,997,55.5002777777778,38.3394444444444,78
Московская область,Дмитровский,Овсянниково,д,5,56.3811111111111,37.6513888888889,47
Московская область,Чеховский,Красные Орлы,д,31,55.0791666666667,37.5197222222222,99
Московская область,Солнечногорский,Стегачево,д,19,56.1386111111111,36.8855555555556,37
Московская область,Чеховский,Кулаково,д,302,55.0908333333333,37.4577777777778,98
Московская область,Клинский,Бакланово,д,34,56.2358333333333,36.5975,58
Московская область,Пушкинский,Степаньково,д,325,56.0655555555556,37.8066666666667,26
Московская область,Чеховский,Курниково,д,10,55.1430555555556,37.5688888888889,92
Московская область,Лобня,Лобня,г,74252,56.0119444444444,37.475,5
Московская область,Солнечногорский,Ржавки,рп,4038,56.0158333333333,37.2255555555556,12
Московская область,Сергиево-Посадский,Прокшино,д,0,56.2925,37.8186111111111,43
Московская область,Домодедово,Старое,д,6,55.2905555555556,37.8805555555556,81
Московская область,Солнечногорский,Марьино,д,565,56.0188888888889,37.015,25
Московская область,Рузский,Никольское,с,613,55.8891666666667,36.4297222222222,62
Московская область,Талдомский,Жизнеево,д,25,56.8244444444444,37.8325,98
Калужская область,Жуковский,Успенские Хутора,д,2,55.1602777777778,36.8927777777778,96
Московская область,Раменский,Обухово,д,295,55.6233333333333,38.3738888888889,71
Московская область,Ступинский,Леньково,д,9,55.1919444444444,37.9872222222222,94
Московская область,Сергиево-Посадский,Озерецкое,с,60,56.3097222222222,37.8319444444444,45
Московская область,Клинский,Коноплино,д,29,56.2738888888889,36.6852777777778,56
Московская область,Щёлковский,Сутоки,д,56,56.0105555555556,38.1713888888889,47
Московская область,Дмитровский,Бородино,д,40,56.3488888888889,37.6016666666667,43
Московская область,Дмитровский,Трощейково,д,14,56.2769444444444,37.7238888888889,39
Московская область,Талдомский,Станки,д,44,56.8113888888889,37.7816666666667,96
Московская область,Рузский,Артюхино,д,29,55.6102777777778,36.5097222222222,69
