регион,район,город,тип,население,широта,долгота,расстояние
Белгородская область,Борисовский район,Беленькое,с,1463,50.5808333333333,35.9133333333333,48
Белгородская область,Шебекинский район,Новый Путь,х,8,50.6683333333333,37.3022222222222,50
Белгородская область,Чернянский район,Верхнее Кузькино,с,602,50.9075,37.555,74
Курская область,Пристенский,Еринка,х,96,51.2505555555556,36.4808333333333,67
Белгородская область,Губкинский городской округ,Высокий,х,28,51.085,37.395,74
Белгородская область,Ракитянский район,Нижние Пены,с,1025,51.0052777777778,35.9502777777778,60
Курская область,Медвенский,Верхняя Камышевка,х,44,51.4894444444444,36.3533333333333,95
Белгородская область,Ивнянский район,Покровский,х,136,50.9552777777778,36.3605555555556,38
Курская область,Пристенский,Отрадное,х,15,51.3569444444444,36.9980555555556,84
Курская область,Медвенский,Губановка,д,157,51.4577777777778,36.2922222222222,92
Белгородская область,Корочанский район,Дубовая Балка,х,0,50.9466666666667,37.1702777777778,52
Курская область,Медвенский,Константиновка,д,90,51.4461111111111,35.9469444444444,100
Белгородская область,Прохоровский район,Кураковка,х,5,50.8388888888889,36.8488888888889,28
Курская область,Пристенский,Бобрышево,с,730,51.2069444444444,36.4338888888889,63
Белгородская область,Белгородский район,Орловка,с,390,50.5408333333333,36.2469444444444,26
Белгородская область,Грайворонский район,Санково,с,265,50.5994444444444,35.6027777777778,70
Белгородская область,Ракитянский район,Васильевка,с,460,50.8413888888889,35.9916666666667,47
Белгородская область,Шебекинский район,Поляна,п,311,50.5075,36.8097222222222,21
Белгородская область,Корочанский район,Дукмасивка,х,17,50.7627777777778,37.4891666666667,64
Белгородская область,Волоконовский район,Григорьевка,х,7,50.4433333333333,37.5580555555556,72
Белгородская область,Новооскольский район,Полевой,п,260,50.7269444444444,37.5175,66
Курская область,Большесолдатский,Заломное,с,1,51.2908333333333,35.6847222222222,96
Курская область,Пристенский,618 км,ж/д_будка,0,51.1947222222222,36.6766666666667,61
Белгородская область,Губкинский городской округ,Александровский,х,55,51.0944444444444,37.4666666666667,79
Курская область,Медвенский,Рождественка,х,63,51.5063888888889,36.1780555555556,100
Курская область,Солнцевский,Малиновка,х,71,51.465,36.5247222222222,91
Курская область,Солнцевский,Воробьевка,с,48,51.4472222222222,36.4597222222222,89
Курская область,Мантуровский,Засеймская Сеть,х,2,51.4752777777778,37.0608333333333,98
Белгородская область,Прохоровский район,Плоский,х,4,50.9555555555556,36.8480555555556,39
Белгородская область,Чернянский район,Красная Звезда,п,3,50.9811111111111,37.5294444444444,76
Белгородская область,Краснояружский район,Быценков,п,251,50.7366666666667,35.6591666666667,66
Белгородская область,Корочанский район,Прицепиловка,с,93,50.7491666666667,37.4586111111111,62
Курская область,Медвенский,1-я Китаевка,с,139,51.49,36.3455555555556,95
Белгородская область,Белгородский район,Стрелецкое,с,7904,50.6447222222222,36.4672222222222,8
Белгородская область,Прохоровский район,Кривошеевка,с,498,51.0713888888889,37.0452777777778,57
Белгородская область,Белгородский район,Ерик,с,543,50.7186111111111,36.5077777777778,10
Курская область,Медвенский,Нижний Реутец,с,482,51.3588888888889,36.0372222222222,88
Белгородская область,Белгородский район,Мясоедово,с,482,50.6286111111111,36.8008333333333,14
Курская область,Беловский,Свердловский,п,69,51.1447222222222,35.6538888888889,86
Белгородская область,Белгородский район,Зачатеевка,х,37,50.6672222222222,36.4394444444444,10
Белгородская область,Прохоровский район,Петровский,х,10,50.8458333333333,36.5722222222222,22
Курская область,Медвенский,Александровка,д,16,51.3927777777778,36.0005555555556,93
Курская область,Мантуровский,Рябиново,д,32,51.4844444444444,37.0419444444444,98
Белгородская область,Яковлевский район,Крапивенские Дворы,х,138,50.8075,36.4930555555556,19
Курская область,Обоянский,Афанасьево,с,716,51.1738888888889,36.2947222222222,62
Белгородская область,Прохоровский район,Басенков,х,66,51.0588888888889,36.8291666666667,49
Курская область,Пристенский,Пойки,х,0,51.1919444444444,36.6361111111111,61
Белгородская область,Прохоровский район,Ямки,х,22,51.0102777777778,36.6894444444444,41
Белгородская область,Яковлевский район,Крапивное,с,166,50.8175,36.4391666666667,22
Белгородская область,Белгородский район,Северный 1-й,п,315,50.6547222222222,36.5525,2
Курская область,Медвенский,Аксеновка,с,0,51.4302777777778,36.2877777777778,90
Белгородская область,Корочанский район,Зеленая Дубрава,х,35,50.9175,37.3241666666667,60
Курская область,Медвенский,Высоконские Дворы,х,483,51.4777777777778,36.0686111111111,99
Белгородская область,Прохоровский район,Редкодуб,х,24,50.8761111111111,36.8377777777778,31
Белгородская область,Губкинский городской округ,Петровки,с,186,51.2877777777778,37.3519444444444,89
Белгородская область,Губкинский городской округ,Кандаурово,с,238,51.2525,37.4472222222222,90
Курская область,Обоянский,Нижнее Солотино,с,361,51.1822222222222,36.2380555555556,64
Белгородская область,Губкинский городской округ,Теплый Колодезь,с,1045,51.3069444444444,37.5038888888889,97
Белгородская область,Новооскольский район,Новоселовка,х,40,50.7163888888889,37.5713888888889,69
Курская область,Медвенский,Б-Владимировка,д,79,51.4997222222222,36.1616666666667,99
Белгородская область,Краснояружский район,Отрадовский,п,146,50.7416666666667,35.695,64
Белгородская область,Ракитянский район,Святославка,с,391,50.8811111111111,35.6811111111111,69
Белгородская область,Ракитянский район,Красный,х,4,50.9288888888889,35.8930555555556,58
Белгородская область,Губкинский городской округ,Богословка,с,400,51.1316666666667,37.4972222222222,83
Белгородская область,Чернянский район,Огибное,с,475,51.0627777777778,37.5625,82
Белгородская область,Ивнянский район,Зоринские Дворы,х,37,51.0758333333333,36.3036111111111,52
Белгородская область,Губкинский городской округ,Коньшино,с,606,51.0411111111111,37.4475,74
Белгородская область,Губкинский городской округ,Октябрьский,х,34,51.1777777777778,37.0894444444444,69
Белгородская область,Губкинский городской округ,Долгое,с,413,51.3086111111111,37.3127777777778,89
Белгородская область,Корочанский район,Ушаковка,с,62,50.6811111111111,36.9577777777778,26
Курская область,Медвенский,Ильичевский,х,172,51.4133333333333,36.0363888888889,94
Белгородская область,Шебекинский район,Зимовенька,с,267,50.4838888888889,37.1780555555556,45
Белгородская область,Белгородский район,Топлинка,с,6,50.465,36.665,20
Белгородская область,Прохоровский район,Правороть,с,156,50.9791666666667,36.7380555555556,38
Белгородская область,Белгородский район,Шишино,с,402,50.6686111111111,36.66,5
Белгородская область,Прохоровский район,Радьковка,с,929,51.0980555555556,36.9569444444444,56
Белгородская область,Белгородский район,Малиновка,п,573,50.3927777777778,36.3241666666667,33
Белгородская область,Белгородский район,Репное,с,670,50.5313888888889,36.5002777777778,14
