регион,район,город,тип,население,широта,долгота,расстояние
Курская область,Щигровский,Рудка,д,14,51.9494444444444,36.9616666666667,50
Курская область,Золотухинский,Кононыхино,д,58,51.99,36.235,26
Курская область,Солнцевский,Красниково,д,73,51.5641666666667,36.5983333333333,29
Курская область,Пристенский,Еринка,х,96,51.2505555555556,36.4808333333333,57
Курская область,Фатежский,Локтионово,д,54,52.2544444444444,35.7125,68
Орловская область,Колпнянский,Даниловка,д,8,52.2277777777778,36.9602777777778,70
Орловская область,Троснянский,Тугарино,д,18,52.505,35.7447222222222,92
Орловская область,Колпнянский,Евтифеевка Первая,д,0,52.2580555555556,36.8194444444444,66
Курская область,Курский,Новореченский,х,12,51.8463888888889,35.9930555555556,23
Орловская область,Колпнянский,Юдинка,д,0,52.2963888888889,36.9441666666667,75
Орловская область,Колпнянский,Борисовка Первая,д,0,52.2444444444444,36.9208333333333,69
Белгородская область,Ракитянский район,Нижние Пены,с,1025,51.0052777777778,35.9502777777778,86
Курская область,Суджанский,Киреевка,с,53,51.385,35.3372222222222,77
Курская область,Медвенский,Верхняя Камышевка,х,44,51.4894444444444,36.3533333333333,29
Курская область,Железногорский,Понизовка,д,15,52.0577777777778,35.5944444444444,59
Белгородская область,Ивнянский район,Покровский,х,136,50.9552777777778,36.3605555555556,88
Курская область,Пристенский,Отрадное,х,15,51.3569444444444,36.9980555555556,65
Курская область,Медвенский,Губановка,д,157,51.4577777777778,36.2922222222222,32
Курская область,Октябрьский,Охочевка,д,49,51.5191666666667,35.9127777777778,36
Орловская область,Малоархангельский,Алисово,д,11,52.3558333333333,36.4402777777778,68
Курская область,Медвенский,Николаевка,д,86,51.5380555555556,36.0397222222222,29
Курская область,Железногорский,Ленинский,п,27,52.2319444444444,35.3927777777778,81
Курская область,Курский,Щетинка,д,747,51.7863888888889,36.2286111111111,6
Курская область,Курский,Воскресеновка,д,2,51.9227777777778,35.9,33
Курская область,Золотухинский,Батуровка,д,30,52.1488888888889,36.4108333333333,45
Курская область,Медвенский,Воробжа,х,19,51.5108333333333,35.9294444444444,36
Курская область,Черемисиновский,Дурновка,д,72,51.8413888888889,37.1588888888889,60
Орловская область,Колпнянский,Грязное,д,26,52.2238888888889,36.9152777777778,67
Курская область,Курский,Алябьево,д,127,51.6727777777778,36.4366666666667,13
Курская область,Поныровский,Большая Дорога,д,87,52.2888888888889,36.2211111111111,60
Курская область,Медвенский,Константиновка,д,90,51.4461111111111,35.9469444444444,41
Курская область,Пристенский,Бобрышево,с,730,51.2069444444444,36.4338888888889,61
Курская область,Щигровский,Березовик,п,4,51.9438888888889,36.8447222222222,43
Курская область,Фатежский,Аторинка,д,86,52.0808333333333,35.8913888888889,46
Курская область,Суджанский,Спальное,д,130,51.0841666666667,35.4583333333333,94
Орловская область,Троснянский,Пенно-Удельное,с,3,52.3913888888889,35.6805555555556,82
Курская область,Черемисиновский,Чубаровка,д,14,51.7863888888889,37.2186111111111,63
Курская область,Большесолдатский,Заломное,с,1,51.2908333333333,35.6847222222222,66
Курская область,Пристенский,618 км,ж/д_будка,0,51.1947222222222,36.6766666666667,67
Орловская область,Малоархангельский,Ладыгино,д,15,52.2972222222222,36.7019444444444,66
Курская область,Золотухинский,Мартьяновка,д,8,52.08,36.6358333333333,43
Курская область,Щигровский,Карташовка,д,3,51.9766666666667,36.7147222222222,38
Курская область,Медвенский,Рождественка,х,63,51.5063888888889,36.1780555555556,28
Орловская область,Троснянский,Покровское,д,49,52.4502777777778,35.6436111111111,89
Курская область,Солнцевский,Малиновка,х,71,51.465,36.5247222222222,35
Курская область,Курский,Волобуево,д,47,51.8766666666667,36.2697222222222,14
Курская область,Медвенский,2-я Переверзевка,д,28,51.4477777777778,35.9136111111111,42
Курская область,Солнцевский,Воробьевка,с,48,51.4472222222222,36.4597222222222,35
Орловская область,Троснянский,Свобода,п,26,52.5136111111111,35.8069444444444,91
Курская область,Курчатовский,Успенка,с,243,51.6619444444444,35.7108333333333,41
Курская область,Золотухинский,Кондринка,д,12,52.0938888888889,36.5558333333333,42
Курская область,Мантуровский,Засеймская Сеть,х,2,51.4752777777778,37.0608333333333,61
Белгородская область,Прохоровский район,Плоский,х,4,50.9555555555556,36.8480555555556,96
Орловская область,Дмитровский,Плоское,с,133,52.4363888888889,35.4944444444444,94
Курская область,Фатежский,Бунино,д,15,51.9241666666667,35.6475,48
Курская область,Золотухинский,Казанка 1-я,с,110,52.1394444444444,36.6483333333333,49
Курская область,Медвенский,1-я Китаевка,с,139,51.49,36.3455555555556,29
Курская область,Октябрьский,Чермошной,х,7,51.57,35.8383333333333,37
Белгородская область,Прохоровский район,Кривошеевка,с,498,51.0713888888889,37.0452777777778,91
Курская область,Конышёвский,Тростница,х,0,51.8191666666667,35.2980555555556,69
Курская область,Медвенский,Нижний Реутец,с,482,51.3588888888889,36.0372222222222,47
