регион,район,город,тип,население,широта,долгота,расстояние
Липецкая область,Лев-Толстовский район,Барятино,с,7,53.2627777777778,39.5038888888889,62
Липецкая область,Лебедянский район,Хорошовка,с,110,53.0777777777778,39.0252777777778,54
Липецкая область,Лебедянский район,Хмелевка,д,4,52.89,39.2163888888889,30
Воронежская область,Верхнехавский район,Покровка,д,93,51.9102777777778,40.1036111111111,96
Липецкая область,Хлевенский район,Курино,с,68,52.1958333333333,39.37,57
Липецкая область,Данковский район,Перехваль,с,356,53.1383333333333,39.0991666666667,56
Липецкая область,Задонский район,Даньшино,д,77,52.3138888888889,39.035,55
Липецкая область,Хлевенский район,Крещенские Выселки,д,2,52.0911111111111,38.9527777777778,78
Липецкая область,Задонский район,Крюково,д,300,52.3927777777778,38.8055555555556,60
Рязанская область,Александро-Невский район,Полиловка,д,51,53.4866666666667,40.1997222222222,97
Липецкая область,Липецкий район,Ясная Поляна,д,234,52.5705555555556,39.2727777777778,23
Липецкая область,Лебедянский район,Зуево,д,6,53.0491666666667,39.3625,40
Липецкая область,Данковский район,Репцы,д,0,53.2266666666667,39.2505555555556,61
Липецкая область,Усманский район,Высокополье,с,90,52.3080555555556,39.8733333333333,49
Липецкая область,Хлевенский район,Подгорное,д,98,52.1669444444444,39.3602777777778,60
Тамбовская область,Петровский район,Песковатка,с,335,52.5738888888889,40.1302777777778,42
Липецкая область,Краснинский район,Заовражное,д,8,53.0583333333333,38.7125,68
Тульская область,Куркинский район,Кинь-Грусть,п,35,53.3994444444444,38.6425,98
Липецкая область,Хлевенский район,Плещеево,д,46,52.1291666666667,39.3358333333333,65
Рязанская область,Милославский район,Сухорожня,д,0,53.4736111111111,39.1938888888889,88
Липецкая область,Данковский район,Вязовенка,д,0,53.4219444444444,38.76,95
Липецкая область,Долгоруковский район,Михайловка,д,49,52.3602777777778,38.5463888888889,77
Липецкая область,Лев-Толстовский район,Круглое,с,154,53.1452777777778,39.3383333333333,50
Липецкая область,Задонский район,Малое Панарино,д,177,52.3975,38.8958333333333,55
Тульская область,Город Ефремов,Челищев Хутор,д,3,53.1944444444444,38.5930555555556,83
Липецкая область,Усманский район,Дмитриевка,с,272,52.2838888888889,39.8730555555556,51
Липецкая область,Лебедянский район,Куликовка Первая,д,15,52.8780555555556,39.0188888888889,40
Липецкая область,Задонский район,Верхнее Казачье,с,434,52.3483333333333,38.8827777777778,59
Липецкая область,Хлевенский район,Ворон-Лозовка,с,272,52.2063888888889,39.2636111111111,58
Липецкая область,Добровский район,Крутое,с,506,53.0177777777778,39.8158333333333,39
Рязанская область,Милославский район,Пролетарский,п,63,53.5616666666667,39.3169444444444,96
Рязанская область,Милославский район,Бухвостово,д,1,53.5947222222222,39.5316666666667,99
Тамбовская область,Петровский район,Озерки,д,63,52.7144444444444,40.0944444444444,37
Липецкая область,Липецкий район,Яковлевка,д,2,52.66,39.3916666666667,10
Липецкая область,Данковский район,Плоское,д,12,53.1708333333333,38.71,76
Липецкая область,Краснинский район,Покровка,с,0,52.7716666666667,38.8733333333333,45
Липецкая область,Добринский район,Большая Отрада,с,247,52.3397222222222,40.3813888888889,70
Липецкая область,Липецкий район,Хрущевка,с,2487,52.5361111111111,39.5036111111111,18
Липецкая область,Данковский район,Пеньки,д,5,53.5191666666667,38.9508333333333,98
Воронежская область,Верхнехавский район,Желдаевка,п,40,51.8583333333333,39.6477777777778,94
Липецкая область,Краснинский район,1-я Ивановка,д,3,53.0794444444444,38.6669444444444,72
Липецкая область,Задонский район,Секретаровка,д,2,52.5077777777778,38.7344444444444,58
Липецкая область,Краснинский район,Жуково,д,0,52.8825,38.7416666666667,57
Липецкая область,Лев-Толстовский район,Денисьево,д,51,53.3447222222222,39.6463888888889,71
Липецкая область,Краснинский район,Никольское,с,35,52.9627777777778,38.5405555555556,73
Воронежская область,Семилукский район,Дмитриевка,д,2,52.0130555555556,38.7244444444444,94
Липецкая область,Краснинский район,Решетово-Дуброво,с,307,52.8866666666667,38.6313888888889,64
Тамбовская область,Первомайский район,Восточный,п,46,53.1113888888889,40.3838888888889,72
Липецкая область,Задонский район,Колесово 1-е,д,276,52.4652777777778,38.8594444444444,53
Липецкая область,Лебедянский район,Яблонево,с,131,53.1011111111111,38.7158333333333,70
Липецкая область,Добринский район,Хворостянка,с,617,52.3275,40.2291666666667,62
Тамбовская область,Мичуринский район,Иловайское лесничество,п,62,52.9366666666667,40.2044444444444,51
Липецкая область,Задонский район,Нечаевка,д,64,52.4897222222222,38.9805555555556,44
Тамбовская область,Петровский район,Успеновка,с,191,52.7469444444444,40.205,45
Липецкая область,Задонский район,Донское,с,3808,52.6155555555556,38.9766666666667,39
Липецкая область,Задонский район,Засновка,д,58,52.2688888888889,38.9505555555556,62
Липецкая область,Елецкий район,Задоньевский,п,88,52.6441666666667,38.9313888888889,41
Липецкая область,Добринский район,Лебедянка,с,177,52.0069444444444,40.3305555555556,94
Тамбовская область,Петровский район,Гремучка,д,5,52.6302777777778,40.3947222222222,58
Липецкая область,Липецкий район,Новая Деревня,д,2252,52.7258333333333,39.3891666666667,10
Липецкая область,Данковский район,Арсеновка,д,1,53.3558333333333,39.2908333333333,74
Липецкая область,Добринский район,Федоровка,д,126,52.2019444444444,40.4608333333333,83
Липецкая область,Чаплыгинский район,Горлово,с,4,53.5716666666667,39.74,97
Тульская область,Город Ефремов,Малая Сухотинка,д,30,53.1386111111111,38.5541666666667,81
Воронежская область,Семилукский район,Русско-Гвоздевские Выселки,с,8,51.8997222222222,38.9444444444444,98
Липецкая область,Краснинский район,Смородиновка,д,3,52.9983333333333,38.8744444444444,55
Тамбовская область,Петровский район,Мосоловка,д,0,52.7852777777778,40.3155555555556,53
Липецкая область,Чаплыгинский район,Никольское,с,30,53.4225,39.6644444444444,80
Липецкая область,Лебедянский район,Павелка,с,234,52.9133333333333,39.3091666666667,28
Воронежская область,Рамонский район,Галкино,д,30,51.9444444444444,39.2208333333333,87
Липецкая область,Лебедянский район,свх Агроном,п,2509,53.0380555555556,39.0130555555556,51
Рязанская область,Милославский район,Дегтярка,с,92,53.5633333333333,39.5677777777778,95
Рязанская область,Александро-Невский район,Аннино,п,18,53.4436111111111,40.0030555555556,88
Липецкая область,Лебедянский район,Старый Копыл,с,238,53.035,38.9086111111111,56
Липецкая область,Лебедянский район,Культура,п,199,53.0519444444444,39.4797222222222,39
Липецкая область,Лебедянский район,Грязновка,с,185,52.8102777777778,39.2475,22
Липецкая область,Краснинский район,Верхнее Брусланово,с,218,52.9275,38.9433333333333,47
Липецкая область,Данковский район,Алексеевские Выселки,д,0,53.1052777777778,38.9691666666667,58
Липецкая область,Краснинский район,Нижнедрезгалово,с,240,52.7538888888889,38.8297222222222,48
Липецкая область,Усманский район,Кривка,с,731,52.3327777777778,39.7030555555556,42
Липецкая область,Задонский район,Дегтевое,с,140,52.2563888888889,38.8780555555556,66
Липецкая область,Долгоруковский район,Слепуха,с,270,52.3366666666667,38.6347222222222,73
Воронежская область,Рамонский район,Ломово,с,313,52.0497222222222,38.82,87
Липецкая область,Хлевенский район,Верхняя Колыбелка,с,663,52.1872222222222,38.9194444444444,71
Липецкая область,Краснинский район,Сергиевское первое,с,208,53.0244444444444,38.8413888888889,58
Липецкая область,Долгоруковский район,Сергиевка 2-я,д,56,52.3091666666667,38.5530555555556,79
Воронежская область,Верхнехавский район,Малиновка,п,151,51.8708333333333,39.8608333333333,95
Тамбовская область,Первомайский район,Озерки,д,19,53.2722222222222,40.1177777777778,74
Липецкая область,Чаплыгинский район,Старое Петелино,с,0,53.5316666666667,39.6811111111111,92
Липецкая область,Грязинский район,Дебри,д,20,52.3533333333333,40.0425,51
Липецкая область,Грязинский район,Ямань,с,192,52.3908333333333,39.5863888888889,34
Тульская область,Куркинский район,Куркино,рп,4958,53.43,38.6622222222222,99
Тамбовская область,Мичуринский район,Терновое,с,361,53.0025,40.3675,65
Липецкая область,Добринский район,Малая Матренка,д,85,52.0855555555556,40.2027777777778,82
Рязанская область,Александро-Невский район,Калинино,с,394,53.5236111111111,40.1133333333333,99
Липецкая область,Чаплыгинский район,Троекурово,д,1,53.4483333333333,39.7572222222222,84
Липецкая область,Лебедянский район,Слободка,с,293,53.0458333333333,38.8741666666667,58
Липецкая область,Задонский район,Новопокровка,д,14,52.1913888888889,38.7886111111111,76
Липецкая область,Чаплыгинский район,Истобное,с,300,53.1430555555556,39.9647222222222,56
Липецкая область,Лебедянский район,Большие Избищи,с,419,52.9647222222222,39.3797222222222,30
Липецкая область,Елецкий район,Задонье,д,53,52.6747222222222,38.9061111111111,42
Липецкая область,Краснинский район,Гололобово,д,24,52.9938888888889,38.7463888888889,62
Липецкая область,Лебедянский район,Крутое,с,64,52.9591666666667,39.2727777777778,33
Тульская область,Город Ефремов,Хомяково,с,30,53.1222222222222,38.6197222222222,77
Воронежская область,Верхнехавский район,Углянец,с,3553,51.8233333333333,39.5833333333333,97
Воронежская область,Верхнехавский район,Грушино,с,122,51.8363888888889,39.8061111111111,98
Липецкая область,Задонский район,Юрьево,с,311,52.3430555555556,38.7741666666667,65
Липецкая область,Задонский район,Дмитриевка,д,3,52.6122222222222,39.0794444444444,32
Липецкая область,Данковский район,Никольское,с,76,53.4105555555556,39.1338888888889,83
Липецкая область,Данковский район,Перехвальские Выселки,д,66,53.1908333333333,39.0913888888889,62
Тамбовская область,Первомайский район,Степанищево,с,90,53.0891666666667,40.4233333333333,73
Тульская область,Куркинский район,Павловка,д,0,53.4441666666667,38.7208333333333,98
Липецкая область,Краснинский район,Сергиевское второе,с,58,53.0194444444444,38.8427777777778,58
Липецкая область,Хлевенский район,Нечаевка,д,23,52.1286111111111,39.3255555555556,65
Воронежская область,Рамонский район,Павловка,с,0,51.9913888888889,38.8002777777778,93
Рязанская область,Александро-Невский район,Каширин,п,921,53.4955555555556,40.2141666666667,99
