регион,район,город,тип,население,широта,долгота,расстояние
Воронежская область,Панинский район,Нащекинские Выселки,п,40,51.4647222222222,40.1041666666667,72
Воронежская область,Семилукский район,Семилуки,г,26805,51.6872222222222,39.0272222222222,19
Воронежская область,Верхнехавский район,Покровка,д,93,51.9102777777778,40.1036111111111,61
Липецкая область,Хлевенский район,Курино,с,68,52.1958333333333,39.37,43
Липецкая область,Задонский район,Даньшино,д,77,52.3138888888889,39.035,57
Липецкая область,Хлевенский район,Крещенские Выселки,д,2,52.0911111111111,38.9527777777778,36
Воронежская область,Лискинский район,Новозадонский,х,168,51.1219444444444,39.3166666666667,77
Воронежская область,Бобровский район,Карандеевка,п,53,51.0758333333333,39.8405555555556,92
Липецкая область,Задонский район,Крюково,д,300,52.3927777777778,38.8055555555556,70
Воронежская область,Семилукский район,Александровка,д,1,51.9541666666667,38.3852777777778,60
Белгородская область,Красненский район,Братство,х,0,51.0294444444444,38.8508333333333,91
Курская область,Касторенский,Семеновка,с,141,51.8705555555556,38.2919444444444,64
Липецкая область,Липецкий район,Ясная Поляна,д,234,52.5705555555556,39.2727777777778,84
Липецкая область,Усманский район,Высокополье,с,90,52.3080555555556,39.8733333333333,70
Воронежская область,Хохольский район,Еманча 1-я,с,322,51.5486111111111,38.9105555555556,36
Липецкая область,Долгоруковский район,Липовка,д,8,52.4891666666667,38.2841666666667,99
Липецкая область,Хлевенский район,Подгорное,д,98,52.1669444444444,39.3602777777778,40
Воронежская область,Лискинский район,Сторожевое 2-е,с,501,51.115,39.6588888888889,83
Липецкая область,Хлевенский район,Плещеево,д,46,52.1291666666667,39.3358333333333,35
Воронежская область,Репьёвский район,Дракино,х,107,51.0988888888889,38.5738888888889,91
Воронежская область,Нижнедевицкий район,Губаново,х,11,51.6644444444444,38.3422222222222,63
Липецкая область,Долгоруковский район,Михайловка,д,49,52.3602777777778,38.5463888888889,76
Липецкая область,Задонский район,Малое Панарино,д,177,52.3975,38.8958333333333,68
Курская область,Касторенский,Меркулов,х,0,51.6902777777778,38.3583333333333,61
Липецкая область,Усманский район,Дмитриевка,с,272,52.2838888888889,39.8730555555556,68
Воронежская область,Нижнедевицкий район,Долгий,х,0,51.3144444444444,38.5097222222222,74
Липецкая область,Задонский район,Верхнее Казачье,с,434,52.3483333333333,38.8827777777778,63
Липецкая область,Хлевенский район,Ворон-Лозовка,с,272,52.2063888888889,39.2636111111111,43
Воронежская область,Бобровский район,Сухая Березовка,с,1115,51.1791666666667,39.9988888888889,88
Липецкая область,Липецкий район,Яковлевка,д,2,52.66,39.3916666666667,94
Воронежская область,Верхнехавский район,Васильевка 1-я,с,292,51.7813888888889,40.1016666666667,60
Липецкая область,Липецкий район,Хрущевка,с,2487,52.5361111111111,39.5036111111111,82
Воронежская область,Верхнехавский район,Желдаевка,п,40,51.8583333333333,39.6477777777778,29
Воронежская область,Семилукский район,Казинка,с,323,51.9136111111111,38.6144444444444,43
Липецкая область,Задонский район,Секретаровка,д,2,52.5077777777778,38.7344444444444,84
Воронежская область,Репьёвский район,Ключи,х,0,51.0344444444444,38.6286111111111,96
Воронежская область,Семилукский район,Богоявленка,с,31,51.7813888888889,39.0061111111111,15
Воронежская область,Семилукский район,Дмитриевка,д,2,52.0130555555556,38.7244444444444,41
Липецкая область,Задонский район,Колесово 1-е,д,276,52.4652777777778,38.8594444444444,76
Липецкая область,Добринский район,Хворостянка,с,617,52.3275,40.2291666666667,89
