регион,район,город,тип,население,широта,долгота,расстояние
Тамбовская область,Инжавинский район,Чернавка,с,313,52.1730555555556,42.4202777777778,94
Тамбовская область,Сосновский район,Мариновка,д,9,53.3141666666667,41.3052777777778,57
Тамбовская область,Сосновский район,Малиновка,п,2,53.1133333333333,41.0,47
Тамбовская область,Сампурский район,Березовка,д,0,52.3286111111111,41.9311111111111,61
Тамбовская область,Староюрьевский район,Крутовское,с,161,53.2955555555556,40.8844444444444,67
Тамбовская область,Сампурский район,Сампур,с,1628,52.3108333333333,41.6244444444444,55
Рязанская область,Сараевский район,Глебовка,д,5,53.5383333333333,40.9636111111111,88
Тамбовская область,Токарёвский район,Павловка,д,60,52.0655555555556,41.2155555555556,84
Тамбовская область,Инжавинский район,Хорошавка,с,314,52.2341666666667,42.4583333333333,91
Тамбовская область,Никифоровский район,Марьевка,д,37,52.5994444444444,40.6980555555556,57
Тамбовская область,Рассказовский район,Керша,с,408,52.795,42.0522222222222,38
Тамбовская область,Никифоровский район,Анновка,д,5,53.0508333333333,40.9019444444444,47
Тамбовская область,Инжавинский район,Ивановка,д,127,52.5075,42.3466666666667,67
Тамбовская область,Бондарский район,Чернавка,с,8,52.9858333333333,42.1658333333333,50
Тамбовская область,Рассказовский район,Нижнеспасское,с,2095,52.6286111111111,41.7736111111111,27
Тамбовская область,Моршанский район,Ракша,с,667,53.5558333333333,41.6202777777778,83
Тамбовская область,Тамбовский район,Малиновка 1-я,д,399,52.8044444444444,41.3127777777778,11
Тамбовская область,Староюрьевский район,Андреевка,д,0,53.2138888888889,40.7119444444444,68
Тамбовская область,Тамбовский район,Пушкари,с,1174,52.7441666666667,41.3291666666667,12
Тамбовская область,Уваровский район,Березовка,с,463,51.9997222222222,42.0602777777778,97
Тамбовская область,Тамбовский район,Ольшанка-Луговая,д,14,52.5263888888889,41.2677777777778,34
Тамбовская область,Знаменский район,Николаевка,д,28,52.3383333333333,41.1216666666667,57
Тамбовская область,Пичаевский район,Пичинка,д,4,53.3091666666667,42.0372222222222,67
Тамбовская область,Петровский район,Барановка,д,106,52.5252777777778,40.7613888888889,57
Тамбовская область,Рассказовский район,Татарщино,с,349,52.8319444444444,41.9988888888889,34
Тамбовская область,Мордовский район,Писаревка,д,165,52.2427777777778,40.7830555555556,78
Тамбовская область,Город Моршанск,Химмаш,п,0,53.4322222222222,41.7833333333333,72
Тамбовская область,Бондарский район,Шача,с,228,53.0683333333333,42.195,56
Тамбовская область,Пичаевский район,Завьяловка,п,0,53.2666666666667,42.1847222222222,69
Тамбовская область,Мордовский район,Политотдельский,п,7,52.2122222222222,40.8816666666667,77
Тамбовская область,Токарёвский район,Михайловка,д,133,52.1580555555556,41.1991666666667,74
