регион,район,город,тип,население,широта,долгота,расстояние
Калужская область,Малоярославецкий,Ерденево,ст,169,54.925,36.3955555555556,93
Московская область,Солнечногорский,Обухово,д,112,56.1477777777778,36.9191666666667,64
Московская область,Дмитровский,Горчаково,д,4,56.3477777777778,37.1147222222222,83
Московская область,Ступинский,Николо-Тители,д,4,55.1375,38.1147222222222,74
Московская область,Истринский,Шёлковая Гора,п,66,55.9052777777778,36.8063888888889,44
Московская область,Солнечногорский,Никифорово,д,2,56.1186111111111,37.1963888888889,57
Московская область,Солнечногорский,Лунево,п,3961,55.9936111111111,37.345,44
Московская область,Серпуховский,Злобино,д,16,54.9763888888889,37.3180555555556,69
Московская область,Щёлковский,Загорянский,дп,7997,55.9166666666667,37.9277777777778,54
Московская область,Чеховский,Бутырки,д,10,55.0519444444444,37.2155555555556,61
Московская область,Истринский,Павловское,д,1215,55.8736111111111,36.9466666666667,36
Московская область,Наро-Фоминский,Настасьино,д,11,55.4,36.5686111111111,49
Калужская область,Тарусский,Аксинино,д,0,54.7547222222222,36.9494444444444,96
Московская область,Подольск,Луковня,д,9,55.4511111111111,37.4452777777778,19
Московская область,Домодедово,Глотаево,д,59,55.1641666666667,37.8113888888889,59
Московская область,Наро-Фоминский,Тимонино,д,26,55.4944444444444,37.0833333333333,16
Московская область,Одинцовский,Козино,с,102,55.7330555555556,36.9325,26
Московская область,Солнечногорский,Лесное Озеро,п,625,56.1263888888889,36.8847222222222,63
Московская область,Рузский,Стрыгино,д,13,55.7705555555556,36.3891666666667,58
Московская область,Дмитровский,Базарово,д,104,56.1575,37.4844444444444,63
Московская область,Дмитровский,Коргашино,д,14,56.3811111111111,37.3138888888889,87
Московская область,Одинцовский,Акулово,д,68,55.5177777777778,36.6919444444444,37
Московская область,Солнечногорский,Шахматово,д,13,56.2830555555556,36.9133333333333,79
Московская область,Истринский,Петровское,д,17,55.8319444444444,36.8833333333333,35
Московская область,Дмитровский,Морозово,д,6,56.1683333333333,37.5913888888889,66
Московская область,Дмитровский,Овсянниково,д,5,56.3811111111111,37.6513888888889,90
Московская область,Чеховский,Красные Орлы,д,31,55.0791666666667,37.5197222222222,60
Московская область,Солнечногорский,Стегачево,д,19,56.1386111111111,36.8855555555556,64
Московская область,Чеховский,Кулаково,д,302,55.0908333333333,37.4577777777778,57
Московская область,Клинский,Бакланово,д,34,56.2358333333333,36.5975,82
Московская область,Наро-Фоминский,Самород,д,5,55.3269444444444,36.2811111111111,69
Московская область,Пушкинский,Степаньково,д,325,56.0655555555556,37.8066666666667,61
Московская область,Клинский,Хлыниха,д,3,56.3472222222222,36.395,99
Московская область,Чеховский,Курниково,д,10,55.1430555555556,37.5688888888889,54
Московская область,Лобня,Лобня,г,74252,56.0119444444444,37.475,47
Московская область,Солнечногорский,Ржавки,рп,4038,56.0158333333333,37.2255555555556,46
Московская область,Сергиево-Посадский,Прокшино,д,0,56.2925,37.8186111111111,84
Московская область,Домодедово,Старое,д,6,55.2905555555556,37.8805555555556,51
Московская область,Солнечногорский,Марьино,д,565,56.0188888888889,37.015,49
Московская область,Рузский,Никольское,с,613,55.8891666666667,36.4297222222222,61
Калужская область,Жуковский,Калинино,д,0,54.8663888888889,37.0641666666667,82
Калужская область,Жуковский,Успенские Хутора,д,2,55.1602777777778,36.8927777777778,54
Калужская область,Боровский,Тимашово,д,96,55.1405555555556,36.4822222222222,71
Московская область,Ступинский,Леньково,д,9,55.1919444444444,37.9872222222222,64
Московская область,Сергиево-Посадский,Озерецкое,с,60,56.3097222222222,37.8319444444444,86
Московская область,Клинский,Коноплино,д,29,56.2738888888889,36.6852777777778,83
Московская область,Щёлковский,Сутоки,д,56,56.0105555555556,38.1713888888889,72
Московская область,Дмитровский,Бородино,д,40,56.3488888888889,37.6016666666667,85
Московская область,Дмитровский,Трощейково,д,14,56.2769444444444,37.7238888888889,80
Московская область,Рузский,Артюхино,д,29,55.6102777777778,36.5097222222222,48
Московская область,Дмитровский,Удино,д,38,56.1486111111111,37.3172222222222,61
Московская область,Ногинский,Булгаково,д,73,55.7258333333333,38.2541666666667,63
Московская область,Солнечногорский,Веревское,д,8,56.0641666666667,37.2763888888889,51
Московская область,Дмитровский,Василево,д,47,56.4361111111111,37.1861111111111,93
Московская область,Пушкинский,Мартьянково,д,6,56.1911111111111,37.7897222222222,73
Московская область,Одинцовский,Станция Сушкинская,п,0,55.6111111111111,36.8708333333333,25
Тульская область,Заокский район,Гибкино,д,55,54.7325,37.4597222222222,97
Московская область,Раменский,Заболотье,д,1205,55.5469444444444,38.1977777777778,58
Московская область,Домодедово,Татарское,д,1,55.4527777777778,37.8308333333333,38
Московская область,Истринский,Ильино,д,58,55.9238888888889,36.7916666666667,47
Московская область,Ленинский,Измайлово,п,1593,55.5636111111111,37.6452777777778,23
Московская область,Подольск,Большое Брянцево,д,27,55.4863888888889,37.6763888888889,28
Калужская область,Малоярославецкий,Чуркино,д,10,55.0086111111111,36.3508333333333,88
Московская область,Серпуховский,Новики,д,20,54.9194444444444,37.275,75
Московская область,Наро-Фоминский,Малые Горки,д,153,55.5336111111111,37.0805555555556,14
Калужская область,Малоярославецкий,Барденево,д,16,54.9486111111111,36.5577777777778,85
Московская область,Наро-Фоминский,Блознево,д,1,55.3272222222222,36.4116666666667,62
Московская область,Щёлковский,Медное-Власово,п,436,55.9391666666667,38.2005555555556,69
Московская область,Дмитровский,Подосинки,д,393,56.2036111111111,37.5394444444444,69
Московская область,Одинцовский,Дьяконово,д,11,55.7005555555556,36.6586111111111,40
Московская область,Домодедово,Житнево,д,1436,55.3427777777778,37.9097222222222,49
Московская область,Истринский,Бабкино,д,33,55.9608333333333,36.8288888888889,48
Московская область,Дмитровский,Батюшково,с,14,56.2313888888889,37.5461111111111,72
Московская область,Одинцовский,Вырубово,д,204,55.6741666666667,37.3144444444444,8
Московская область,Клинский,Никольское,д,7,56.1541666666667,36.7144444444444,70
Московская область,Наро-Фоминский,Покровка,д,0,55.3005555555556,36.7727777777778,45
Московская область,Ногинский,Кролики,д,0,55.7677777777778,38.1669444444444,59
Московская область,Ногинский,Обухово,рп,9630,55.8316666666667,38.2694444444444,67
Московская область,Люберецкий,Чкалово,п,278,55.6358333333333,37.9333333333333,41
Московская область,Мытищинский,Семенищево,д,35,56.0522222222222,37.5936111111111,54
Московская область,Люберецкий,Жилино-1,п,364,55.6336111111111,37.9433333333333,42
Московская область,Клинский,Максимково,д,71,56.3766666666667,36.8116666666667,91
Московская область,Пушкинский,Нагорное,д,168,56.1166666666667,37.8980555555556,69
Московская область,Чеховский,Дмитровка,д,69,55.2461111111111,37.5027777777778,41
Московская область,Истринский,Брыково,д,17,55.9405555555556,36.7183333333333,51
Московская область,Ленинский,Суханово,д,496,55.5183333333333,37.6558333333333,25
Московская область,Дмитровский,Костюнино,д,1,56.3516666666667,37.0477777777778,84
Калужская область,Малоярославецкий,Ильичевка,д,11,54.9902777777778,36.5363888888889,82
Тульская область,Заокский район,Малахово 2,п,0,54.7638888888889,37.445,93
Калужская область,Жуковский,Александровка,д,6,54.8930555555556,36.9336111111111,81
Московская область,Домодедово,Тишково,с,23,55.2372222222222,37.9816666666667,60
Московская область,Подольск,Пузиково,д,10,55.3613888888889,37.6711111111111,36
Московская область,Дмитровский,Костино,д,10,56.3063888888889,37.1266666666667,79
Московская область,Одинцовский,Локотня,с,30,55.6966666666667,36.5872222222222,44
Московская область,Серпуховский,Верхнее Шахлово,д,20,55.0302777777778,37.2561111111111,63
Московская область,Солнечногорский,Захарьино,д,0,56.2966666666667,37.0794444444444,78
Московская область,Солнечногорский,Горетовка,д,59,55.9594444444444,37.1086111111111,41
Калужская область,Малоярославецкий,Куклеиха,д,17,54.9366666666667,36.37,93
Московская область,Истринский,Дедовск,г,29108,55.86,37.1205555555556,30
Московская область,Чеховский,Прудки,д,0,55.1944444444444,37.4116666666667,45
Калужская область,Жуковский,Воронино,д,1,54.9655555555556,37.0775,71
Московская область,Чеховский,Ишино,д,3,55.2041666666667,37.1936111111111,44
Московская область,Истринский,Покоево,д,14,56.0272222222222,36.6358333333333,62
Московская область,Солнечногорский,Клушино,д,39,56.0322222222222,37.2805555555556,48
Московская область,Одинцовский,Путевой Машинной Станции-4,п,499,55.6055555555556,36.8291666666667,28
Московская область,Ступинский,Кравцово,д,23,55.0541666666667,37.8075,69
Московская область,Ступинский,Лаптево,д,47,55.2136111111111,38.2397222222222,74
Московская область,Истринский,Первомайский,п,1832,55.9141666666667,36.7927777777778,46
Калужская область,Тарусский,Роща,с,128,54.7783333333333,36.8416666666667,95
Московская область,Подольск,Хряслово,д,18,55.3502777777778,37.6505555555556,36
Калужская область,Жуковский,П/л Метростроя,д,71,55.1630555555556,36.7486111111111,58
Московская область,Наро-Фоминский,Горчухино,д,16,55.3458333333333,36.7494444444444,43
