регион,район,город,тип,население,широта,долгота,расстояние
Республика Коми,МР Печора,Путеец,пгт,1065,65.1713888888889,57.0891666666667,93
Республика Коми,ГО Усинск,Мичаёль,п,0,66.1061111111111,57.3791666666667,11
Республика Коми,ГО Усинск,Усть-Уса,с,1008,65.9791666666667,56.9133333333333,20
Республика Коми,МР Печора,Песчанка,д,55,65.2619444444444,57.0313888888889,84
Республика Коми,МР Печора,Печора,г,38014,65.1483333333333,57.2238888888889,95
Республика Коми,ГО Усинск,Щельябож,с,441,66.2911111111111,56.4516666666667,52
Республика Коми,ГО Усинск,Сынянырд,д,29,65.9894444444444,58.0697222222222,31
Республика Коми,МР Печора,Уляшево,д,17,65.4330555555556,57.0286111111111,65
Республика Коми,ГО Усинск,Возей,п,0,66.4672222222222,57.2036111111111,52
Республика Коми,ГО Усинск,Верхнеколвинск,п,0,66.6683333333333,56.9886111111111,75
Республика Коми,МР Печора,Соколово,с,284,65.3461111111111,57.0163888888889,75
Республика Коми,МР Печора,Набережный,п,312,65.1305555555556,57.0416666666667,98
Республика Коми,МР Печора,Белый Ю,п,71,65.2752777777778,57.1197222222222,82
Республика Коми,ГО Усинск,Новикбож,д,417,66.0294444444445,56.8822222222222,22
Республика Коми,ГО Усинск,Парма,пгт,875,65.9511111111111,57.4608333333333,7
Республика Коми,ГО Усинск,Усадор,п,212,66.0266666666667,57.4972222222222,6
Республика Коми,МР Печора,Родионово,д,2,65.4919444444444,57.0577777777778,58
Республика Коми,ГО Усинск,Приполярный,п,0,66.4511111111111,57.1558333333333,50
Республика Коми,ГО Усинск,Усть-Лыжа,с,356,65.6816666666667,56.6769444444444,47
Республика Коми,ГО Усинск,Колва,с,387,65.9669444444445,57.3597222222222,4
Республика Коми,ГО Усинск,Усинск,г,37658,65.9938888888889,57.5569444444444,8
Республика Коми,МР Печора,Сыня,п,192,65.3711111111111,58.0394444444444,77
Республика Коми,ГО Усинск,Акись,д,110,65.8394444444444,56.7544444444444,33
Республика Коми,МР Печора,Миша-Яг,п,0,65.1697222222222,57.4013888888889,93
Республика Коми,МР Печора,Усть-Кожва,д,128,65.1430555555555,57.005,97
Республика Коми,МР Печора,Луговой,п,428,65.1652777777778,57.1072222222222,94
Республика Коми,ГО Усинск,Кушшор,д,19,66.1683333333333,56.5694444444444,40
