регион,район,город,тип,население,широта,долгота,расстояние
Республика Коми,ГО Воркута,Хановей,п,2,67.2825,63.6525,27
Республика Коми,ГО Воркута,Елецкий,пгт,252,67.0447222222222,64.2147222222222,50
Республика Коми,ГО Воркута,Северный,пгт,5867,67.6,64.1013888888889,13
Республика Коми,ГО Воркута,Сейда,п,13,67.0533333333333,63.0836111111111,62
Республика Коми,ГО Воркута,Комсомольский,пгт,0,67.5508333333333,63.7883333333333,11
Республика Коми,ГО Воркута,Юршор,п,0,67.61,64.0016666666667,13
Республика Коми,ГО Воркута,Октябрьский,пгт,0,67.5688888888889,64.1227777777778,10
Республика Коми,ГО Воркута,Воркута,г,58745,67.4975,64.0608333333333,3
Республика Коми,ГО Воркута,Елец,д,2,67.0483333333333,64.0597222222222,49
Республика Коми,ГО Воркута,Промышленный,пгт,0,67.6058333333333,63.9080555555556,13
Республика Коми,ГО Воркута,Мульда,пгт,0,67.4844444444444,63.6813888888889,13
Республика Коми,ГО Воркута,Воргашор,пгт,10954,67.5877777777778,63.7969444444444,13
Республика Коми,ГО Воркута,Никита,д,1,67.0427777777778,63.7986111111111,50
Республика Коми,ГО Воркута,Заполярный,пгт,1427,67.4963888888889,63.73,11
