регион,район,город,тип,население,широта,долгота,расстояние
Республика Коми,МР Усть-Вымский,Нижние Коквицы,д,7,62.1597222222222,50.3463888888889,62
Республика Коми,МР Усть-Вымский,Гажакерес,д,59,62.17,50.2025,67
Республика Коми,МР Сыктывдинский,Пычим,п,2,61.9647222222222,50.3688888888889,43
Республика Коми,МР Сыктывдинский,Мандач,п,114,61.6922222222222,50.1866666666667,35
Республика Коми,МР Корткеросский,Корткерос,с,4502,61.8172222222222,51.5647222222222,42
Республика Коми,МР Усть-Вымский,Лыаты,д,131,62.1202777777778,50.1902777777778,62
Республика Коми,ГО Сыктывкар,Седкыркещ,пгт,2297,61.725,50.955,10
Республика Коми,МР Усть-Вымский,Вёздино,д,81,62.1616666666667,49.8730555555556,76
Республика Коми,МР Корткеросский,Визябож,п,484,61.7411111111111,51.2130555555556,22
Республика Коми,МР Княжпогостский,Ляли,п,231,62.2755555555556,50.6675,70
Республика Коми,МР Усть-Вымский,Заречье,д,4,62.2022222222222,50.0305555555556,75
Республика Коми,МР Усть-Вымский,Айкино,с,3228,62.2241666666667,49.9916666666667,78
Республика Коми,МР Усть-Вымский,Эжолты,д,35,62.0911111111111,50.1516666666667,61
Республика Коми,МР Усть-Вымский,Назар,д,18,62.1283333333333,50.2083333333333,63
Республика Коми,МР Сысольский,Теплой,д,95,60.9308333333333,50.2255555555556,86
Республика Коми,МР Сыктывдинский,Поинга,п,3,61.0266666666667,50.7683333333333,69
Республика Коми,МР Усть-Вымский,Микунь,г,9430,62.3577777777778,50.0719444444444,88
Республика Коми,МР Сысольский,Ляпин,д,87,61.0827777777778,50.35,68
Республика Коми,МР Сыктывдинский,Усть-Пожег,п,57,61.9755555555556,50.2011111111111,49
Республика Коми,МР Сыктывдинский,Лэзым,с,412,61.4458333333333,50.5772222222222,26
Республика Коми,МР Княжпогостский,Чуб,п,0,62.4622222222222,50.2094444444444,96
Республика Коми,МР Усть-Вымский,Кожмудор,с,542,62.1427777777778,50.2747222222222,62
Республика Коми,МР Усть-Вымский,Вомын,д,16,62.1944444444444,49.9347222222222,77
Республика Коми,ГО Сыктывкар,Выльтыдор,п,272,61.6658333333333,50.9322222222222,5
Республика Коми,МР Усть-Вымский,Конец-Озерье,д,1,62.1833333333333,50.2511111111111,67
Республика Коми,МР Корткеросский,Визябож,д,207,61.7555555555556,51.2597222222222,25
Республика Коми,МР Усть-Вымский,Семуково,д,98,62.1847222222222,50.1361111111111,70
Республика Коми,МР Сысольский,Дав,д,28,61.2333333333333,50.1358333333333,59
Республика Коми,МР Корткеросский,Куръядор,д,9,61.8297222222222,51.4361111111111,37
Республика Коми,МР Усть-Вымский,Кырс,д,19,62.1947222222222,50.0819444444444,73
Республика Коми,МР Сыктывдинский,Гавриловка,д,96,61.9927777777778,50.4883333333333,42
Республика Коми,МР Сысольский,Шорйыв,д,21,61.1263888888889,50.2386111111111,66
