регион,район,город,тип,население,широта,долгота,расстояние
Нижегородская область,Семёновский,Алешино,д,4,56.7155555555556,44.3377777777778,63
Нижегородская область,Городецкий район,Бурково,д,11,56.5322222222222,43.6402777777778,34
Нижегородская область,Богородский район,Еловицы,д,0,55.9569444444444,43.5566666666667,33
Нижегородская область,Городецкий район,Дырино,д,14,56.7563888888889,43.7955555555556,58
Нижегородская область,Богородский район,Кожевенное,д,72,56.1505555555556,43.59,14
Нижегородская область,Семёновский,Великуша,д,2,56.74,44.7363888888889,81
Нижегородская область,Семёновский,Клюкино,д,21,56.8627777777778,44.6897222222222,89
Нижегородская область,Городецкий район,Аржаново,д,45,56.6313888888889,43.6225,45
Нижегородская область,Чкаловск,Сумино,д,0,56.7444444444444,43.1,71
Нижегородская область,Бор,Запрудное,д,199,56.5219444444444,44.0469444444444,36
Нижегородская область,Семёновский,Яндовы,д,25,57.0019444444444,44.4727777777778,95
Нижегородская область,Городецкий район,Малинки,д,5,56.6977777777778,43.6722222222222,52
Нижегородская область,Перевозский район,Мармыжи,с,0,55.5133333333333,44.4783333333333,90
Нижегородская область,Бор,Линда,с,4480,56.615,44.0980555555556,47
Нижегородская область,Вадский район,Раздолье,д,0,55.4813888888889,44.0805555555556,85
Нижегородская область,Семёновский,Филиппово,д,10,56.6975,44.4833333333333,67
Нижегородская область,Вачский район,Шерстино,д,28,55.8588888888889,42.8569444444444,71
Нижегородская область,Городецкий район,Солоденино,д,0,56.5136111111111,43.7552777777778,31
Нижегородская область,Городецкий район,Виноградово,д,15,56.94,43.7352777777778,79
Нижегородская область,Бор,Большеорловское,п,800,56.4211111111111,44.6038888888889,55
Нижегородская область,Городецкий район,Серково,д,1107,56.6311111111111,43.5183333333333,47
Нижегородская область,Володарский район,Красная Горка,рп,628,56.2086111111111,43.0633333333333,44
Нижегородская область,Чкаловск,Кузино,д,0,56.7044444444444,43.0988888888889,67
Нижегородская область,Городецкий район,Кумохино,д,43,56.6466666666667,43.5166666666667,49
Нижегородская область,Семёновский,Малые Пруды,д,8,56.8766666666667,44.4430555555556,82
Нижегородская область,Городецкий район,Кузнечиха,д,0,56.7258333333333,43.6147222222222,56
Нижегородская область,Бор,Восход,п,7,56.1191666666667,44.5630555555556,49
Нижегородская область,Богородский район,Северная Колта,п,3,55.9933333333333,43.8291666666667,26
Ивановская область,Пучежский район,Нагаево,д,4,56.8661111111111,43.2208333333333,78
Нижегородская область,Богородский район,Оленино,д,16,56.1955555555556,43.6313888888889,10
Нижегородская область,Семёновский,Федосеево,д,122,56.86,44.4233333333333,80
Нижегородская область,Павловский район,Новое Щербинино,д,89,55.9791666666667,42.9652777777778,58
Нижегородская область,Городецкий район,Тренино,д,0,56.6894444444444,43.6188888888889,52
Нижегородская область,Дальнеконстантиновский район,Старая Пунерь,д,35,55.9566666666667,44.1691666666667,38
