регион,район,город,тип,население,широта,долгота,расстояние
Республика Татарстан,Апастовский район,Янгильдино,д,95,55.3622222222222,48.4616666666667,58
Республика Татарстан,Зеленодольский район,Исаково,д,50,55.7247222222222,48.5508333333333,47
Республика Татарстан,Спасский район,Кожаевка,д,200,55.1219444444444,49.6419444444444,58
Республика Татарстан,Балтасинский район,Верхняя Ушма,д,241,56.3119444444444,50.1477777777778,95
Республика Татарстан,Апастовский район,Апастово,пгт,5277,55.2463888888889,48.4538888888889,65
Республика Татарстан,Кайбицкий район,Большая Куланга,п,29,55.4188888888889,48.4077777777778,58
Республика Татарстан,Апастовский район,Старый Юмралы,с,402,55.1333333333333,48.5919444444444,68
Республика Марий Эл,Волжский район,Очаково,д,107,55.9916666666667,48.6408333333333,58
Республика Татарстан,Апастовский район,Марьино,д,7,55.1861111111111,48.685,60
Республика Татарстан,Верхнеуслонский район,Татарское Бурнашево,с,531,55.7030555555556,48.6583333333333,40
Республика Татарстан,Высокогорский район,Асянь,д,0,56.1541666666667,49.1094444444444,61
Республика Татарстан,Алексеевский район,Саконы,с,56,55.3738888888889,50.21,64
Республика Татарстан,Верхнеуслонский район,Кзыл-Байрак,п,93,55.5097222222222,49.0291666666667,19
Республика Татарстан,Алькеевский район,Салманы,с,198,54.9694444444444,49.7727777777778,77
Республика Татарстан,Высокогорский район,Сая,с,373,56.0519444444444,49.1788888888889,49
Республика Татарстан,Сабинский район,Суля,д,44,56.1175,50.2608333333333,83
Республика Татарстан,Тетюшский район,Зеленовка,с,88,54.9708333333333,48.7372222222222,78
Республика Марий Эл,Звениговский район,Памаштур,д,40,56.2241666666667,48.3141666666667,91
Республика Татарстан,Высокогорский район,Камаево,с,86,56.0261111111111,49.645,51
Республика Марий Эл,Моркинский район,Тишкино,д,34,56.4472222222222,48.8922222222222,96
Республика Татарстан,Верхнеуслонский район,Отрада,дп,0,55.7055555555556,48.5983333333333,44
Республика Татарстан,Верхнеуслонский район,Егидерево,д,102,55.5075,48.7191666666667,37
Республика Татарстан,Алькеевский район,Старые Салманы,с,390,54.9311111111111,49.7355555555556,80
Республика Татарстан,Алексеевский район,Ялкын,д,245,55.0802777777778,49.8802777777778,69
Республика Татарстан,Арский район,Казылино,д,110,56.1277777777778,49.9561111111111,71
Республика Татарстан,Верхнеуслонский район,Сеитово,с,110,55.6133333333333,48.7863888888889,31
Республика Татарстан,Алькеевский район,Старое Камкино,с,165,54.8366666666667,50.1169444444444,100
Республика Татарстан,Арский район,Новое Чурилино,с,170,56.1494444444444,50.2411111111111,85
Республика Татарстан,Атнинский район,Бахтаче,д,39,56.3533333333333,49.2377777777778,83
Республика Татарстан,Высокогорский район,Макаровка,д,41,55.9286111111111,49.1241666666667,37
Республика Татарстан,Тетюшский район,Кошки-Новотимбаево,с,223,54.8188888888889,48.5066666666667,100
Республика Татарстан,Зеленодольский район,Нива,дп,0,55.7855555555556,48.5388888888889,50
Республика Татарстан,Верхнеуслонский район,Рудник,п,0,55.7863888888889,48.7152777777778,40
Республика Татарстан,Зеленодольский район,Автомобилист,дп,0,55.8427777777778,48.6758333333333,46
Республика Татарстан,Пестречинский район,Тагашево,с,102,55.6652777777778,49.4875,14
Республика Татарстан,Высокогорский район,СДТ Иске-казан,дп,0,56.0225,49.64,51
Республика Татарстан,Высокогорский район,Малый Сулабаш,д,197,56.1263888888889,49.2497222222222,57
Республика Татарстан,Балтасинский район,Балтаси,пгт,7940,56.3455555555556,50.2111111111111,100
Ульяновская область,Старомайнский район,Жедяевка,с,545,54.7294444444444,49.1622222222222,97
Республика Марий Эл,Моркинский район,Октябрьский,п,1030,56.3130555555556,48.6019444444444,89
Республика Татарстан,Высокогорский район,Ювас,д,122,56.1588888888889,49.0366666666667,63
Республика Татарстан,Алексеевский район,Мордовский Булак,д,104,55.1386111111111,50.2466666666667,80
Республика Татарстан,Алексеевский район,Ромодан,с,295,55.0625,49.995,75
Республика Татарстан,Высокогорский район,Олуяз,д,144,56.1133333333333,49.4013888888889,56
Республика Татарстан,Высокогорский район,Урмат русский,д,0,56.0119444444444,49.6572222222222,50
Республика Татарстан,Арский район,Новый Кишит,с,78,56.2588888888889,49.6669444444444,76
Республика Татарстан,Лаишевский район,Орел,д,852,55.5638888888889,49.0680555555556,14
Республика Марий Эл,Волжский район,Памашенер,д,139,56.1186111111111,48.8013888888889,64
Республика Татарстан,Высокогорский район,СДТ Колос,дп,0,55.9002777777778,49.2372222222222,32
Республика Татарстан,Зеленодольский район,Юрты,дп,0,55.7969444444444,48.4988888888889,53
