регион,район,город,тип,население,широта,долгота,расстояние
Республика Татарстан,Кукморский район,Плаксиха,д,20,56.0458333333333,51.3322222222222,71
Удмуртская республика,Алнашский,Чумали,д,107,56.0463888888889,52.6586111111111,64
Республика Татарстан,Азнакаевский район,Благодатный,п,196,54.7930555555556,52.8094444444444,97
Республика Татарстан,Мамадышский район,Новое Мочалкино,д,128,55.9163888888889,51.2466666666667,65
Кировская область,Вятскополянский район,Красная Поляна,пгт,6554,56.2447222222222,51.1527777777778,95
Республика Татарстан,Тукаевский район,Семекеево,с,288,55.6036111111111,52.7372222222222,40
Республика Татарстан,Альметьевский район,Ямаш,с,681,55.0333333333333,52.1838888888889,59
Республика Татарстан,Тукаевский район,Подгорный Дрюш,д,83,55.4997222222222,52.5536111111111,30
Республика Татарстан,Тукаевский район,Бетьки,с,3070,55.675,52.1397222222222,12
Республика Татарстан,Тукаевский район,Таш-Кичу,д,189,55.5355555555556,52.4580555555556,23
Республика Татарстан,Менделеевский район,Актазики,д,178,56.03,52.3130555555556,53
Республика Татарстан,Заинский район,Ахметьево,д,218,55.4611111111111,52.1616666666667,12
Республика Татарстан,Заинский район,Буре-Сарай,с,64,55.4122222222222,51.9630555555556,18
Республика Татарстан,Нижнекамский район,Кзыл Яр,д,87,55.4094444444444,51.6441666666667,33
Республика Татарстан,Азнакаевский район,Тархан,д,13,55.0197222222222,52.8152777777778,76
Республика Татарстан,Агрызский район,Сардали,д,5,56.2911111111111,52.7894444444444,91
Республика Татарстан,Агрызский район,Сукман,с,103,56.2486111111111,52.5991666666667,82
Удмуртская республика,Алнашский,Новотроицкий,д,78,56.1161111111111,52.5447222222222,67
Республика Татарстан,Агрызский район,Нижнее Кучуково,с,661,56.2072222222222,52.9325,88
Удмуртская республика,Можгинский,Чежебаш,д,94,56.3691666666667,52.4533333333333,92
Республика Татарстан,Елабужский район,Старый Юраш,с,578,55.9088888888889,51.7366666666667,44
Республика Татарстан,Елабужский район,Гари,с,322,55.8691666666667,52.0258333333333,34
Республика Татарстан,Альметьевский район,Русский Акташ,с,4342,55.0425,52.1197222222222,58
Республика Татарстан,Новошешминский район,Андреевка,д,102,55.0336111111111,51.4233333333333,72
Республика Татарстан,Нижнекамский район,Трудовой,п,522,55.4027777777778,51.6719444444444,32
Республика Татарстан,Альметьевский район,Рождественка,д,3,54.9213888888889,51.9436111111111,72
Республика Татарстан,Альметьевский район,Борискино,с,441,55.0325,51.6411111111111,65
Республика Татарстан,Черемшанский район,Кзыл-Чишма,д,37,54.81,51.2527777777778,99
Республика Татарстан,Тукаевский район,Ирек-Тан,д,68,55.5272222222222,52.5908333333333,31
Республика Татарстан,Нижнекамский район,Свердловец,п,205,55.3638888888889,51.1541666666667,63
Республика Татарстан,Елабужский район,Мамыловка,п,3,55.6805555555556,51.4519444444444,42
Республика Татарстан,Тукаевский район,Совхоза Татарстан,п,2594,55.6208333333333,52.5988888888889,32
Кировская область,Вятскополянский район,Куршино,д,299,56.185,51.2419444444444,87
Республика Татарстан,Заинский район,Дмитровка,с,139,55.3488888888889,52.0455555555556,24
Республика Татарстан,Заинский район,Большой Батрас,д,84,55.1297222222222,51.7452777777778,53
Республика Татарстан,Мамадышский район,Русский Пакшин,п,54,55.6138888888889,51.3255555555556,48
Республика Татарстан,Кукморский район,Татарская Тулба,д,435,56.0708333333333,51.2844444444444,75
Республика Татарстан,Черемшанский район,Нагай,п,4,54.7125,51.7872222222222,96
Республика Татарстан,Черемшанский район,Туйметкино,с,521,54.7905555555556,51.5461111111111,92
Республика Татарстан,Тукаевский район,Старый Байлар,д,177,55.7844444444444,52.8522222222222,53
Республика Татарстан,Агрызский район,Новые Бизяки,д,95,56.2169444444444,52.7438888888889,83
Удмуртская республика,Алнашский,Пирогово,д,52,56.1063888888889,52.35,62
Республика Татарстан,Сармановский район,Рантамак,с,186,55.2055555555556,52.8819444444444,64
Республика Татарстан,Елабужский район,Бессониха,с,12,55.7077777777778,51.4558333333333,43
Республика Татарстан,Менделеевский район,Сетяково,с,185,55.945,52.3977777777778,46
Республика Татарстан,Нижнекамский район,Уська,д,181,55.4547222222222,51.7508333333333,24
Республика Татарстан,Агрызский район,Саклово,д,10,56.0536111111111,53.0711111111111,82
Республика Татарстан,Сармановский район,Муртыш Баш,д,249,55.2211111111111,52.5591666666667,48
Республика Татарстан,Нижнекамский район,Клятле,д,45,55.5433333333333,51.8502777777778,15
Республика Татарстан,Менделеевский район,Псеево,д,364,55.9691666666667,52.5169444444444,52
Удмуртская республика,Можгинский,Почешур,д,108,56.345,52.1844444444444,87
Республика Татарстан,Елабужский район,Танайка,с,2120,55.7416666666667,51.9155555555556,22
Республика Татарстан,Менделеевский район,Тойгузино,д,146,56.0616666666667,52.4630555555556,60
Республика Татарстан,Новошешминский район,Гарь,п,0,55.0,51.2758333333333,81
Республика Татарстан,Черемшанский район,Аккиреево,с,646,54.9044444444444,51.4075,85
Республика Татарстан,Лениногорский район,Зай-Каратай,с,1089,54.7019444444444,52.3894444444444,97
Республика Татарстан,Альметьевский район,Березовка,п,182,55.0233333333333,51.7166666666667,64
Республика Татарстан,Мензелинский район,Подгорный Такермен,с,320,55.6669444444444,52.7211111111111,41
Удмуртская республика,Граховский,Заречный,с,312,56.0294444444444,51.8938888888889,53
Республика Татарстан,Мамадышский район,Кляушское Лесничество,рп,0,56.0083333333333,51.2608333333333,71
Республика Татарстан,Мамадышский район,Грахань,с,26,55.5816666666667,51.4844444444444,38
Республика Татарстан,Тукаевский район,Кугашево,д,96,55.6155555555556,52.6722222222222,36
Республика Татарстан,Нижнекамский район,Тетвель,с,70,55.1911111111111,51.5980555555556,52
Республика Татарстан,Елабужский район,Хлыстово,д,541,55.7991666666667,51.9763888888889,27
Республика Татарстан,Агрызский район,Варклед-Аул,п,38,56.2308333333333,52.7961111111111,86
Республика Татарстан,Елабужский район,Куюк,д,10,55.8719444444444,51.7825,39
Республика Татарстан,Мамадышский район,Комаровка,д,98,55.9063888888889,51.3941666666667,58
Республика Татарстан,Мензелинский район,Наратлы-Кичу,с,242,55.5672222222222,52.8438888888889,47
Республика Татарстан,Азнакаевский район,Мачаклы-Баш,д,37,54.9066666666667,53.0683333333333,96
Республика Татарстан,Сармановский район,Новое Саклово,д,25,55.4808333333333,52.905,52
Удмуртская республика,Алнашский,Выль Шудья,д,0,56.1633333333333,52.6055555555556,73
Удмуртская республика,Можгинский,Санниково,д,6,56.2305555555556,52.1816666666667,74
Республика Татарстан,Кукморский район,Чулыгино,с,3,56.0791666666667,51.4538888888889,69
Республика Татарстан,Альметьевский район,Наратлы,д,86,55.0436111111111,52.5122222222222,63
Республика Татарстан,Тукаевский район,Ильичевский,п,26,55.8511111111111,52.4108333333333,37
Республика Татарстан,Мензелинский район,Новый Такерман,д,59,55.5308333333333,52.8888888888889,50
Республика Татарстан,Заинский район,Алкино,с,87,55.1186111111111,52.3188888888889,51
Республика Татарстан,Заинский район,Байрак,д,1,55.4838888888889,51.95,12
Республика Татарстан,Елабужский район,Большая Тарловка,д,351,55.7952777777778,52.0147222222222,26
Республика Татарстан,Менделеевский район,Татарские Челны,с,350,55.8588888888889,52.2183333333333,33
Республика Татарстан,Азнакаевский район,Маняуз,д,670,54.8808333333333,53.0261111111111,96
Республика Татарстан,Альметьевский район,Юкале,д,41,55.0341666666667,52.5033333333333,64
Республика Татарстан,Сармановский район,Новое Ахметово,д,217,55.2747222222222,52.5975,45
Удмуртская республика,Кизнерский,Верхняя Тыжма,д,179,56.3013888888889,51.7725,84
Республика Татарстан,Заинский район,Бухарай,с,592,55.1452777777778,52.31,48
Республика Татарстан,Заинский район,Сармаш-Баш,с,327,55.2208333333333,52.3463888888889,41
Удмуртская республика,Кизнерский,Новый Трык,д,100,56.3411111111111,51.4705555555556,94
Республика Татарстан,Заинский район,Сарапала,с,231,55.2269444444444,51.9169444444444,39
Удмуртская республика,Кизнерский,Верхний Бемыж,д,193,56.2275,51.7108333333333,77
Республика Татарстан,Сармановский район,Кавзияково,с,449,55.28,52.8136111111111,55
Республика Татарстан,Агрызский район,Крынды,с,597,56.1391666666667,52.9141666666667,82
Республика Татарстан,Мамадышский район,Старое Мочалкино,д,48,55.9297222222222,51.2194444444444,68
Удмуртская республика,Алнашский,Татарский Тоймобаш,д,64,56.2158333333333,52.4813888888889,76
Республика Татарстан,Сармановский район,Сулы-Саклово,д,200,55.4038888888889,52.8591666666667,51
Республика Татарстан,Новошешминский район,Тубылгы Тау,с,632,55.1777777777778,51.2397222222222,69
Республика Татарстан,Елабужский район,Старый Куклюк,с,377,55.9083333333333,51.5955555555556,49
Удмуртская республика,Кизнерский,Кизнер,с,1369,56.3130555555556,51.5133333333333,90
Республика Татарстан,Заинский район,Кадыково,д,34,55.2241666666667,52.3125,40
Республика Татарстан,Мензелинский район,Верхние Юшады,с,120,55.5552777777778,53.0197222222222,58
Республика Татарстан,Менделеевский район,Марийское Текашево,д,13,55.9691666666667,52.4222222222222,49
