регион,район,город,тип,население,широта,долгота,расстояние
Республика Марий Эл,Медведевский район,Старое Комино,д,252,56.7077777777778,48.0216666666667,7
Кировская область,Кикнурский район,Путиново,д,36,57.2872222222222,47.2022222222222,77
Республика Марий Эл,Новоторъяльский район,Тупино,д,13,57.035,48.6294444444444,57
Чувашская республика,Козловский район,Шименеево,д,163,55.8908333333333,48.0702777777778,91
Республика Марий Эл,Советский район,Отары,д,22,56.655,48.3530555555556,28
Кировская область,Кикнурский район,Андрияхи,д,0,57.5422222222222,47.3569444444444,98
Республика Марий Эл,Новоторъяльский район,Малое Танаково,д,18,57.0788888888889,48.7175,65
Республика Марий Эл,Новоторъяльский район,Пузырниково,д,12,57.1238888888889,48.3619444444444,54
Кировская область,Пижанский район,Евсиково,д,1,57.2944444444444,48.4144444444444,72
Чувашская республика,Чебоксарский район,Янашкасы,д,335,56.1052777777778,47.3830555555556,73
Чувашская республика,Чебоксарский район,Варпоси,д,158,56.0780555555556,47.0386111111111,87
Чувашская республика,Цивильский район,Вторые Вурманкасы,д,725,55.9175,47.3788888888889,93
Чувашская республика,Чебоксарский район,Малое Янгильдино,д,225,56.0547222222222,47.1577777777778,85
Кировская область,Пижанский район,Первый Ластик,д,69,57.3208333333333,48.4622222222222,76
Республика Марий Эл,Новоторъяльский район,Маркелово,д,129,57.0125,48.6302777777778,56
Чувашская республика,Козловский район,Айдарово,д,15,55.8441666666667,47.8055555555556,96
Республика Марий Эл,Волжский район,Очаково,д,107,55.9916666666667,48.6408333333333,91
Республика Марий Эл,Медведевский район,Лесной,п,86,56.7788888888889,47.7880555555556,10
Республика Марий Эл,Медведевский район,Русский Кукмор,д,1568,56.6663888888889,48.1366666666667,15
Республика Марий Эл,Медведевский район,Пеленгер,д,23,56.7838888888889,47.9119444444444,8
Кировская область,Тужинский район,Коленки,д,1,57.5577777777778,48.0469444444444,95
Кировская область,Яранский район,Хмелевка,д,7,57.0055555555556,47.9155555555556,33
Чувашская республика,Цивильский район,Тувси,д,537,55.9136111111111,47.4780555555556,91
Республика Марий Эл,Килемарский район,Малый Ермучаш,д,38,56.3127777777778,47.0866666666667,66
Чувашская республика,Козловский район,Толбаево,д,2,55.8397222222222,48.0652777777778,96
Кировская область,Кикнурский район,Нолинские,д,0,57.3033333333333,47.3736111111111,73
Республика Марий Эл,Звениговский район,Памаштур,д,40,56.2241666666667,48.3141666666667,59
Чувашская республика,Чебоксарский район,Малдыкасы,д,103,55.9016666666667,47.1797222222222,99
Республика Марий Эл,Куженерский район,Лонганер,д,2,56.7663888888889,48.805,56
Республика Марий Эл,Моркинский район,Тишкино,д,34,56.4472222222222,48.8922222222222,67
Кировская область,Санчурский район,Русское Кубашево,д,2,56.9902777777778,47.2294444444444,51
Кировская область,Советский район,Жолобово,д,1,57.2022222222222,48.7838888888889,77
Республика Марий Эл,Новоторъяльский район,Зверевцы,д,1,57.0802777777778,48.3677777777778,50
Республика Марий Эл,Новоторъяльский район,Веденькино,д,37,56.9163888888889,48.8608333333333,63
Кировская область,Санчурский район,Кузнецово,д,0,56.9397222222222,47.4433333333333,38
Республика Марий Эл,Новоторъяльский район,Шуйбеляк,д,348,56.9730555555556,48.7233333333333,58
Республика Марий Эл,Новоторъяльский район,Немда-Обалыш,д,550,57.0719444444444,48.8088888888889,69
Республика Марий Эл,Килемарский район,Кужинский Коноплянник,п,10,56.7475,47.2319444444444,40
Республика Марий Эл,Медведевский район,Малая Турша,д,112,56.8869444444444,47.5930555555556,27
Чувашская республика,Мариинско-Посадский район,Караньялы,д,308,55.9538888888889,47.7252777777778,84
Кировская область,Санчурский район,Большая Русская Лиса,д,3,57.0541666666667,47.2383333333333,55
Республика Марий Эл,Килемарский район,Шушер,п,5,56.6727777777778,47.2622222222222,38
Кировская область,Санчурский район,Ихта,с,0,56.9780555555556,47.3713888888889,44
Кировская область,Яранский район,Маловитлино 2,д,15,57.1955555555556,48.3308333333333,60
Чувашская республика,Мариинско-Посадский район,Нижние Ирх-Сирмы,д,27,55.9808333333333,47.5988888888889,82
Республика Марий Эл,Медведевский район,Сухоречье,д,6,56.8605555555556,47.4441666666667,32
Чувашская республика,Мариинско-Посадский район,Ящерино,д,277,56.0613888888889,47.6877777777778,72
Чувашская республика,Мариинско-Посадский район,Синъял-Ирх-Сирмы,д,93,55.9625,47.6063888888889,84
Кировская область,Яранский район,Тихоново,д,6,57.2277777777778,48.2141666666667,61
Республика Марий Эл,Советский район,Ургакш,п,1371,56.7502777777778,48.43,33
Республика Марий Эл,Оршанский район,Верхняя Каракша,д,7,56.955,47.9238888888889,27
Кировская область,Яранский район,Федькино,д,14,57.4316666666667,48.1005555555556,81
Кировская область,Яранский район,Мари-Васькино,д,30,57.2769444444444,47.5866666666667,66
Кировская область,Кикнурский район,Потняк,с,230,57.2586111111111,47.3394444444444,70
Кировская область,Пижанский район,Чертенки,д,4,57.3861111111111,48.3336111111111,80
Республика Марий Эл,Моркинский район,Октябрьский,п,1030,56.3130555555556,48.6019444444444,61
Республика Марий Эл,Новоторъяльский район,Олени,д,1,57.1547222222222,48.5741666666667,64
Кировская область,Санчурский район,Петухи,д,8,57.0436111111111,46.9247222222222,70
Чувашская республика,Чебоксары,Новые Лапсары,пгт,6975,56.0694444444444,47.2155555555556,82
Чувашская республика,Мариинско-Посадский район,Вурман-Пилемчи,д,129,55.9719444444444,47.8875,81
Кировская область,Кикнурский район,Малое Салтаево,д,12,57.2286111111111,47.19,72
Республика Марий Эл,Новоторъяльский район,Куркумбал,д,17,56.9233333333333,48.7158333333333,55
Республика Марий Эл,Моркинский район,Чодрасола,д,186,56.4977777777778,48.8275,61
Республика Марий Эл,Волжский район,Памашенер,д,139,56.1186111111111,48.8013888888889,85
Чувашская республика,Цивильский район,Большие Крышки,д,0,55.8427777777778,47.79,96
