регион,район,город,тип,население,широта,долгота,расстояние
Республика Марий Эл,Медведевский район,Старое Комино,д,252,56.7077777777778,48.0216666666667,80
Республика Марий Эл,Килемарский район,Сельхозпочинок,д,20,56.6966666666667,46.6505555555556,80
Чувашская республика,Козловский район,Шименеево,д,163,55.8908333333333,48.0702777777778,50
Республика Марий Эл,Горномарийский район,Янгосово,д,64,56.1988888888889,46.5891666666667,48
Чувашская республика,Чебоксарский район,Янашкасы,д,335,56.1052777777778,47.3830555555556,2
Чувашская республика,Канашский район,Кашкар-Сирмы,д,71,55.3883333333333,47.5433333333333,79
Чувашская республика,Чебоксарский район,Варпоси,д,158,56.0780555555556,47.0386111111111,19
Чувашская республика,Цивильский район,Вторые Вурманкасы,д,725,55.9175,47.3788888888889,19
Чувашская республика,Чебоксарский район,Малое Янгильдино,д,225,56.0547222222222,47.1577777777778,12
Чувашская республика,Козловский район,Айдарово,д,15,55.8441666666667,47.8055555555556,39
Республика Марий Эл,Медведевский район,Лесной,п,86,56.7788888888889,47.7880555555556,81
Чувашская республика,Ибресинский район,Ибреси,пгт,7724,55.3041666666667,47.0388888888889,89
Республика Марий Эл,Медведевский район,Русский Кукмор,д,1568,56.6663888888889,48.1366666666667,80
Республика Марий Эл,Медведевский район,Пеленгер,д,23,56.7838888888889,47.9119444444444,84
Чувашская республика,Моргаушский район,Ахманеи,с,131,56.0516666666667,46.7963888888889,34
Республика Марий Эл,Килемарский район,Алешкино,д,281,56.4238888888889,46.7255555555556,53
Чувашская республика,Цивильский район,Тувси,д,537,55.9136111111111,47.4780555555556,21
Республика Марий Эл,Килемарский район,Малый Ермучаш,д,38,56.3127777777778,47.0866666666667,29
Чувашская республика,Канашский район,Чинквары,высел,45,55.5230555555556,47.2255555555556,63
Чувашская республика,Канашский район,Верхнее Девлизерово,д,194,55.5980555555556,47.5375,56
Чувашская республика,Козловский район,Толбаево,д,2,55.8397222222222,48.0652777777778,52
Республика Татарстан,Зеленодольский район,Кугеево,с,481,55.6122222222222,48.2116666666667,75
Чувашская республика,Цивильский район,Чиричкасы,д,254,55.8033333333333,47.6372222222222,36
Республика Марий Эл,Звениговский район,Памаштур,д,40,56.2241666666667,48.3141666666667,61
Чувашская республика,Вурнарский район,Санарпоси,д,354,55.5211111111111,46.9997222222222,67
Чувашская республика,Чебоксарский район,Малдыкасы,д,103,55.9016666666667,47.1797222222222,23
Чувашская республика,Чебоксарский район,Туруново,с,86,55.8858333333333,47.0905555555556,27
Чувашская республика,Канашский район,Ачакс,рзд,3,55.4994444444444,47.2283333333333,66
Кировская область,Санчурский район,Русское Кубашево,д,2,56.9902777777778,47.2294444444444,100
Республика Марий Эл,Килемарский район,Ершово,д,118,56.3955555555556,46.8511111111111,45
Кировская область,Санчурский район,Кузнецово,д,0,56.9397222222222,47.4433333333333,94
Чувашская республика,Вурнарский район,Тузи-Мурат,д,103,55.62,47.0233333333333,56
Республика Марий Эл,Килемарский район,Кужинский Коноплянник,п,10,56.7475,47.2319444444444,73
Республика Марий Эл,Горномарийский район,Важнангер,д,85,56.2202777777778,46.6805555555556,43
Чувашская республика,Вурнарский район,Большие Хирлепы,д,170,55.65,46.8186111111111,59
Чувашская республика,Урмарский район,Старое Муратово,д,216,55.6708333333333,48.1219444444444,67
Чувашская республика,Красноармейский район,Тузи-Чурино,д,198,55.6863888888889,47.2313888888889,45
Республика Татарстан,Кайбицкий район,Турминское,с,195,55.3444444444444,47.8794444444444,89
Чувашская республика,Аликовский район,Коракши,д,183,55.7141666666667,46.8041666666667,53
Чувашская республика,Вурнарский район,Мачамуши,д,95,55.6327777777778,46.8561111111111,59
Чувашская республика,Канашский район,Хунав,д,93,55.4997222222222,47.5608333333333,67
Республика Марий Эл,Медведевский район,Малая Турша,д,112,56.8869444444444,47.5930555555556,89
Чувашская республика,Мариинско-Посадский район,Караньялы,д,308,55.9538888888889,47.7252777777778,28
Республика Марий Эл,Горномарийский район,Высоково,д,20,56.2505555555556,46.5186111111111,54
Чувашская республика,Цивильский район,Мунсют,д,320,55.7725,47.6116666666667,39
Чувашская республика,Ядринский район,Пиреньял,д,0,56.1041666666667,46.4016666666667,58
Чувашская республика,Моргаушский район,Елкино,д,87,56.0175,46.6441666666667,44
Республика Марий Эл,Килемарский район,Шушер,п,5,56.6727777777778,47.2622222222222,65
Кировская область,Санчурский район,Ихта,с,0,56.9780555555556,47.3713888888889,98
Республика Марий Эл,Горномарийский район,Пичужкино,д,26,56.2138888888889,46.6761111111111,43
Чувашская республика,Мариинско-Посадский район,Нижние Ирх-Сирмы,д,27,55.9808333333333,47.5988888888889,19
Республика Марий Эл,Медведевский район,Сухоречье,д,6,56.8605555555556,47.4441666666667,85
Чувашская республика,Мариинско-Посадский район,Ящерино,д,277,56.0613888888889,47.6877777777778,21
Чувашская республика,Мариинско-Посадский район,Синъял-Ирх-Сирмы,д,93,55.9625,47.6063888888889,21
Чувашская республика,Красноармейский район,Синьял-Шатьма,д,80,55.8525,47.0622222222222,31
Чувашская республика,Ядринский район,Заштраночная,д,21,55.9030555555556,46.4127777777778,61
Чувашская республика,Аликовский район,Лобашкино,д,92,55.7877777777778,46.6491666666667,55
Чувашская республика,Шумерлинский район,Торханы,д,520,55.5572222222222,46.5719444444444,76
Чувашская республика,Канаш,Канаш,г,45482,55.5069444444444,47.4916666666667,65
Чувашская республика,Моргаушский район,Малиновка,д,93,55.9380555555556,46.6930555555556,44
Республика Марий Эл,Килемарский район,Мадарский,высел,60,56.4252777777778,46.8930555555556,46
Чувашская республика,Моргаушский район,Вурманкасы,д,62,56.1377777777778,46.8425,31
Чувашская республика,Янтиковский район,Нижарово,д,426,55.5669444444444,47.8875,67
Чувашская республика,Чебоксары,Новые Лапсары,пгт,6975,56.0694444444444,47.2155555555556,8
Республика Марий Эл,Килемарский район,Большой Ломбенур,д,12,56.8455555555556,46.8302777777778,89
Чувашская республика,Мариинско-Посадский район,Вурман-Пилемчи,д,129,55.9719444444444,47.8875,36
Чувашская республика,Цивильский район,Большие Крышки,д,0,55.8427777777778,47.79,39
Чувашская республика,Моргаушский район,Пожедановка,д,12,56.0763888888889,46.8241666666667,32
Республика Марий Эл,Горномарийский район,Лавранангер,д,52,56.2238888888889,46.4775,56
Чувашская республика,Красночетайский район,Старые Атаи,д,211,55.7175,46.3875,72
Чувашская республика,Цивильский район,Акташкасы,д,112,55.8986111111111,47.5977777777778,26
Чувашская республика,Ядринский район,Яровойкасы,д,106,55.8516666666667,46.3602777777778,67
Кировская область,Санчурский район,Галкино,д,4,56.9402777777778,46.8419444444444,99
Чувашская республика,Красноармейский район,Тоганаши,д,6,55.8391666666667,47.0730555555556,32
Чувашская республика,Вурнарский район,Ямбахтино,д,295,55.6158333333333,46.7961111111111,63
Чувашская республика,Урмарский район,Шихабылово,д,653,55.7530555555556,47.8608333333333,49
Республика Марий Эл,Медведевский район,Новотроицк,д,380,56.5736111111111,47.8777777777778,63
Республика Марий Эл,Горномарийский район,Когаркино,д,125,56.2411111111111,46.5525,52
Чувашская республика,Чебоксарский район,Чемурша,с,432,56.1094444444444,47.4097222222222,4
Республика Марий Эл,Медведевский район,Голубое Озеро,п,3,56.79,47.8966666666667,84
Республика Марий Эл,Медведевский район,Малиновка,д,22,56.6025,47.7525,62
Чувашская республика,Ибресинский район,Тымар,п,80,55.27,47.0180555555556,93
Чувашская республика,Чебоксарский район,Большое Князь-Теняково,д,140,56.0561111111111,47.4047222222222,5
Чувашская республика,Аликовский район,Олух-Шумшеваши,д,45,55.7911111111111,46.5525,59
Чувашская республика,Вурнарский район,Тувалькино,д,126,55.6308333333333,46.7325,64
Чувашская республика,Канашский район,Ирх-Сирмы,д,57,55.6866666666667,47.4480555555556,45
Чувашская республика,Аликовский район,Верхние Карачуры,д,230,55.6808333333333,46.8761111111111,54
Республика Марий Эл,Медведевский район,Кугенерка,д,69,56.64,48.1072222222222,77
Чувашская республика,Ядринский район,Олух Шуматово,д,60,55.8630555555556,46.5144444444444,57
Республика Татарстан,Кайбицкий район,Сосновка,д,30,55.4455555555556,47.9172222222222,80
