регион,район,город,тип,население,широта,долгота,расстояние
Ульяновская область,Майнский район,Апалиха,с,21,54.2452777777778,47.8888888888889,21
Самарская область,Шигонский район,Епифановка,с,16,53.5994444444444,48.4133333333333,75
Ульяновская область,Майнский район,Воецкое,с,65,53.9752777777778,47.8875,39
Ульяновская область,Цильнинский район,Малое Нагаткино,с,293,54.6288888888889,47.8963888888889,45
Ульяновская область,Старомайнский район,Красная Поляна,п,23,54.6058333333333,49.0622222222222,66
Чувашская республика,Шемуршинский район,Трехизб-Шемурша,с,363,54.8541666666667,47.5911111111111,76
Республика Татарстан,Апастовский район,Старый Юмралы,с,402,55.1333333333333,48.5919444444444,99
Ульяновская область,Ульяновский район,Елизаветино,д,11,54.3372222222222,47.9408333333333,19
Республика Татарстан,Тетюшский район,Зеленовка,с,88,54.9708333333333,48.7372222222222,84
Республика Татарстан,Буинский район,Сарсаз,с,44,54.8408333333333,48.0486111111111,64
Республика Татарстан,Дрожжановский район,Нижнее Чекурское,с,186,54.5961111111111,47.4141666666667,63
Ульяновская область,Майнский район,Березовка,с,356,54.0522222222222,47.6211111111111,46
Чувашская республика,Шемуршинский район,Большое Буяново,д,330,54.8969444444444,47.6088888888889,80
Ульяновская область,Майнский район,Новотроицкая,п,3,54.155,47.4313888888889,53
Ульяновская область,Чердаклинский район,Колхозный,п,1696,54.3225,48.5697222222222,23
Чувашская республика,Шемуршинский район,Новая Шемурша,д,260,54.8791666666667,47.5375,81
Самарская область,Сызранский район,Троицкое,с,843,53.3786111111111,48.3886111111111,99
Республика Татарстан,Дрожжановский район,Новое Чекурское,с,122,54.5625,47.4797222222222,58
Ульяновская область,Ульяновск,Кротовка,с,1649,54.3016666666667,48.1444444444444,6
Республика Татарстан,Дрожжановский район,Хайбулдино,д,122,54.7255555555556,47.5238888888889,68
Ульяновская область,Вешкаймский район,Котяковка,д,75,53.9630555555556,47.2247222222222,73
Ульяновская область,Ульяновск,Луговое,с,1540,54.2147222222222,48.2402777777778,6
Ульяновская область,Цильнинский район,Богдашкино,с,830,54.6136111111111,47.6755555555556,52
Ульяновская область,Ульяновск,Каменка,п,12,54.4022222222222,48.2825,15
Республика Татарстан,Буинский район,Альшеево,с,701,54.7533333333333,48.2819444444444,54
Республика Татарстан,Тетюшский район,Кошки-Новотимбаево,с,223,54.8188888888889,48.5066666666667,63
Чувашская республика,Батыревский район,Старое Ахпердино,д,580,55.0727777777778,47.7261111111111,95
Ульяновская область,Чердаклинский район,Чувашский Калмаюр,с,445,54.1911111111111,48.9766666666667,49
Ульяновская область,Чердаклинский район,Войкино,с,39,54.3802777777778,48.9755555555556,50
Чувашская республика,Шемуршинский район,Мордовские Тюки,д,38,54.8433333333333,47.4066666666667,83
Ульяновская область,Майнский район,Сухаревка,д,111,53.9666666666667,47.7780555555556,44
Самарская область,Шигонский район,Луговской,п,238,53.6511111111111,48.7530555555556,76
Ульяновская область,Старомайнский район,Жедяевка,с,545,54.7294444444444,49.1622222222222,79
Ульяновская область,Кузоватовский район,Беркулейка,п,26,53.4544444444444,47.8327777777778,94
Республика Татарстан,Спасский район,Приволжский,п,466,54.9855555555556,49.0802777777778,97
Ульяновская область,Сурский район,Паркино,с,122,54.6216666666667,47.2452777777778,74
Ульяновская область,Ульяновск,Анненково,рзд,9,54.2333333333333,48.2063888888889,4
Ульяновская область,Чердаклинский район,Татарский Калмаюр,с,612,54.1872222222222,48.9655555555556,49
Ульяновская область,Барышский район,Водорацк,с,329,53.6333333333333,47.3088888888889,92
Ульяновская область,Ульяновский район,Бухтеевка,д,54,54.1741666666667,48.1033333333333,13
Республика Татарстан,Буинский район,Бик-Утеево,д,308,55.1325,48.0913888888889,96
Самарская область,Шигонский район,Старый Тукшум,с,224,53.705,48.5488888888889,66
Республика Татарстан,Спасский район,Балымеры,с,252,54.8522222222222,48.9641666666667,80
Ульяновская область,Старомайнский район,Восход,п,261,54.5252777777778,48.9883333333333,57
Ульяновская область,Чердаклинский район,Белая Рыбка,с,89,54.1527777777778,48.7513888888889,36
Республика Татарстан,Дрожжановский район,Мочалей,с,337,54.7652777777778,47.4027777777778,76
Республика Татарстан,Тетюшский район,Ивановка,д,90,54.8472222222222,48.7863888888889,74
Республика Татарстан,Тетюшский район,Нижние Тарханы,с,176,54.7430555555556,48.5383333333333,56
Республика Татарстан,Буинский район,Черки-Ишмяково,с,134,55.0775,48.2547222222222,90
Республика Татарстан,Буинский район,Отрада,д,70,54.9508333333333,48.0430555555556,76
Ульяновская область,Чердаклинский район,Пятисотенный,п,552,54.2258333333333,48.8225,39
Ульяновская область,Ульяновский район,Комаровка,с,84,54.5941666666667,48.3194444444444,36
Ульяновская область,Ульяновск,им Карамзина,п,1092,54.2175,48.3480555555556,9
Ульяновская область,Ульяновский район,Дворики,д,47,54.5719444444444,48.3261111111111,34
Ульяновская область,Вешкаймский район,Забарышский,п,22,54.0402777777778,47.2858333333333,66
Ульяновская область,Тереньгульский район,Большая Борла,с,294,53.5208333333333,48.075,83
Ульяновская область,Цильнинский район,Малая Цильна,д,97,54.6630555555556,47.9863888888889,46
Самарская область,Ставропольский район,Хрящевка,с,3536,53.8130555555556,49.0919444444444,76
Чувашская республика,Батыревский район,Подлесные Шигали,д,493,55.0183333333333,47.4388888888889,97
Ульяновская область,Майнский район,Большое Жеребятниково,с,275,54.1644444444444,47.5258333333333,46
Республика Татарстан,Буинский район,Чувашские Энтуганы,п,17,54.9158333333333,47.8522222222222,75
Ульяновская область,Цильнинский район,Марьевка,д,99,54.6125,48.1613888888889,38
Чувашская республика,Шемуршинский район,Максим Горький,п,21,54.9113888888889,47.8377777777778,75
