регион,район,город,тип,население,широта,долгота,расстояние
Оренбургская область,Октябрьский район,Комиссарово,с,249,52.2872222222222,54.8166666666667,70
Оренбургская область,Саракташский район,Федоровка Вторая,с,2,52.1030555555556,56.4233333333333,74
Оренбургская область,Соль-Илецкий городской округ,Дивнополье,п,740,51.1877777777778,54.5116666666667,94
Оренбургская область,Сакмарский район,Санково,с,14,52.0583333333333,55.2411111111111,32
Республика Башкортостан,Куюргазинский,Кутлуюлово,с,258,52.5258333333333,55.5380555555556,81
Оренбургская область,Соль-Илецкий городской округ,Кумакское,с,1004,51.0688888888889,55.1291666666667,84
Республика Башкортостан,Куюргазинский,Сандин 2-й,д,119,52.6633333333333,55.6327777777778,97
Оренбургская область,Сакмарский район,Беловка,с,1010,51.9772222222222,55.4477777777778,20
Оренбургская область,Оренбургский район,Степановский,х,2285,51.8502777777778,55.0066666666667,31
Оренбургская область,Тюльганский район,Тюльган,п,9326,52.3411111111111,56.1572222222222,77
Оренбургская область,Октябрьский район,Российский,п,509,52.4088888888889,54.9844444444444,75
Оренбургская область,Соль-Илецкий городской округ,Саратовка,с,1295,51.195,54.9113888888889,76
Оренбургская область,Октябрьский район,Салмыш,п,233,52.2055555555556,55.2930555555556,46
Оренбургская область,Акбулакский район,Кызылбулак,п,91,51.0533333333333,55.3722222222222,82
Оренбургская область,Оренбургский район,Никольское,с,1234,51.6738888888889,54.5066666666667,67
Оренбургская область,Беляевский район,Вторая Пятилетка,п,8,51.4575,56.4266666666667,76
Оренбургская область,Тюльганский район,Екатериновка,с,136,52.2111111111111,55.7652777777778,50
Оренбургская область,Александровский район,Марксовский,п,320,52.4619444444444,54.7286111111111,89
Оренбургская область,Оренбургский район,Аэропорт,п,295,51.7627777777778,55.3141666666667,10
Республика Башкортостан,Зианчуринский,Новые Чебенки,с,674,52.2008333333333,56.3491666666667,76
Оренбургская область,Октябрьский район,Первое Имангулово,с,388,52.2116666666667,55.3177777777778,47
Оренбургская область,Октябрьский район,Красный Пахарь,х,42,52.4758333333333,55.1875,77
Оренбургская область,Акбулакский район,Новогригорьевка,п,604,51.2194444444444,55.9019444444444,71
Оренбургская область,Саракташский район,Гремучий,п,102,52.0430555555556,56.4041666666667,70
Оренбургская область,Саракташский район,Черкассы,с,2083,51.8088888888889,56.3433333333333,61
Оренбургская область,Акбулакский район,Александровка,с,159,51.3061111111111,55.7,57
Оренбургская область,Саракташский район,Васильевка,с,669,51.8588888888889,56.42,66
Республика Башкортостан,Куюргазинский,Старомурапталово,д,354,52.4330555555556,55.7961111111111,74
Оренбургская область,Александровский район,Михайловка,с,72,52.5747222222222,54.7302777777778,99
Оренбургская область,Сакмарский район,Соколовское,с,54,52.0380555555556,55.0236111111111,40
Оренбургская область,Соль-Илецкий городской округ,Шахтный,п,937,51.1944444444444,55.105,71
Оренбургская область,Сакмарский район,Ереминка,с,150,51.9875,55.4141666666667,21
Оренбургская область,Акбулакский район,Карасай,с,672,51.1630555555556,55.935,77
Оренбургская область,Акбулакский район,Федоровка,с,263,51.3041666666667,55.6825,56
Оренбургская область,Соль-Илецкий городской округ,Возрождение,д,220,51.1108333333333,55.2411111111111,77
Оренбургская область,Сакмарский район,Дворики,с,182,51.9494444444444,55.3458333333333,18
Оренбургская область,Октябрьский район,Ивановка,с,19,52.2552777777778,55.0394444444444,58
Оренбургская область,Соль-Илецкий городской округ,Кирпичный Завод,п,655,51.1791666666667,54.9175,78
Республика Башкортостан,Куюргазинский,Кинья-Абыз,д,111,52.6597222222222,55.4294444444444,96
Оренбургская область,Саракташский район,Новосокулак,с,332,52.0947222222222,56.3116666666667,67
Оренбургская область,Оренбургский район,рзд. 19 км,рзд,38,51.495,54.7008333333333,62
Оренбургская область,Александровский район,Самарский,п,9,52.4872222222222,54.6005555555556,96
Оренбургская область,Октябрьский район,Воскресеновка,с,168,52.3916666666667,55.2752777777778,67
Оренбургская область,Беляевский район,Карагач,п,717,51.2466666666667,56.4166666666667,90
Оренбургская область,Тюльганский район,Советский,х,0,52.4577777777778,56.0605555555556,84
Оренбургская область,Саракташский район,Камышино,с,374,51.6136111111111,56.2438888888889,58
Оренбургская область,Оренбург,Нижнесакмарский,п,2157,51.8988888888889,55.2216666666667,19
Республика Башкортостан,Зианчуринский,Калимуллино,д,54,52.2130555555556,56.3177777777778,75
Оренбургская область,Тюльганский район,Городки,с,520,52.4652777777778,56.1347222222222,87
Оренбургская область,Тюльганский район,Тюльган,ст,274,52.3513888888889,56.0419444444444,73
Оренбургская область,Оренбург,Оренбург,г,561686,51.7683333333333,55.0969444444444,25
Республика Башкортостан,Куюргазинский,Старая Отрада,с,491,52.5841666666667,55.8497222222222,91
Оренбургская область,Октябрьский район,Белозерка,с,237,52.5205555555556,55.0763888888889,84
Оренбургская область,Саракташский район,Свиногорка,д,50,52.1225,55.9513888888889,49
Оренбургская область,Октябрьский район,Петровка,с,142,52.525,55.2166666666667,82
Оренбургская область,Саракташский район,Кабанкино,с,418,51.9294444444444,56.0158333333333,41
Оренбургская область,Тюльганский район,Калинин,х,78,52.3602777777778,56.0855555555556,76
Оренбургская область,Тюльганский район,Рудное,с,201,52.3627777777778,56.3525,88
Республика Башкортостан,Куюргазинский,Среднее Бабаларово,с,52,52.4766666666667,55.5394444444444,75
Оренбургская область,Октябрьский район,Верхний Гумбет,с,195,52.5583333333333,55.3708333333333,85
Оренбургская область,Сакмарский район,Первенец,п,52,52.0330555555556,55.0297222222222,39
Оренбургская область,Соль-Илецкий городской округ,Ветлянка,с,1013,51.0808333333333,54.79,92
Оренбургская область,Беляевский район,Васильевка,с,150,51.2733333333333,56.3105555555556,83
Оренбургская область,Переволоцкий район,Кариновка,с,565,52.02,54.5330555555556,68
Оренбургская область,Саракташский район,Воздвиженка,с,989,51.7566666666667,56.4277777777778,67
Оренбургская область,Саракташский район,Булгаково,д,81,51.9280555555556,56.1369444444444,49
Оренбургская область,Соль-Илецкий городской округ,Маякское,п,1126,51.3527777777778,55.1427777777778,53
Оренбургская область,Сакмарский район,Дмитриевка,с,405,52.0061111111111,55.5205555555556,23
Оренбургская область,Акбулакский район,Орловка,п,12,51.1466666666667,56.2919444444444,92
Оренбургская область,Сакмарский район,Вторая Григорьевка,с,142,52.0916666666667,55.565,33
Оренбургская область,Октябрьский район,Морозовский,х,24,52.4205555555556,55.4522222222222,69
Оренбургская область,Октябрьский район,Бригада 8,х,0,52.2347222222222,55.4497222222222,48
Республика Башкортостан,Куюргазинский,Сандин,х,4,52.6327777777778,55.6269444444444,93
Оренбургская область,Шарлыкский район,Казанка,с,326,52.6255555555556,55.0688888888889,96
Оренбургская область,Сакмарский район,Андреевка,с,0,52.1627777777778,54.6563888888889,68
Оренбургская область,Беляевский район,Блюменталь,с,210,51.345,55.7213888888889,53
Оренбургская область,Оренбургский район,Джеланды,п,176,51.51,55.4816666666667,31
Оренбургская область,Соль-Илецкий городской округ,Дом Инвалидов,п,585,51.1925,55.0955555555556,71
Оренбургская область,Тюльганский район,Репьевка,с,411,52.2808333333333,56.2361111111111,75
Оренбургская область,Оренбургский район,Пригородный,п,7401,51.7672222222222,55.2825,12
Оренбургская область,Соль-Илецкий городской округ,Мещеряковка,с,413,51.3886111111111,55.2733333333333,47
Оренбургская область,Оренбургский район,Западный,п,40,51.7913888888889,54.8947222222222,38
Оренбургская область,Оренбург,Самородово,п,1955,51.7238888888889,55.4888888888889,8
Оренбургская область,Оренбургский район,им 9 Января,с,5649,51.7341666666667,54.9897222222222,32
Оренбургская область,Тюльганский район,Екатеринославка,с,470,52.2819444444444,56.0419444444444,67
Оренбургская область,Саракташский район,Новочеркасск,с,1288,51.5380555555556,56.2338888888889,60
Оренбургская область,Соль-Илецкий городской округ,Ащебутак,с,756,51.6488888888889,55.2736111111111,20
Оренбургская область,Переволоцкий район,ж/д ст. Сырт,ст,860,51.87,54.5222222222222,64
Оренбургская область,Тюльганский район,Владимировка,с,411,52.3513888888889,56.0091666666667,72
Оренбургская область,Соль-Илецкий городской округ,Корольки,х,6,51.3041666666667,54.9194444444444,66
Оренбургская область,Саракташский район,Николаевка,с,379,51.9883333333333,56.0088888888889,43
Оренбургская область,Октябрьский район,Второе Имангулово,с,559,52.1786111111111,55.3641666666667,43
Оренбургская область,Сакмарский район,Майорское,с,70,52.0275,55.2241666666667,30
Оренбургская область,Оренбург,Каргала,п,2045,51.8908333333333,54.8686111111111,41
Оренбургская область,Саракташский район,Федоровка Первая,с,562,51.8486111111111,56.1716666666667,49
Оренбургская область,Сакмарский район,Донское,с,201,52.0475,55.5055555555556,28
Оренбургская область,Саракташский район,Гавриловка,с,410,51.9347222222222,56.1519444444444,50
Республика Башкортостан,Куюргазинский,Куюргазы,д,214,52.4975,55.5616666666667,78
Оренбургская область,Сакмарский район,Искра,с,250,52.1211111111111,55.0463888888889,45
Оренбургская область,Оренбургский район,Херсоновка,х,7,51.9436111111111,54.6730555555556,56
Оренбургская область,Оренбургский район,Нижнепавловские Лагеря,д,25,51.495,54.7008333333333,62
Оренбургская область,Александровский район,Загорский,п,196,52.6008333333333,54.8980555555556,97
Оренбургская область,Сакмарский район,Северный,п,86,52.1483333333333,55.2038888888889,42
