регион,район,город,тип,население,широта,долгота,расстояние
Оренбургская область,Кувандыкский городской округ,Новопокровка,с,499,51.5288888888889,57.8941666666667,70
Оренбургская область,Новоорский район,Новоорск,п,11280,51.3816666666667,58.9861111111111,43
Оренбургская область,Кувандыкский городской округ,Подлесное,с,82,51.6872222222222,58.0355555555556,78
Оренбургская область,Кувандыкский городской округ,Шубино,с,64,51.6655555555556,57.9572222222222,79
Оренбургская область,Кувандыкский городской округ,Новоказанка,д,136,51.6361111111111,57.6880555555556,89
Оренбургская область,Новотроицк,Пригорное,с,735,51.1180555555556,58.3658333333333,16
Оренбургская область,Кувандыкский городской округ,Вьюжный,п,121,51.42,57.9466666666667,59
Оренбургская область,Гайский городской округ,Рождественка,п,4,51.6175,58.1333333333333,68
Оренбургская область,Гайский городской округ,Нововоронежский,п,387,51.4041666666667,58.1586111111111,47
Оренбургская область,Кувандыкский городской округ,Сара,с,445,51.3802777777778,57.83,63
Оренбургская область,Домбаровский район,Домбаровский,п,7680,50.7847222222222,59.3077777777778,59
Республика Башкортостан,Хайбуллинский,Макан,с,1066,51.9622222222222,58.3377777777778,100
Оренбургская область,Орск,Мирный,п,249,51.8563888888889,58.7636111111111,87
Оренбургская область,Домбаровский район,Камсак,с,105,50.855,59.245,51
Оренбургская область,Новотроицк,Старая Аккермановка,п,59,51.2480555555556,58.2366666666667,31
Оренбургская область,Орск,Ора,с,427,51.1944444444444,58.7058333333333,15
Оренбургская область,Домбаровский район,Истемис,с,187,50.9116666666667,59.0908333333333,39
Оренбургская область,Кувандыкский городской округ,Сара,ж/д_ст,793,51.4644444444444,57.9080555555556,64
Оренбургская область,Гайский городской округ,Новоактюбинск,с,60,51.5619444444444,58.6644444444444,54
Оренбургская область,Гайский городской округ,Хмелевка,с,257,51.2422222222222,57.8672222222222,54
Оренбургская область,Кувандыкский городской округ,Сарбай,с,2,51.7316666666667,58.0002777777778,84
Оренбургская область,Домбаровский район,Аккудук,п,9,50.9986111111111,59.0480555555556,32
Оренбургская область,Новотроицк,Хабарное,с,1827,51.1483333333333,58.2347222222222,26
Оренбургская область,Новоорский район,Гранитный,п,994,51.4125,59.1113888888889,52
Оренбургская область,Новоорский район,Добровольское,с,571,51.6844444444444,59.2691666666667,82
Оренбургская область,Гайский городской округ,Херсон,п,33,51.4022222222222,58.5622222222222,36
Оренбургская область,Кваркенский район,Базарбай,с,0,51.8519444444444,59.0533333333333,92
Оренбургская область,Гайский городской округ,Нарбулатово,п,308,51.39,58.1961111111111,45
Оренбургская область,Домбаровский район,Голубой Факел,п,703,50.8797222222222,59.3366666666667,56
Оренбургская область,Кувандыкский городской округ,Новосимбирка,с,465,51.7725,57.8725,92
Оренбургская область,Кувандыкский городской округ,Поим,с,8,51.7091666666667,57.8094444444444,89
Оренбургская область,Гайский городской округ,Саверовка,п,403,51.3975,58.4538888888889,37
Оренбургская область,Ясненский городской округ,Алимбай,п,6,50.8919444444444,59.4161111111111,61
Оренбургская область,Гайский городской округ,Белошапка,с,137,51.2188888888889,58.0888888888889,39
Оренбургская область,Новотроицк,Новорудный,п,1672,51.5025,58.1833333333333,55
Оренбургская область,Гайский городской округ,Пласковское,с,71,51.4272222222222,58.6922222222222,40
Оренбургская область,Кваркенский район,Приморск,с,543,51.8858333333333,58.8936111111111,92
Оренбургская область,Новоорский район,Новосевастополь,с,66,51.7688888888889,59.0419444444444,83
Оренбургская область,Гай,Гай,г,34205,51.465,58.4436111111111,44
Оренбургская область,Домбаровский район,Бояровка,с,7,50.7466666666667,59.2897222222222,60
Оренбургская область,Гайский городской округ,Колпакское,с,550,51.4791666666667,58.7288888888889,46
Оренбургская область,Кувандыкский городской округ,Башкалган,п,17,51.5875,57.8186111111111,78
Республика Башкортостан,Хайбуллинский,Акъяр,с,6973,51.8636111111111,58.2172222222222,91
Оренбургская область,Орск,Тукай,с,387,51.1561111111111,58.7730555555556,15
Оренбургская область,Орск,Крыловка,с,818,51.1775,58.9402777777778,26
Оренбургская область,Кувандыкский городской округ,Новая Ракитянка,д,86,51.5225,57.6508333333333,82
Оренбургская область,Гайский городской округ,Ириклинский,п,955,51.6733333333333,58.6419444444444,66
Республика Башкортостан,Хайбуллинский,Новый Зирган,с,547,51.7994444444444,58.2980555555556,83
Оренбургская область,Новоорский район,Центральная Усадьба совхоза Новоорский,с,1315,51.3813888888889,58.9519444444444,42
Оренбургская область,Гайский городской округ,Банное,с,198,51.3475,58.7330555555556,32
Оренбургская область,Новоорский район,Лужки,с,123,51.2522222222222,59.1063888888889,40
Республика Башкортостан,Хайбуллинский,Абубакирово,с,484,51.8691666666667,57.9602777777778,99
Оренбургская область,Кувандыкский городской округ,Карагай-Покровка,п,141,51.6383333333333,57.9091666666667,79
Оренбургская область,Новоорский район,Горьковское,с,668,51.29,59.0358333333333,39
Оренбургская область,Гайский городской округ,Халилово,п,607,51.3991666666667,58.1269444444444,48
Оренбургская область,Новоорский район,Чиликта,с,130,51.7588888888889,59.2886111111111,90
Оренбургская область,Адамовский район,Жуламансай,рзд,3,51.6797222222222,59.5591666666667,95
Оренбургская область,Новотроицк,213-а,рзд,65,51.1963888888889,58.3016666666667,24
Оренбургская область,Орск,Ударник,с,1030,51.28,58.7791666666667,26
Оренбургская область,Новотроицк,Новотроицк,г,83380,51.1963888888889,58.3016666666667,24
