регион,район,город,тип,население,широта,долгота,расстояние
Пензенская область,Мокшанский район,Юлово,с,109,53.6194444444444,44.6041666666667,63
Пензенская область,Пензенский район,Васильевка,д,101,52.7741666666667,44.9166666666667,38
Пензенская область,Сердобский район,Зеленовка,с,490,52.4416666666667,44.4483333333333,83
Республика Мордовия,Инсарский,Яндовище,с,119,53.8980555555556,44.5577777777778,93
Пензенская область,Шемышейский район,Надеждино,д,58,52.8225,45.23,34
Пензенская область,Камешкирский район,Чумаево,с,599,52.7538888888889,45.9075,71
Пензенская область,Мокшанский район,Озерки,с,31,53.4088888888889,44.2194444444444,63
Пензенская область,Колышлейский район,Катковка,с,469,52.6280555555556,44.7411111111111,56
Пензенская область,Иссинский район,Сипягино,с,0,53.7819444444444,44.9438888888889,75
Пензенская область,Лунинский район,Луговой,п,20,53.7302777777778,45.4763888888889,75
Республика Мордовия,Инсарский,Новые Верхиссы,с,164,53.8483333333333,44.5655555555556,87
Пензенская область,Пензенский район,Константиновка,с,1080,53.1355555555556,44.7588888888889,18
Пензенская область,Шемышейский район,Синодское,с,516,52.6797222222222,45.4011111111111,54
Пензенская область,Иссинский район,Губарево,с,9,53.8402777777778,44.6113888888889,85
Пензенская область,Колышлейский район,Сущевка,с,548,52.6786111111111,44.6041666666667,55
Пензенская область,Городищенский район,Павло-Куракино,с,734,53.2091666666667,45.7994444444444,52
Пензенская область,Пензенский район,Михайловка,д,6,52.9697222222222,44.7405555555556,24
Пензенская область,Городищенский район,Телегино,с,5,53.3902777777778,45.7241666666667,56
Пензенская область,Бессоновский район,Анновка,д,0,53.3672222222222,44.8075,32
Пензенская область,Шемышейский район,Новая Яксарка,с,173,52.9955555555556,45.4336111111111,30
Пензенская область,Пензенский район,Леонидовка,с,11,53.1508333333333,45.2530555555556,15
Пензенская область,Лунинский район,Карауловка,д,16,53.5538888888889,45.2627777777778,51
Пензенская область,Каменский район,Блиновка,с,404,53.2525,44.1466666666667,60
Пензенская область,Городищенский район,Городище,г,7838,53.2736111111111,45.7022222222222,48
Пензенская область,Мокшанский район,Рамзай,с,1926,53.3011111111111,44.7313888888889,29
Пензенская область,Никольский район,Малое Пермиево,д,12,53.5705555555556,45.9722222222222,81
Республика Мордовия,Инсарский,Венера,п,20,53.8980555555556,44.5211111111111,93
Республика Мордовия,Инсарский,Кириклеевский Майдан,с,17,53.7725,44.1297222222222,94
Республика Мордовия,Инсарский,Инсар,г,7830,53.8627777777778,44.3622222222222,94
Республика Мордовия,Инсарский,Красная Поляна,д,0,53.7666666666667,44.2394444444444,89
Пензенская область,Колышлейский район,Колтовское,с,887,52.7980555555556,44.2666666666667,61
Пензенская область,Мокшанский район,Алексеевка,с,197,53.6475,44.3402777777778,75
