регион,район,город,тип,население,широта,долгота,расстояние
Республика Мордовия,Большеигнатовский,Новое Селище,с,3,54.9333333333333,45.4916666666667,91
Республика Мордовия,Рузаевский,Загорный,п,1,54.2447222222222,44.7208333333333,34
Нижегородская область,Большеболдинский район,Сергеевка,с,526,55.0008333333333,45.1925,97
Пензенская область,Мокшанский район,Юлово,с,109,53.6194444444444,44.6041666666667,69
Республика Мордовия,Старошайговский,Гавриловка,д,39,54.4752777777778,44.3811111111111,66
Республика Мордовия,Ромодановский,Малая Чуфаровка,д,75,54.4,45.3141666666667,31
Республика Мордовия,Инсарский,Яндовище,с,119,53.8980555555556,44.5577777777778,49
Республика Мордовия,Рузаевский,Боголюбовка,д,0,54.0997222222222,44.855,23
Республика Мордовия,Кочкуровский,Пенькозавод,п,56,54.0052777777778,45.7702777777778,38
Нижегородская область,Лукояновский район,Печи,с,320,54.7988888888889,44.3194444444444,94
Республика Мордовия,Большеигнатовский,Новое Баево,с,188,54.8913888888889,45.7313888888889,91
Пензенская область,Иссинский район,Сипягино,с,0,53.7819444444444,44.9438888888889,42
Пензенская область,Лунинский район,Луговой,п,20,53.7302777777778,45.4763888888889,47
Республика Мордовия,Инсарский,Новые Верхиссы,с,164,53.8483333333333,44.5655555555556,52
Республика Мордовия,Кадошкинский,Ушлейка,п,2,54.0013888888889,44.4358333333333,52
Республика Мордовия,Ромодановский,Козловка,с,22,54.4786111111111,45.4516666666667,42
Пензенская область,Иссинский район,Губарево,с,9,53.8402777777778,44.6113888888889,50
Республика Мордовия,Старошайговский,Авгуры,д,42,54.4913888888889,44.5219444444444,60
Республика Мордовия,Чамзинский,Мокшалей,с,326,54.2555555555556,45.625,30
Пензенская область,Никольский район,Маховка,д,122,53.885,46.1213888888889,65
Республика Мордовия,Чамзинский,Инелей,с,0,54.5813888888889,45.7741666666667,62
Республика Мордовия,Старошайговский,Мизеряне,с,37,54.2805555555556,44.6419444444444,41
Республика Мордовия,Чамзинский,Александровка,д,2,54.5816666666667,45.6186111111111,57
Пензенская область,Городищенский район,Телегино,с,5,53.3902777777778,45.7241666666667,88
Нижегородская область,Починковский район,Новая Березовка,с,6,54.8411111111111,44.7761111111111,84
Республика Мордовия,Атяшевский,Покровское,с,66,54.7697222222222,45.835,82
Республика Мордовия,Атяшевский,Наборные Сыреси,с,152,54.6772222222222,45.8663888888889,74
Республика Мордовия,Ичалковский,Селищи,с,330,54.7394444444444,45.6391666666667,73
Пензенская область,Бессоновский район,Анновка,д,0,53.3672222222222,44.8075,88
Республика Мордовия,Ичалковский,Рождествено,с,1282,54.6836111111111,45.3005555555556,62
Республика Мордовия,Атяшевский,Тетюши,с,272,54.5741666666667,46.0375,73
