регион,район,город,тип,население,широта,долгота,расстояние
Саратовская область,Духовницкий район,Озерки,с,293,52.3494444444444,48.3152777777778,67
Саратовская область,Духовницкий район,Брыковка,с,320,52.5436111111111,48.5847222222222,95
Саратовская область,Марксовский район,Березовка,с,877,51.6605555555556,46.8372222222222,66
Саратовская область,Фёдоровский район,Полеводино,с,0,51.4958333333333,47.6680555555556,40
Саратовская область,Пугачёвский район,Солянский,п,439,52.0780555555556,48.4183333333333,52
Саратовская область,Марксовский район,Караман,с,792,51.7055555555556,47.0352777777778,51
Саратовская область,Хвалынский район,Кулатка,ст,104,52.5980555555556,47.8086111111111,82
Саратовская область,Ершовский район,Моховое,с,455,51.2447222222222,48.2533333333333,76
Саратовская область,Ершовский район,Лесной,п,266,51.3458333333333,48.0797222222222,61
Саратовская область,Духовницкий район,Левенка,с,268,52.3422222222222,48.5136111111111,75
Саратовская область,Марксовский район,Полековское,с,782,51.6747222222222,47.23,41
Саратовская область,Духовницкий район,Березовая Лука,с,452,52.6205555555556,48.4325,96
Саратовская область,Ершовский район,Черная Падина,с,191,51.0261111111111,47.8758333333333,93
Саратовская область,Ершовский район,Чкалово,с,244,51.5005555555556,47.8669444444444,40
Саратовская область,Ершовский район,Большеузенка,с,111,51.3580555555556,48.51,76
Саратовская область,Вольский район,Лягоши,с,17,52.3025,47.3211111111111,57
Саратовская область,Хвалынский район,Дубовый Гай,с,105,52.5152777777778,47.6030555555556,73
Саратовская область,Духовницкий район,Григорьевка,с,268,52.5958333333333,48.5894444444444,100
Саратовская область,Хвалынский район,Дубовый Гай,ж/д_рзд,0,52.53,47.6463888888889,74
Саратовская область,Вольский район,Карьер,п,12,52.1569444444444,46.9238888888889,65
Саратовская область,Ершовский район,Орловка,п,87,51.4058333333333,48.6161111111111,78
Саратовская область,Балаковский район,Караси,х,44,51.9694444444444,47.4369444444444,24
Саратовская область,Вольский район,Шиханы-2,п,3511,52.1022222222222,47.1558333333333,48
Саратовская область,Фёдоровский район,Воскресенка,с,366,51.39,47.5033333333333,54
Саратовская область,Краснопартизанский район,Родионовка,с,96,51.7008333333333,48.5147222222222,55
Саратовская область,Марксовский район,Михайловка,с,860,51.8313888888889,47.0294444444444,49
