регион,район,город,тип,население,широта,долгота,расстояние
Саратовская область,Саратовский район,Вольновка,п,343,51.8019444444444,46.1436111111111,10
Саратовская область,Новобурасский район,Елшанка,с,446,52.0652777777778,46.0247222222222,40
Саратовская область,Энгельсский район,Шумейка,с,1540,51.5638888888889,46.2502777777778,17
Саратовская область,Марксовский район,Березовка,с,877,51.6605555555556,46.8372222222222,46
Саратовская область,Марксовский район,Караман,с,792,51.7055555555556,47.0352777777778,59
Саратовская область,Базарно-Карабулакский район,Арбузовка,с,54,52.4102777777778,46.2397222222222,77
Саратовская область,Татищевский район,Бурловино,х,0,52.0219444444444,45.6994444444444,47
Саратовская область,Аткарский район,Михайловка,д,0,51.9955555555556,45.2694444444444,69
Саратовская область,Саратовский район,Горючка,ж/д_рзд,17,51.2583333333333,45.5919444444444,64
Саратовская область,Советский район,Урожайный,с,1,51.1152777777778,46.7844444444444,78
Саратовская область,Энгельсский район,Липовка,с,1037,51.53,46.6136111111111,36
Саратовская область,Петровский район,Колки,с,97,52.1488888888889,45.5105555555556,66
Саратовская область,Энгельсский район,Лебедево,п,30,51.3086111111111,46.6261111111111,54
Саратовская область,Вольский район,Карьер,п,12,52.1569444444444,46.9238888888889,71
Саратовская область,Ровенский район,Новокаменка,с,383,50.8194444444444,46.4091666666667,100
Саратовская область,Петровский район,Богатыревка,д,30,52.2447222222222,45.2225,88
Саратовская область,Вольский район,Шиханы-2,п,3511,52.1022222222222,47.1558333333333,80
Саратовская область,Базарно-Карабулакский район,Белый Ключ,с,39,52.5633333333333,46.3808333333333,95
Саратовская область,Петровский район,Ножкино,с,360,52.3747222222222,45.6125,83
Саратовская область,Новобурасский район,Красная Речка,с,66,52.0933333333333,45.6708333333333,54
Саратовская область,Ровенский район,Краснополье,п,57,50.9433333333333,46.1536111111111,85
Саратовская область,Саратовский район,Песчаный Умет,с,51,51.5172222222222,45.6355555555556,42
Саратовская область,Саратовский район,Рейник,п,817,51.4888888888889,45.8902777777778,31
Саратовская область,Татищевский район,Петров,х,0,51.7211111111111,45.4075,52
Саратовская область,Энгельсский район,Зауморье,с,194,51.1569444444444,45.9286111111111,64
Саратовская область,Саратовский район,Красный Октябрь,рп,3306,51.5397222222222,45.7030555555556,37
Саратовская область,Петровский район,Пригородный,п,1029,52.28,45.42,81
Саратовская область,Энгельсский район,Придорожный,п,1637,51.3911111111111,46.3,36
Саратовская область,Татищевский район,Никольский,ж/д_рзд,31,51.6902777777778,45.4619444444444,49
Саратовская область,Саратовский район,Усть-Курдюм,с,1928,51.645,46.2061111111111,7
Саратовская область,Базарно-Карабулакский район,Ивановка,с,616,52.1472222222222,46.2558333333333,48
Саратовская область,Марксовский район,Михайловка,с,860,51.8313888888889,47.0294444444444,60
Саратовская область,Базарно-Карабулакский район,Тепляковка,с,408,52.3469444444444,46.3133333333333,71
Саратовская область,Аткарский район,Иваново-Языковка,с,397,51.6566666666667,45.2083333333333,66
Саратовская область,Базарно-Карабулакский район,Равнинный,п,41,52.4163888888889,46.3808333333333,79
Саратовская область,Ровенский район,Тарлыковка,с,927,51.0247222222222,46.0958333333333,76
Саратовская область,Советский район,Кобзаревский,ж/д_рзд,4,51.1627777777778,46.9919444444444,83
Саратовская область,Красноармейский район,Клубково,с,1,50.8827777777778,45.7280555555556,97
Саратовская область,Аткарский район,Ракитовка,д,0,51.6466666666667,45.2366666666667,65
Саратовская область,Лысогорский район,Раздольное,п,526,51.2416666666667,45.2452777777778,82
Саратовская область,Воскресенский район,Ершовка,с,22,52.0469444444444,46.7425,54
Пензенская область,Лопатинский район,Сорокино,с,54,52.4283333333333,45.4880555555556,92
Саратовская область,Татищевский район,Македоновка,д,260,51.7883333333333,45.5063888888889,46
Саратовская область,Энгельсский район,Анисовский,п,1574,51.4111111111111,46.1,33
