регион,район,город,тип,население,широта,долгота,расстояние
Республика Башкортостан,Иглинский,Богдановское,д,13,54.7772222222222,56.8141666666667,65
Республика Башкортостан,Кармаскалинский,Варшавка,д,96,54.3775,56.1080555555556,25
Республика Башкортостан,Кушнаренковский,Ахлыстино,с,186,55.1619444444444,55.6669444444444,68
Республика Башкортостан,Иглинский,Ягодная,д,605,54.7986111111111,56.4355555555556,45
Республика Башкортостан,Благоварский,Сынташтамак,с,180,54.9077777777778,55.0019444444444,68
Республика Башкортостан,Уфимский,Лавочное,с,1,54.885,56.0041666666667,37
Республика Башкортостан,Иглинский,Сарт-Лобово,с,424,54.8936111111111,56.4988888888889,54
Республика Башкортостан,Мишкинский,Русское Байбаково,д,70,55.4552777777778,56.0780555555556,100
Республика Башкортостан,Благоварский,Бик-Усак,д,12,54.5916666666667,55.0969444444444,50
Республика Башкортостан,Уфимский,Красный Яр,с,1704,54.8936111111111,55.925,37
Республика Башкортостан,Гафурийский,Цапаловка,д,43,53.9047222222222,56.3113888888889,77
Республика Башкортостан,Уфимский,Николаевка,д,2819,54.8180555555556,55.7002777777778,31
Республика Башкортостан,Давлекановский,Аюханово,с,277,54.1413888888889,55.1983333333333,63
Республика Башкортостан,Аургазинский,Ахмерово,д,55,54.2272222222222,55.9816666666667,37
Республика Башкортостан,Стерлитамакский,Верхние Услы,с,783,53.7227777777778,55.5991666666667,94
Республика Башкортостан,Кармаскалинский,Староакташево,д,366,54.4588888888889,56.4383333333333,38
Республика Башкортостан,Уфимский,Авдон,с,5467,54.6716666666667,55.7191666666667,16
Республика Башкортостан,Кармаскалинский,Вязовка,д,45,54.4666666666667,55.8263888888889,10
Республика Башкортостан,Уфимский,Лекаревка,д,110,54.5933333333333,55.7019444444444,11
Республика Башкортостан,Чишминский,Арсланово,с,739,54.6811111111111,55.4088888888889,33
Республика Башкортостан,Уфимский,Южная,д,66,54.6455555555556,56.2097222222222,23
Республика Башкортостан,Уфимский,Уптино,д,243,54.6458333333333,55.7061111111111,14
Республика Башкортостан,Архангельский,Архангельское,с,4216,54.4061111111111,56.7811111111111,61
Республика Башкортостан,Архангельский,Тавакачево,д,590,54.4688888888889,56.7544444444444,57
Республика Башкортостан,Уфа,Локотки,д,122,54.5391666666667,55.9166666666667,3
Республика Башкортостан,Иглинский,Буденновский,д,170,54.7355555555556,56.5436111111111,47
Республика Башкортостан,Кушнаренковский,Новогумерово,д,113,54.8836111111111,55.2952777777778,52
Республика Башкортостан,Чишминский,Дмитриевка,д,236,54.4497222222222,55.1955555555556,45
Республика Башкортостан,Кармаскалинский,Станции Тазларово,д,116,54.2925,56.3861111111111,44
Республика Башкортостан,Нуримановский,Большие Шиды,д,318,55.1594444444444,56.7519444444444,87
Республика Башкортостан,Архангельский,Новошареево,д,167,54.5277777777778,56.6863888888889,52
