регион,район,город,тип,население,широта,долгота,расстояние
Самарская область,Кошкинский район,Старая Ивановка,с,343,54.1572222222222,50.8180555555556,85
Самарская область,Ставропольский район,Новое Еремкино,с,235,53.6563888888889,49.8647222222222,25
Самарская область,Кинельский район,Энергия,п,118,53.2597222222222,50.7008333333333,45
Самарская область,Кинельский район,Красносамарское,с,1527,53.0594444444444,50.81,65
Самарская область,Волжский район,Тридцатый,п,329,52.7477777777778,50.4480555555556,86
Самарская область,Красноярский район,Трухмянка,д,5,53.5777777777778,50.4447222222222,21
Ульяновская область,Мелекесский район,Лебяжье,с,1054,54.1169444444444,49.5986111111111,77
Самарская область,Волжский район,Культура,п,53,52.935,50.4194444444444,65
Самарская область,Безенчукский район,Разинский,ж/д_рзд,84,52.84,49.4330555555556,87
Самарская область,Сергиевский район,Запрудный,п,5,53.7358333333333,50.9333333333333,57
Самарская область,Кинельский район,Большая Малышевка,с,686,53.2480555555556,51.1444444444444,71
Самарская область,Красноярский район,Новоурайкино,д,122,53.7761111111111,50.0388888888889,31
Самарская область,Кошкинский район,Киевка,д,19,54.1741666666667,50.6980555555556,83
Самарская область,Кинельский район,Богдановка,с,1293,53.3261111111111,50.8936111111111,52
Самарская область,Кошкинский район,Супонево,д,25,54.2397222222222,50.5711111111111,86
Самарская область,Кошкинский район,Лузановка,д,182,54.1675,50.4802777777778,77
Самарская область,Кошкинский район,Малое Ермаково,д,1,54.3291666666667,50.4366666666667,94
Самарская область,Елховский район,Пролейка,с,213,53.9272222222222,50.2452777777778,47
Самарская область,Кинельский район,Казахский,аул,379,53.3477777777778,50.8619444444444,50
Самарская область,Кинельский район,Октябрьский,п,850,53.1569444444444,50.6963888888889,52
Самарская область,Красноармейский район,Карагай,п,59,52.7572222222222,50.3372222222222,83
Самарская область,Кошкинский район,Антипкино,д,189,54.3547222222222,50.4833333333333,97
Самарская область,Красноармейский район,Криволучье-Ивановка,с,456,52.7430555555556,49.5466666666667,93
Самарская область,Кинельский район,Трехколки,п,47,53.2466666666667,50.7083333333333,46
Самарская область,Кошкинский район,Средняя Быковка,д,115,54.0794444444444,50.6391666666667,71
Самарская область,Кошкинский район,Надеждино,с,959,54.1116666666667,50.3686111111111,69
Самарская область,Красноярский район,Кольцовка,д,4,53.4416666666667,50.7566666666667,40
Самарская область,Богатовский район,Горский,п,16,53.0227777777778,51.0636111111111,80
Самарская область,Волжский район,Черновский,п,2737,53.1836111111111,50.4611111111111,40
Самарская область,Волжский район,Белозерки,с,433,53.1994444444444,50.5491666666667,42
Самарская область,Волжский район,Шелехметь,с,351,53.2427777777778,49.8719444444444,34
Ульяновская область,Новомалыклинский район,Старый Сантимир,с,257,54.3269444444444,50.0655555555556,92
Самарская область,Кинельский район,Колки,п,0,53.2694444444444,50.7086111111111,45
Ульяновская область,Новомалыклинский район,Александровка,п,0,54.1536111111111,50.1027777777778,72
Самарская область,Сергиевский район,Павловка,с,48,53.89,51.0544444444444,73
Ульяновская область,Новомалыклинский район,Елховый Куст,с,416,54.0686111111111,49.9797222222222,64
Самарская область,Красноярский район,Вулкан,п,9,53.4463888888889,50.8686111111111,47
Самарская область,Безенчукский район,Прибой,с,630,52.87,49.6561111111111,77
Самарская область,Красноярский район,Гундоровка,п,0,53.7183333333333,50.6777777777778,42
Самарская область,Красноярский район,Белозерки,с,1864,53.4402777777778,50.3636111111111,15
Ульяновская область,Мелекесский район,Труженик,п,105,54.1716666666667,49.6947222222222,80
Самарская область,Красноярский район,Волжский,пгт,8003,53.4305555555556,50.1133333333333,8
Самарская область,Красноармейский район,Кочетковский,п,308,52.7333333333333,50.2088888888889,85
Самарская область,Нефтегорский район,Ветлянка,п,119,52.8591666666667,51.1177777777778,96
Самарская область,Кинельский район,Комсомольский,п,2817,53.2319444444444,50.8433333333333,54
Самарская область,Кинельский район,Грачевка,с,105,53.1630555555556,51.1127777777778,74
Самарская область,Сергиевский район,Красный Городок,с,159,54.1494444444444,51.1425,97
Самарская область,Кошкинский район,Новый Колмаюр,с,215,54.2613888888889,50.2844444444444,85
Самарская область,Красноярский район,Тремасово,с,186,53.7625,50.5027777777778,37
Самарская область,Кинель-Черкасский район,Тальники,п,16,53.3711111111111,51.0783333333333,63
