ICAO,Имя
UNAA,UNAA | ABA | Абакан
UERA,UERA | Айхал
UEEA,UEEA | ADH | Алдан
ULDD,ULDD | AMV | Амдерма
UHMA,UHMA | DYR | Анадырь | Угольный
URKA,URKA | AAQ | Анапа | Витязево
ULMK,ULMK | KVK | Апатиты | Хибины
ULAA,ULAA | ARH | Архангельск | Талаги
URWA,URWA | ASF | Астрахань
UHNA,UHNA | Аян | Мунук
UNIB,UNIB | Байкит
UWSB,UWSB | BWO | Балаково | Малая Быковка
UNBB,UNBB | BAX | Барнаул | Имени Германа Титова
UEBB,UEBB | Батагай
UESG,UESG | BGN | Белая Гора
UUOB,UUOB | EGO | Белгород
UHMR,UHMR | Беринговский
UHBB,UHBB | BQS | Благовещенск | Игнатьево
USDB,USDB | BVJ | Бованенково
UHNB,UHNB | BQG | Богородское
UIKB,UIKB | ODO | Бодайбо
UHHG,UHHG | Бомнак
UIBB,UIBB | BTK | Братск
UUBP,UUBP | BZK | Брянск
UNIW,UNIW | Ванавара
ULDW,ULDW | VRI | Варандей
ULLK,ULLK | Великий Новгород | Кречевицы
UENI,UENI | VHV | Верхневилюйск
UENW,UENW | VYI | Вилюйск
UHWW,UHWW | VVO | Владивосток | Кневичи
URMO,URMO | OGZ | Владикавказ | Беслан
URWW,URWW | VOG | Волгоград | Гумрак
ULWW,ULWW | VGD | Вологда
UUYW,UUYW | VKT | Воркута
UUOO,UUOO | VOZ | Воронеж | Чертовицкое
URKG,URKG | GDZ | Геленджик
UNBG,UNBG | RGK | Горно-Алтайск
URMG,URMG | GRV | Грозный | Северный
UEBD,UEBD | Депутатский
UODD,UODD | DKS | Диксон
USSS,USSS | SVX | Екатеринбург | Кольцово
UNII,UNII | EIE | Енисейск
UIKE,UIKE | ERG | Ербогачен
UEVV,UEVV | ZIX | Жиганск
UUBW,UUBW | ZIA | Раменское | Жуковский
UHME,UHME | Залив Креста
UHML,UHML | Залив Лаврентия
UHBE,UHBE | Зея | Зея
UESU,UESU | ZKP | Зырянка
UUBI,UUBI | IWA | Иваново | Южный
UOII,UOII | IAA | Игарка
USII,USII | IJK | Ижевск
UIII,UIII | IKT | Иркутск
UWKJ,UWKJ | JOK | Йошкар-Ола
UWKD,UWKD | KZN | Казань
UMKK,UMKK | KGD | Калининград | Храброво
UUBC,UUBC | KLF | Калуга | Грабцево
UHPZ,UHPZ | Каменское
UNEE,UNEE | KEJ | Кемерово | Имени Алексея Леонова
UHMK,UHMK | KPW | Кепервеем
UIKK,UIKK | KCK | Киренск
USKK,USKK | KVX | Киров | Победилово
USRK,USRK | KGP | Когалым
UNKI,UNKI | Кодинск
UHKK,UHKK | KXK | Комсомольск-на-Амуре | Хурба
UUBA,UUBA | KMW | Кострома | Сокеркино
URKK,URKK | KRR | Краснодар | Пашковский
UNKL,UNKL | KJA | Красноярск | Емельяново
USUU,USUU | KRO | Курган
UUOK,UUOK | URS | Курск | Восточный
UNKY,UNKY | KYZ | Кызыл
UERL,UERL | ULK | Ленск | Ленск
UUOL,UUOL | LPK | Липецк
UHMM,UHMM | GDX | Магадан | Сокол
UEMM,UEMM | GYG | Маган
URMS,URMS | IGT | Магас
USCM,USCM | MQF | Магнитогорск
UHPN,UHPN | Манилы
UHMO,UHMO | KVM | Марково | Марково
URML,URML | MCX | Махачкала | Уйташ
UHPM,UHPM | Мильково
URMM,URMM | MRV | Минеральные Воды
UERR,UERR | MJZ | Мирный
UEMA,UEMA | MQJ | Мома
UUWW,UUWW | VKO | Москва | Внуково
UUDD,UUDD | DME | Москва | Домодедово
UUEE,UUEE | SVO | Москва | Шереметьево
UNIM,UNIM | Мотыгино
ULMM,ULMM | MMK | Мурманск
USMM,USMM | NYM | Надым
URMN,URMN | NAL | Нальчик
ULAM,ULAM | NNM | Нарьян-Мар
UELL,UELL | NER | Нерюнгри | Чульман
UIUN,UIUN | Нижнеангарск
USNN,USNN | NJC | Нижневартовск | Нижневартовск
UWKE,UWKE | NBC | Нижнекамск | Бегишево
UWGG,UWGG | GOJ | Нижний Новгород | Стригино
UHNN,UHNN | NLI | Николаевск-на-Амуре
UHPX,UHPX | Никольское
UNWW,UNWW | NOZ | Новокузнецк | Спиченково
UNNT,UNNT | OVB | Новосибирск | Толмачёво
USMU,USMU | NUX | Новый Уренгой
