ICAO,Аэропорт,КТ
UNAA,Абакан,0.89125338
UERA,Айхал,0.760509896
UEEA,Алдан,0.850812725
UHMA,Анадырь,0.672571122
URKA,Анапа,0.887701183
ULMK,Апатиты,0.881944103
ULAA,Архангельск,0.951207372
URWA,Астрахань,0.941879467
UNIB,Байкит,0.686165553
UNBB,Барнаул,0.930943345
UEBB,Батагай,0.696600329
UUOB,Белгород,1.029876338
USHQ,Белоярский,1.033439658
USHB,Березово,0.988311275
UHMR,Беринговский,0.73374026
UHBB,Благовещенск,0.870284234
USDB,Бованенково,0.88904563
UHNB,Богородское,0.885965187
UIKB,Бодайбо,0.823023344
UIBB,Братск,0.95061369
UUBP,Брянск,1.002169926
UWKB,Бугульма,1.00026739
UNIW,Ванавара,0.628522157
ULDW,Варандей,0.819671979
ULWU,Великий Устюг,0.766884785
UENI,Верхневилюйск,0.830665519
UENW,Вилюйск,0.810662697
UHWW,Владивосток,0.92560449
URMO,Владикавказ,0.945711512
UUBL,Владимир,1.001664459
URWW,Волгоград,0.933279258
ULWW,Вологда,0.84357328
UUYW,Воркута,0.985514805
UUOO,Воронеж,1.0390222
URKG,Геленджик,0.908866027
UNBG,Горно-Алтайск,0.895932037
URMG,Грозный,0.988494894
UEBD,Депутатский,0.654967006
UODD,Диксон,0.680375885
USSS,Екатеринбург,1.008868569
UNII,Енисейск,0.990248816
UEVV,Жиганск,0.850609964
UHME,Залив Креста,0.73374026
UHBE,Зея,0.848150865
UHSO,Зональное,0.693376351
UESU,Зырянка,0.67194045
UUBI,Иваново,0.914487265
USII,Ижевск,0.992832424
UUYI,Инта,1.058369195
UIII,Иркутск,0.980774979
UWKJ,Йошкар-Ола,1.00474381
UWKD,Казань,0.972642487
UMKK,Калининград,0.915236407
UUBC,Калуга,0.996185574
UNEE,Кемерово,0.998425449
UHMK,Кепервеем,0.700376853
USKK,Киров,0.968925195
USRK,Когалым,0.953952149
UNKI,Кодинск,0.97834427
UHKK,Комсомольск-на-Амуре,0.82380597
UUBA,Кострома,1.083107039
ULKK,Котлас,0.799038987
URKK,Краснодар,0.929272187
UNKL,Красноярск,0.982227755
USUU,Курган,0.983067882
UUOK,Курск,0.958070014
UHML,Лаврентия,0.73374026
UERL,Ленск,0.812465784
UUOL,Липецк,0.99577053
UHMM,Магадан,0.738961065
UEMM,Маган,0.881321945
URMS,Магас,0.933230863
USCM,Магнитогорск,0.930799217
UHPN,Манилы,0.576334096
UHMO,Марково,0.73374026
URML,Махачкала,0.973431823
UHPM,Мильково,0.634790659
URMM,Минеральные Воды,0.948563937
UERR,Мирный,0.730168203
UUWW,Москва Внуково,0.945599826
UUDD,Москва Домодедово,0.912523381
UUEE,Москва Шереметьево,0.963498032
ULMM,Мурманск,1.014814918
USDK,Мыс Каменный,0.982943158
USMM,Надым,0.807269158
URMN,Нальчик,0.944505758
ULAM,Нарьян-Мар,0.80792101
UHNX,Нелькан,0.659407096
UELL,Нерюнгри,1.133134835
USNN,Нижневартовск,0.96228646
UWKE,Нижнекамск,0.946584759
UWGG,Нижний Новгород,0.950265447
UHNN,Николаевск-на-Амуре,0.603696551
UNWW,Новокузнецк,0.928961843
UNNT,Новосибирск,1
USMU,Новый Уренгой,0.903896381
UHSN,Ноглики,0.653427862
UOOO,Норильск,0.825577927
USRO,Ноябрьск,0.8303163
UENN,Нюрба,0.859560069
USHN,Нягань,0.913767428
UEMO,Олекминск,0.908403866
UERO,Оленек,0.62670623
UHMN,Омолон,0.73374026
UNOO,Омск,0.986178929
UHMF,Омсукчан,0.756830768
UWOO,Оренбург,0.889626861
UWOR,Орск,1.054979437
UHPD,Оссора,0.590516249
UHSH,Оха,0.642675087
UHOO,Охотск,0.570251111
UUXN,п/п Николаевка-2,0.663828394
UHPL,Палана,0.592819241
UHPA,Пахачи,0.561950526
UHMP,Певек,0.755187587
UWPP,Пенза,1.01408492
USPP,Пермь,0.965070686
ULPB,Петрозаводск,0.905362642
UHPP,Петропавловск-Камчатский,0.774083626
UUYP,Печора,0.974141826
UNIP,Подкаменная Тунгуска,0.872244526
UHHP,Полины Осипенко,0.918499278
UERP,Полярный,0.650340087
UHMD,Провидения,0.73374026
ULOO,Псков,1.027938849
URRP,Ростов-на-Дону,0.970589514
USDA,Сабетта,0.672544294
UEBS,Саккырыр,0.621618197
USDD,Салехард,0.819577826
UWWW,Самара,0.968657557
UEMS,Сангар,0.869025544
ULLI,Санкт-Петербург,0.976565821
UWPS,Саранск,1.010111847
UWSG,Саратов,0.927283083
UERS,Саскылах,0.529615833
UNIS,Северо-Енисейск,0.831549957
URFF,Симферополь,0.860747946
UHKM,Советская Гавань,0.773021219
