ICAO аэродром вылета,ICAO аэродром прибытия,Аэропорт вылета,Аэропорт прибытия,"Дистанция, км"
UNAA,UNIB,UNAA | ABA | Абакан,UNIB | Байкит,931
UNAA,UNBB,UNAA | ABA | Абакан,UNBB | BAX | Барнаул | Имени Германа Титова,521
UNAA,UIBB,UNAA | ABA | Абакан,UIBB | BTK | Братск,720
UNAA,UNIW,UNAA | ABA | Абакан,UNIW | Ванавара,988
UNAA,UNBG,UNAA | ABA | Абакан,UNBG | RGK | Горно-Алтайск,422
UNAA,UNII,UNAA | ABA | Абакан,UNII | EIE | Енисейск,528
UNAA,UIII,UNAA | ABA | Абакан,UIII | IKT | Иркутск,887
UNAA,UNEE,UNAA | ABA | Абакан,UNEE | KEJ | Кемерово | Имени Алексея Леонова,381
UNAA,UNKI,UNAA | ABA | Абакан,UNKI | Кодинск,712
UNAA,UNKL,UNAA | ABA | Абакан,UNKL | KJA | Красноярск | Емельяново,279
UNAA,UNKY,UNAA | ABA | Абакан,UNKY | KYZ | Кызыл,307
UNAA,UNIM,UNAA | ABA | Абакан,UNIM | Мотыгино,536
UNAA,UNWW,UNAA | ABA | Абакан,UNWW | NOZ | Новокузнецк | Спиченково,297
UNAA,UNNT,UNAA | ABA | Абакан,UNNT | OVB | Новосибирск | Толмачёво,588
UNAA,UNIP,UNAA | ABA | Абакан,UNIP | TGP | Подкаменная Тунгуска,878
UNAA,UNIS,UNAA | ABA | Абакан,UNIS | Северо-Енисейск,745
UNAA,UNTT,UNAA | ABA | Абакан,UNTT | TOF | Томск | Богашёво,491
UNAA,UITT,UNAA | ABA | Абакан,UITT | UKX | Усть-Кут | Усть-Кут,972
UERA,UNIB,UERA | Айхал,UNIB | Байкит,884
UERA,UIKB,UERA | Айхал,UIKB | ODO | Бодайбо,913
UERA,UNIW,UERA | Айхал,UNIW | Ванавара,777
UERA,UENI,UERA | Айхал,UENI | VHV | Верхневилюйск,500
UERA,UENW,UERA | Айхал,UENW | VYI | Вилюйск,539
UERA,UIKE,UERA | Айхал,UIKE | ERG | Ербогачен,550
UERA,UEVV,UERA | Айхал,UEVV | ZIX | Жиганск,535
UERA,UIKK,UERA | Айхал,UIKK | KCK | Киренск,930
UERA,UERL,UERA | Айхал,UERL | ULK | Ленск | Ленск,606
UERA,UEMM,UERA | Айхал,UEMM | GYG | Маган,975
UERA,UERR,UERA | Айхал,UERR | MJZ | Мирный,400
UERA,UENN,UERA | Айхал,UENN | NYR | Нюрба,439
UERA,UEMO,UERA | Айхал,UEMO | OLZ | Олёкминск,764
UERA,UERO,UERA | Айхал,UERO | ONK | Оленек,287
UERA,UERP,UERA | Айхал,UERP | PYJ | Полярный,53
UERA,UEBS,UERA | Айхал,UEBS | SUK | Саккырыр,847
UERA,UEMS,UERA | Айхал,UEMS | Сангар,780
UERA,UERS,UERA | Айхал,UERS | SYS | Саскылах,673
UERA,UENS,UERA | Айхал,UENS | SUY | Сунтар,514
UERA,UECT,UERA | Айхал,UECT | TLK | Талакан,678
UERA,UEST,UERA | Айхал,UEST | IKS | Тикси,942
UERA,UNIT,UERA | Айхал,UNIT | Тура-Горный,551
UERA,UOHH,UERA | Айхал,UOHH | HTG | Хатанга,761
UERA,UEEE,UERA | Айхал,UEEE | YKS | Якутск,985
UEEA,UHNA,UEEA | ADH | Алдан,UHNA | Аян | Мунук,793
UEEA,UHBB,UEEA | ADH | Алдан,UHBB | BQS | Благовещенск | Игнатьево,919
UEEA,UIKB,UEEA | ADH | Алдан,UIKB | ODO | Бодайбо,660
UEEA,UHHG,UEEA | ADH | Алдан,UHHG | Бомнак,482
UEEA,UENI,UEEA | ADH | Алдан,UENI | VHV | Верхневилюйск,607
UEEA,UENW,UEEA | ADH | Алдан,UENW | VYI | Вилюйск,607
UEEA,UEVV,UEEA | ADH | Алдан,UEVV | ZIX | Жиганск,918
UEEA,UHBE,UEEA | ADH | Алдан,UHBE | Зея | Зея,557
UEEA,UERL,UEEA | ADH | Алдан,UERL | ULK | Ленск | Ленск,640
UEEA,UEMM,UEEA | ADH | Алдан,UEMM | GYG | Маган,452
UEEA,UERR,UEEA | ADH | Алдан,UERR | MJZ | Мирный,760
UEEA,UELL,UEEA | ADH | Алдан,UELL | NER | Нерюнгри | Чульман,190
UEEA,UENN,UEEA | ADH | Алдан,UENN | NYR | Нюрба,647
