ICAO,Часть,Вид,Кандидат,Аэропорт,Пассажиропоток,"Груз, тонн","Почта, тонн","Цена ТС-1, руб",Категория,Агломерация,ППмакс,Обслуживание,Взлётпос,Пользование,Безопасность,Дата
UNAA,ОЧП,УА,True,Абакан,185185,1000.04,168.59,73889,1,647594,1036150.0,246.0,1583.42,144.0,752.11,14 октября 2020
UERA,ОЧП,АН,False,Айхал,1489,88.41,0.0,0,2,25815,41304.0,505.2,2928.0,240.0,1344.0,7 октября 2019
UEEA,ОЧП,АН,False,Алдан,3340,11.45,2.95,0,2,37606,60170.0,,,,,
ULDD,ОЧП,АН,True,Амдерма,1476,8.55,10.18,0,1,574,918.0,,,,,
UHMA,ОЧП,УА,True,Анадырь (Угольный),95538,2164.34,1291.0,73600,1,19022,30435.0,604.0,1772.0,297.0,963.0,14 октября 2020
URKA,ОЧП,УА,True,Анапа (Витязево),1362793,729.05,0.0,66526,1,1420217,2272347.0,,,,,
ULMK,ОЧП,УА,True,Апатиты (Хибины),60119,23.7,0.0,64000,1,657950,1052720.0,180.0,620.0,126.0,370.0,9 января 2019
ULAA,ОЧП,УА,True,Архангельск (Талаги),891867,2508.08,782.18,62350,1,613342,981347.0,95.0,580.0,34.04,220.0,9 января 2019
URWA,ОЧП,УА,True,Астрахань (Нариманово),580910,801.22,307.82,61825,1,852970,1364752.0,161.5,450.5,106.5,423.3,3 марта 2015
UHNA,ОЧП,АН,False,Аян,2394,33.83,12.66,0,3,818,1309.0,800.8,4860.8,475.5,1509.82,5 августа 2015
UNIB,ОЧП,АН,True,Байкит,31268,216.06,21.94,64565,1,3994,6390.0,200.0,1540.0,36.0,481.0,20 июля 2016
UWSB,ОЧП,УА,True,Балаково,0,0.0,0.0,0,1,593615,949784.0,,,,,
UNBB,ОЧП,УА,True,Барнаул (Михайловка),512317,2539.72,609.43,62900,1,1130217,1808347.0,206.0,845.0,86.0,600.0,9 января 2019
UEBB,ОЧП,АН,False,Батагай,29314,864.8,67.33,0,2,8988,14381.0,505.2,2928.0,240.0,1344.0,7 октября 2019
UESG,ОЧП,АН,False,Белая Гора,11884,271.39,21.25,0,2,3134,5014.0,505.2,2928.0,240.0,1344.0,7 октября 2019
UUOB,ОЧП,УА,True,Белгород,468773,46.33,0.0,57000,1,1148179,1837086.0,164.0,500.0,80.0,300.0,1 декабря 2015
UHMR,ОЧП,АН,False,Беринговский,2534,23.0,40.0,0,2,1354,2166.0,502.0,2357.0,337.0,2495.0,15 октября 2020
