ICAO,ВК,Часть,Вид,Кандидат,Аэропорт,Пассажиропоток,"Груз, тонн","Почта, тонн","Цена ТС-1, руб",Категория,Учитывать
UNAA,1,ОЧП,УА,True,Абакан,185185,1000.04,168.59,73889,1,True
UERA,3,ОЧП,АН,False,Айхал,1489,88.41,0.0,0,2,True
UEEA,3,ОЧП,АН,False,Алдан,3340,11.45,2.95,0,2,True
ULDD,2,ОЧП,АН,True,Амдерма,1476,8.55,10.18,0,1,True
UHMA,2,ОЧП,УА,True,Анадырь (Угольный),95538,2164.34,1291.0,73600,1,True
URKA,1,ОЧП,УА,True,Анапа (Витязево),1362793,729.05,0.0,66526,1,True
ULMK,2,ОЧП,УА,True,Апатиты (Хибины),60119,23.7,0.0,64000,1,True
ULAA,2,ОЧП,УА,True,Архангельск (Талаги),891867,2508.08,782.18,62350,1,True
URWA,1,ОЧП,УА,True,Астрахань (Нариманово),580910,801.22,307.82,61825,1,True
UHNA,3,ОЧП,АН,False,Аян,2394,33.83,12.66,0,3,True
UNIB,3,ОЧП,АН,True,Байкит,31268,216.06,21.94,64565,1,True
UWSB,3,ОЧП,УА,True,Балаково,0,0.0,0.0,0,1,True
UNBB,1,ОЧП,УА,True,Барнаул (Михайловка),512317,2539.72,609.43,62900,1,True
UEBB,3,ОЧП,АН,False,Батагай,29314,864.8,67.33,0,2,True
UESG,2,ОЧП,АН,False,Белая Гора,11884,271.39,21.25,0,2,True
UUOB,1,ОЧП,УА,True,Белгород,468773,46.33,0.0,57000,1,True
UHMR,2,ОЧП,АН,False,Беринговский,2534,23.0,40.0,0,2,True
UHBB,1,ОЧП,УА,True,Благовещенск (Игнатьево),398705,4188.3,360.2,71400,1,True
USDB,2,ОЧП,АН,True,Бованенково,128812,13.22,0.0,63821,1,True
UHNB,3,ОЧП,АН,True,Богородское,1235,2.13,2.1,0,1,True
UIKB,3,ОЧП,АН,False,Бодайбо,51910,774.73,123.33,56276,2,True
UHHG,3,ОЧП,АН,False,Бомнак (ПП),0,0.0,0.0,0,3,True
UIBB,3,ОЧП,УА,True,Братск,115548,721.01,104.89,65900,1,True
UUBP,3,ОЧП,УА,True,Брянск,20444,30.39,0.0,55917,1,True
UNIW,3,ОЧП,АН,True,Ванавара,1466,6.58,3.63,73562,1,True
ULDW,2,ОЧП,АН,True,Варандей,15569,0.0,0.0,71000,1,True
ULLK,2,ОЧП,УА,True,Великий Новгород (Кречевицы),0,0.0,0.0,0,1,True
UENI,3,ОЧП,АН,False,Верхневилюйск,3014,9.98,2.4,0,2,True
UENW,3,ОЧП,АН,True,Вилюйск,4639,12.86,5.24,0,1,True
UHWW,1,ОЧП,УА,True,Владивосток (Кневичи),2171922,23317.2,2176.96,65310,1,True
URMO,1,ОЧП,УА,True,Владикавказ (Беслан),439684,486.33,222.6,62500,1,True
URWW,1,ОЧП,УА,True,Волгоград (Гумрак),1013823,873.2,766.0,61530,1,True
ULWW,3,ОЧП,УА,True,Вологда,5315,0.3,0.0,56713,1,True
UUYW,2,ОЧП,АН,True,Воркута,26350,94.95,19.58,59566,1,True
UUOO,3,ОЧП,УА,True,Воронеж (Чертовицкое),606289,202.59,278.68,45800,1,True
URKG,1,ОЧП,УА,True,Геленджик,294865,7.43,0.0,63593,1,True
UNBG,1,ОЧП,УА,True,Горно-Алтайск,60232,0.0,0.0,64335,1,True
URMG,1,ОЧП,УА,True,Грозный (Северный),283202,493.39,0.62,61400,1,True
UEBD,2,ОЧП,АН,False,Депутатский,14213,438.73,51.75,0,2,True
UODD,2,ОЧП,АН,True,Диксон,0,0.0,0.0,0,1,True
USSS,3,ОЧП,УА,False,Екатеринбург (Кольцово),5277434,19340.27,5205.54,70549,1,True
UNII,3,ОЧП,АН,True,Енисейск,0,0.0,0.0,0,1,True
UIKE,3,ОЧП,АН,False,Ербогачен,7865,85.78,18.3,0,2,True
UEVV,3,ОЧП,АН,False,Жиганск,10908,160.28,19.62,0,2,True
UUBW,3,ОЧП,УА,True,Жуковский (Московская область),425500,1556.0,0.0,58500,1,True
UHME,2,ОЧП,АН,False,Залив Креста (Эгвекинот),11354,80.0,106.0,0,3,True
UHML,2,ОЧП,АН,False,Залив Лаврентия,7344,77.0,125.0,0,2,True
UHBE,3,ОЧП,АН,True,Зея,2136,16.19,13.42,65833,1,True
UESU,3,ОЧП,АН,False,Зырянка,8073,153.23,36.0,0,2,True
UUBI,3,ОЧП,УА,True,Иваново (Южный),22953,582.6,75.75,62500,1,True
UOII,2,ОЧП,АН,True,Игарка,278039,2373.14,39.57,0,1,True
USII,3,ОЧП,УА,True,Ижевск,315557,912.73,336.11,64000,1,True
UIII,3,ОЧП,УА,True,Иркутск,1973584,9675.91,1800.19,75893,1,True
UWKJ,3,ОЧП,УА,True,Йошкар-Ола,465,0.0,0.0,63958,1,True
UWKD,3,ОЧП,УА,False,Казань,2623423,2360.13,607.5,61455,1,True
UMKK,2,ОЧП,УА,True,Калининград (Храброво),1788097,6678.66,1284.65,66340,1,True
