ICAO	ВК	Часть	Вид	Кандидат	Аэропорт	Пассажиропоток	Груз, тонн	Почта, тонн	Цена ТС-1, руб	Категория	Учитывать	Имя
UNAA	1	ОЧП	УА	True	Абакан	185185	1000.04	168.59	73889	1	True	UNAA | ABA | Абакан
URKA	1	ОЧП	УА	True	Анапа (Витязево)	1362793	729.05	0.0	66526	1	True	URKA | AAQ | Анапа | Витязево
URWA	1	ОЧП	УА	True	Астрахань (Нариманово)	580910	801.22	307.82	61825	1	True	URWA | ASF | Астрахань
UNBB	1	ОЧП	УА	True	Барнаул (Михайловка)	512317	2539.72	609.43	62900	1	True	UNBB | BAX | Барнаул | Имени Германа Титова
UUOB	1	ОЧП	УА	True	Белгород	468773	46.33	0.0	57000	1	True	UUOB | EGO | Белгород
UHBB	1	ОЧП	УА	True	Благовещенск (Игнатьево)	398705	4188.3	360.2	71400	1	True	UHBB | BQS | Благовещенск | Игнатьево
UHWW	1	ОЧП	УА	True	Владивосток (Кневичи)	2171922	23317.2	2176.96	65310	1	True	UHWW | VVO | Владивосток | Кневичи
URMO	1	ОЧП	УА	True	Владикавказ (Беслан)	439684	486.33	222.6	62500	1	True	URMO | OGZ | Владикавказ | Беслан
URWW	1	ОЧП	УА	True	Волгоград (Гумрак)	1013823	873.2	766.0	61530	1	True	URWW | VOG | Волгоград | Гумрак
URKG	1	ОЧП	УА	True	Геленджик	294865	июл.43	0.0	63593	1	True	URKG | GDZ | Геленджик
UNBG	1	ОЧП	УА	True	Горно-Алтайск	60232	0.0	0.0	64335	1	True	UNBG | RGK | Горно-Алтайск
URMG	1	ОЧП	УА	True	Грозный (Северный)	283202	493.39	0.62	61400	1	True	URMG | GRV | Грозный | Северный
UNEE	1	ОЧП	УА	True	Кемерово	398026	3219.76	486.7	63500	1	True	UNEE | KEJ | Кемерово | Имени Алексея Леонова
URKK	1	ОЧП	УА	False	Краснодар (Пашковский)	3494987	5979.14	2132.94	62017	1	True	URKK | KRR | Краснодар | Пашковский
USUU	1	ОЧП	УА	True	Курган	63709	321.6	167.2	56950	1	True	USUU | KRO | Курган
UUOK	1	ОЧП	УА	True	Курск (Восточный)	32871	89.5	0.0	58724	1	True	UUOK | URS | Курск | Восточный
UNKY	1	ОЧП	УА	True	Кызыл	24786	13.33	0.58	76285	1	True	UNKY | KYZ | Кызыл
URMS	1	ОЧП	УА	True	Магас (Слепцовская)	231633	39.06	0.0	73293	1	True	URMS | IGT | Магас
USCM	1	ОЧП	УА	True	Магнитогорск	193175	374.1	39.7	64000	1	True	USCM | MQF | Магнитогорск
URML	1	ОЧП	УА	True	Махачкала (Уйташ)	1067684	1487.1	556.4	65000	1	True	URML | MCX | Махачкала | Уйташ
URMM	1	ОЧП	УА	True	Минеральные Воды	2180178	2111.85	819.43	63500	1	True	URMM | MRV | Минеральные Воды
URMN	1	ОЧП	УА	True	Нальчик	236865	177.0	299.9	64000	1	True	URMN | NAL | Нальчик
UNWW	1	ОЧП	УА	True	Новокузнецк (Спиченково)	234409	1621.3	95.5	64000	1	True	UNWW | NOZ | Новокузнецк | Спиченково
UNNT	1	ОЧП	УА	False	Новосибирск (Толмачево)	4809605	22012.5	7610.5	64100	1	True	UNNT | OVB | Новосибирск | Толмачёво
UNOO	1	ОЧП	УА	True	Омск (Центральный)	948248	3267.0	664.0	59907	1	True	UNOO | OMS | Омск Центральный
UWOO	1	ОЧП	УА	True	Оренбург (Центральный)	744303	1218.06	598.41	65748	1	True	UWOO | REN | Оренбург
UWOR	1	ОЧП	УА	True	Орск	26310	79.0	0.0	63882	1	True	UWOR | OSW | Орск
URRP	1	ОЧП	УА	False	Ростов-на-Дону (Платов)	187252	329.11	62.17	61680	1	True	URRP | ROV | Ростов-на-Дону | Платов
UWWW	1	ОЧП	УА	True	Самара (Курумоч)	2631729	2936.24	579.01	61650	1	True	UWWW | KUF | Самара | Курумоч
UWSG	1	ОЧП	УА	True	Саратов (Гагарин)	481503	490.6	399.6	59748	1	True	UWSG | Саратов | Гагарин
URFB	1	ОЧП	УА	True	Севастополь (Бельбек)	0	0.0	0.0	0	1	True	URFB | Севастополь | Бельбек
URFF	1	ОЧП	УА	False	Симферополь	5128743	7112.9	642.6	78263	1	True	URFF | Симферополь
URSS	1	ОЧП	УА	False	Сочи (Адлер)	5681974	4107.4	228.04	63750	1	True	URSS | AER | Сочи
URMT	1	ОЧП	УА	True	Ставрополь (Шпаковское)	356210	794.0	437.0	74759	1	True	URMT | STW | Ставрополь | Шпаковское
UHBW	1	ОЧП	АН	True	Тында	5794	0.85	0.0	65833	1	True	UHBW | TYD | Тында | Тында
UIUU	1	ОЧП	УА	True	Улан-Удэ (Мухино)	259585	2260.3	268.51	64759	1	True	UIUU | UUD | Улан-Удэ | Байкал
